"""ID""","""Name""","""Desc""","""EquipItem""","""AttrImpact""","""BulletName""","""SkillInput""","""ImpactValues1""","""ImpactValues2""","""ImpactValues3""","""ImpactValueIncs1""","""ImpactValueIncs2""","""ImpactValueIncs3"""
11001,DianWei,ice resist,11001,RoleAttrImpactPassiveAddAttr,PassiveResistCold,3,10000,10000,0,100,0,0
11002,DianWei,light resist,11002,RoleAttrImpactPassiveAddAttr,PassiveResistLighting,3,10000,10000,0,100,0,0
11003,DianWei,add move speed when be hit,11003,RoleAttrImpactPassiveHitMove,PassiveHitMove,3,100000,20000000,30000000,100,100000,0
11004,DianWei,ignore low move speed buff,11004,RoleAttrImpactPassive,PassiveResistIgnoreMove,3,10000,0,0,100,0,0
11005,DianWei,fire resist,11005,RoleAttrImpactPassiveAddAttr,PassiveResistFire,3,10000,10000,0,100,0,0
11006,DianWei,ex move speed,11006,RoleAttrImpactPassiveAddAttr,PassiveResistExMove,3,5000000,15000000,0,500000,0,0
11007,DianWei,wind resist,11007,RoleAttrImpactPassiveAddAttr,PassiveResistWind,3,10000,10000,0,100,0,0
11008,DianWei,add move speed when hp low,11008,RoleAttrImpactPassiveHPLowMove,PassiveHPLowMove,3,20000000,50000000,0,1500000,0,0
12001,DianWei,low defence circle,12001,RoleAttrImpactPassiveArea,RoleAttrImpactPassiveLowDefenceArea,3,40000,-2000000,-4000000,1000,-200000,0
12002,DianWei,add 20% strong in battle,12002,RoleAttrImpactPassiveAddAttr,PassiveAttrStr,3,500,1500,0,100,0,0
12003,DianWei,"ice area,slow down move speed",12003,RoleAttrImpactPassiveArea,PassiveIceArea,3,50000,-50000000,-85000000,500,-200000,0
12004,DianWei,revenge lightening,12004,RoleAttrImpactLightRevange,PassiveHitLightRevange,3,10000,0,0,100,0,0
12005,DianWei,add 20% inc in battle,12005,RoleAttrImpactPassiveAddAttr,PassiveAttrDec,3,500,1500,0,100,0,0
12006,DianWei,add attack when hp full,12006,RoleAttrImpactPassiveHPHeightAttack,PassiveHPHeightAttack,3,10000,0,0,100,0,0
12007,DianWei,add 20% int in battle,12007,RoleAttrImpactPassiveAddAttr,PassiveAttrInt,3,30000,10000,0,100,0,0
12008,DianWei,element enhance,12008,RoleAttrImpactPassiveBeHitBullet,PassiveHitCircle,3,100000,30000,10000,1000,1000,0
12009,DianWei,remove debuff,12009,RoleAttrImpactPassiveDamageArea,PassiveDamageArea,3,30000,10000,0,100,0,0
12010,DianWei,ice circle when be hit,12010,RoleAttrImpactPassiveBeHitBullet,PassiveIceCircle,3,10000,0,0,100,0,0
13001,DianWei,wind blade when hit,13001,RoleAttrImpactPassiveHitEnemy,PassiveHitWindBullet,3,1000,500,10000,-100,50,500
13002,DianWei,add attack when hp low,13002,RoleAttrImpactPassiveHPHeightAttack,PassiveHPLowAttack,3,10000,0,0,100,0,0
13003,DianWei,add 20% ice damage,13003,RoleAttrImpactPassiveAddAttr,PassiveAttrIce,3,5000,10000,0,200,0,0
13004,DianWei,add 20% light damage,13004,RoleAttrImpactPassiveAddAttr,PassiveAttrLighting,3,5000,10000,0,200,0,0
13005,DianWei,lightening when hit,13005,RoleAttrImpactPassiveHitEnemy,PassiveHitLightingBullet,3,10000,0,0,100,0,0
13006,DianWei,lightening circle,13006,RoleAttrImpactPassiveLightCircleBuff,PassiveLightingBuff,3,50000,150000,10000,1000,1000,0
13007,DianWei,add 20% fire damage,13007,RoleAttrImpactPassiveAddAttr,PassiveAttrFire,3,5000,10000,0,200,0,0
13008,DianWei,fire boom when hit,13008,RoleAttrImpactPassiveHitEnemy,PassiveHitFireBullet,3,10000,0,0,100,0,0
13009,DianWei,add 20% wind damage,13009,RoleAttrImpactPassiveAddAttr,PassiveAttrWind,3,5000,10000,0,200,0,0
13010,DianWei,blad self,13010,RoleAttrImpactPassiveAttackBless,PassiveBlessSelf,3,50000,150000,10000,1000,1000,0
13011,DianWei,ice boom when hit,13010,RoleAttrImpactPassiveHitEnemy,PassiveHitIceBullet,3,10000,0,0,100,0,0
