"Id
===
Id
===
int-s","名称
===
Name
===
string-s","等级
===
Level
===
int-s","模型Id
===
AvatarId
===
int-s","装备Id0
===
EquipId0
===
int-s","装备Id1
===
EquipId1
===
int-s","装备Id2
===
EquipId2
===
int-s","技能Id0
===
SkillId0
===
int-s","技能Id1
===
SkillId1
===
int-s","技能Id2
===
SkillId2
===
int-s","技能Id3
===
SkillId3
===
int-s"
274,云上间楚,5,3,2104,3004,3204,2001,2011,-1,-1
275,艹霸气灬亮,5,3,2204,3004,3204,2001,2011,-1,-1
281,诸葛老贼,5,4,4304,4704,4904,3501,3511,-1,-1
282,风轻云散,5,4,4404,4704,4904,3501,3511,-1,-1
283,萌ヅ狐狸精,5,4,4504,4704,4904,3501,3511,-1,-1
284,忆江南,5,4,4304,4704,4904,3501,3511,-1,-1
285,路楚扬,5,4,4404,4704,4904,3501,3511,-1,-1
286,火炎焱燚,5,4,4504,4704,4904,3501,3511,-1,-1
287,郗木洋,5,4,4304,4704,4904,3501,3511,-1,-1
288,Se丶冥儿,5,4,4404,4704,4904,3501,3511,-1,-1
289,镜花缘月,5,4,4504,4704,4904,3501,3511,-1,-1
290,亚亚小迎荷,5,4,4304,4704,4904,3501,3511,-1,-1
291,寒小轩,5,5,4404,5104,5304,3501,3511,-1,-1
292,司马鹏煊,5,5,4504,5104,5304,3501,3511,-1,-1
293,博格坎普,5,5,4304,5104,5304,3501,3511,-1,-1
294,莎菲娜,5,5,4404,5104,5304,3501,3511,-1,-1
295,无浩然,5,5,4504,5104,5304,3501,3511,-1,-1
296,楚龙铩,5,5,4304,5104,5304,3501,3511,-1,-1
297,开盟红云泽,5,5,4404,5104,5304,3501,3511,-1,-1
298,"蔺""F佑",5,5,4504,5104,5304,3501,3511,-1,-1
299,大黄哦哦,5,5,4304,5104,5304,3501,3511,-1,-1
300,举个栗子、,5,5,4404,5104,5304,3501,3511,-1,-1
301,然靖柏,6,0,305,705,905,1001,1011,-1,-1
302,七月ˇ,6,0,105,705,905,1001,1011,-1,-1
303,爱之心,6,0,205,705,905,1001,1011,-1,-1
304,二月二十八,6,0,305,705,905,1001,1011,-1,-1
305,桂月一花,6,0,105,705,905,1001,1011,-1,-1
306,花花世界丶,6,0,205,705,905,1001,1011,-1,-1
307,传奇飞雪,6,0,305,705,905,1001,1011,-1,-1
308,情谊西街,6,0,105,705,905,1001,1011,-1,-1
309,大头的野望,6,0,205,705,905,1001,1011,-1,-1
310,情谊呵呵,6,0,305,705,905,1001,1011,-1,-1
311,传奇驸马,6,1,105,1105,1305,1001,1011,-1,-1
312,小苍姐,6,1,205,1105,1305,1001,1011,-1,-1
313,の豆小豆,6,1,305,1105,1305,1001,1011,-1,-1
314,沐白林,6,1,105,1105,1305,1001,1011,-1,-1
315,情谊随你,6,1,205,1105,1305,1001,1011,-1,-1
316,神部浅然,6,1,305,1105,1305,1001,1011,-1,-1
317,Mx雨,6,1,105,1105,1305,1001,1011,-1,-1
318,飞龙在天,6,1,205,1105,1305,1001,1011,-1,-1
319,呼延夜罗,6,1,305,1105,1305,1001,1011,-1,-1
320,陌璐の契約,6,1,105,1105,1305,1001,1011,-1,-1
321,苍月冥厉,6,2,2105,2605,2805,2001,2011,-1,-1
322,月迷离的伤,6,2,2205,2605,2805,2001,2011,-1,-1
323,小小小贝壳,6,2,2005,2605,2805,2001,2011,-1,-1
324,巫渊寒,6,2,2105,2605,2805,2001,2011,-1,-1
325,断龙轩,6,2,2205,2605,2805,2001,2011,-1,-1
331,梦冰夏,6,3,2005,3005,3205,2001,2011,-1,-1
332,老流氓,6,3,2105,3005,3205,2001,2011,-1,-1
333,梦舞苍飞,6,3,2205,3005,3205,2001,2011,-1,-1
334,漆黑之夜,6,3,2005,3005,3205,2001,2011,-1,-1
335,殷兰妃,6,3,2105,3005,3205,2001,2011,-1,-1
341,灵薇月光,6,4,4505,4705,4905,3501,3511,-1,-1
342,郁风瞳,6,4,4305,4705,4905,3501,3511,-1,-1
343,浅小莫,6,4,4405,4705,4905,3501,3511,-1,-1
344,上位为欢,6,4,4505,4705,4905,3501,3511,-1,-1
345,缘起缘灭,6,4,4305,4705,4905,3501,3511,-1,-1
346,浸毒玫瑰,6,4,4405,4705,4905,3501,3511,-1,-1
347,苏慢慢,6,4,4505,4705,4905,3501,3511,-1,-1
348,狼魂花花,6,4,4305,4705,4905,3501,3511,-1,-1
349,一贯造次,6,4,4405,4705,4905,3501,3511,-1,-1
350,丨离歌灬,6,4,4505,4705,4905,3501,3511,-1,-1
351,陌轩乱,6,5,4305,5105,5305,3501,3511,-1,-1
352,宝贝琪琪彡,6,5,4405,5105,5305,3501,3511,-1,-1
353,若眸、,6,5,4505,5105,5305,3501,3511,-1,-1
354,巫白翔,6,5,4305,5105,5305,3501,3511,-1,-1
355,巅峰丶帅气,6,5,4405,5105,5305,3501,3511,-1,-1
356,狼魂脚丫,6,5,4505,5105,5305,3501,3511,-1,-1
357,夜半我敲门,6,5,4305,5105,5305,3501,3511,-1,-1
358,东方夜白,6,5,4405,5105,5305,3501,3511,-1,-1
359,七都A,6,5,4505,5105,5305,3501,3511,-1,-1
360,夜de哀伤,6,5,4305,5105,5305,3501,3511,-1,-1
361,毒银浩,7,0,206,706,906,1001,1031,-1,-1
362,举→淑芬儿,7,0,306,706,906,1001,1011,-1,-1
363,夜巫乌,7,0,106,706,906,1001,1031,-1,-1
364,紫清月怜,7,0,206,706,906,1001,1011,-1,-1
365,呆灬小熊,7,0,306,706,906,1001,1031,-1,-1
366,烟的味道,7,0,106,706,906,1001,1011,-1,-1
367,邪影V,7,0,206,706,906,1001,1031,-1,-1
368,賝0誓言,7,0,306,706,906,1001,1011,-1,-1
369,灬维维豆奶,7,0,106,706,906,1001,1031,-1,-1
370,mc小石,7,0,206,706,906,1001,1011,-1,-1
371,樱之花,7,1,306,1106,1306,1001,1031,-1,-1
372,九把刀,7,1,106,1106,1306,1001,1011,-1,-1
373,李忘生,7,1,206,1106,1306,1001,1031,-1,-1
374,紫魅萱萱,7,1,306,1106,1306,1001,1011,-1,-1
375,风间云里,7,1,106,1106,1306,1001,1031,-1,-1
376,魅惑灬旭,7,1,206,1106,1306,1001,1011,-1,-1
377,微笑的涂涂,7,1,306,1106,1306,1001,1031,-1,-1
378,黑崎一护,7,1,106,1106,1306,1001,1011,-1,-1
379,孤音邱逸,7,1,206,1106,1306,1001,1031,-1,-1
380,骆邦玄,7,1,306,1106,1306,1001,1011,-1,-1
381,幽无梦,7,2,2006,2606,2806,2001,2021,-1,-1
382,端木尘邦,7,2,2106,2606,2806,2001,2011,-1,-1
383,妩媚钕子,7,2,2206,2606,2806,2001,2021,-1,-1
384,R≧?,7,2,2006,2606,2806,2001,2011,-1,-1
385,小冰双,7,2,2106,2606,2806,2001,2021,-1,-1
391,豪门丶贰货,7,3,2206,3006,3206,2001,2011,-1,-1
392,Mc九局,7,3,2006,3006,3206,2001,2021,-1,-1
393,丿执迷不悟,7,3,2106,3006,3206,2001,2011,-1,-1
394,沉焰迟,7,3,2206,3006,3206,2001,2021,-1,-1
395,路映之,7,3,2006,3006,3206,2001,2011,-1,-1
401,妖精女王,7,4,4406,4706,4906,3501,3531,-1,-1
402,"安陵""F非",7,4,4506,4706,4906,3501,3511,-1,-1
403,ん苏苏,7,4,4306,4706,4906,3501,3531,-1,-1
404,开盟6梦幻,7,4,4406,4706,4906,3501,3511,-1,-1
405,传奇飞雪1,7,4,4506,4706,4906,3501,3531,-1,-1
406,浪漫剑心,7,4,4306,4706,4906,3501,3511,-1,-1
407,Ao烨雨,7,4,4406,4706,4906,3501,3531,-1,-1
408,雷吉亚斯,7,4,4506,4706,4906,3501,3511,-1,-1
409,"纤""F佑",7,4,4306,4706,4906,3501,3531,-1,-1
410,独孤暗泽,7,4,4406,4706,4906,3501,3511,-1,-1
411,十三少,7,5,4506,5106,5306,3501,3531,-1,-1
412,玉树临风,7,5,4306,5106,5306,3501,3511,-1,-1
413,善良的人,7,5,4406,5106,5306,3501,3531,-1,-1
414,为爱一生,7,5,4506,5106,5306,3501,3511,-1,-1
415,妖绿海,7,5,4306,5106,5306,3501,3531,-1,-1
416,果丶冻,7,5,4406,5106,5306,3501,3511,-1,-1
417,帝族霸道,7,5,4506,5106,5306,3501,3531,-1,-1
418,开盟2土豆,7,5,4306,5106,5306,3501,3511,-1,-1
419,跟楞绊倒,7,5,4406,5106,5306,3501,3531,-1,-1
420,开盟红测啊,7,5,4506,5106,5306,3501,3511,-1,-1
421,帝族开心,8,0,107,707,907,1001,1031,-1,-1
422,开盟红王子,8,0,207,707,907,1001,1011,-1,-1
423,亚亚之六,8,0,307,707,907,1001,1031,-1,-1
424,冰伈捁,8,0,107,707,907,1001,1011,-1,-1
425,孤寂凡柔,8,0,207,707,907,1001,1031,-1,-1
426,帝族无痕,8,0,307,707,907,1001,1011,-1,-1
427,北冥寒佑,8,0,107,707,907,1001,1031,-1,-1
428,今晚打老虎,8,0,207,707,907,1001,1011,-1,-1
429,为爱、一生,8,0,307,707,907,1001,1031,-1,-1
430,斩o0修罗,8,0,107,707,907,1001,1011,-1,-1
431,酒醉人自醉,8,1,207,1107,1307,1001,1031,-1,-1
432,人妖唐僧,8,1,307,1107,1307,1001,1011,-1,-1
433,举→贵芬儿,8,1,107,1107,1307,1001,1031,-1,-1
434,开盟6瑞瑞,8,1,207,1107,1307,1001,1011,-1,-1
435,开盟红穿越,8,1,307,1107,1307,1001,1031,-1,-1
436,秋志佑,8,1,107,1107,1307,1001,1011,-1,-1
437,Dong灬,8,1,207,1107,1307,1001,1031,-1,-1
438,沉枫炎,8,1,307,1107,1307,1001,1011,-1,-1
439,对月赏菊,8,1,107,1107,1307,1001,1031,-1,-1
440,传奇之后,8,1,207,1107,1307,1001,1011,-1,-1
441,雷吉雅思,8,2,2207,2607,2807,2001,2021,-1,-1
442,天天丿小梦,8,2,2007,2607,2807,2001,2011,-1,-1
443,幻灵づ公子,8,2,2107,2607,2807,2001,2021,-1,-1
444,雪颜丶小小,8,2,2207,2607,2807,2001,2011,-1,-1
445,R璕a贝捁,8,2,2007,2607,2807,2001,2021,-1,-1
451,老一辈流氓,8,3,2107,3007,3207,2001,2011,-1,-1
452,落沛儿,8,3,2207,3007,3207,2001,2021,-1,-1
453,兜里yo糖,8,3,2007,3007,3207,2001,2011,-1,-1
454,放肆2宝贝,8,3,2107,3007,3207,2001,2021,-1,-1
455,十籽念琢,8,3,2207,3007,3207,2001,2011,-1,-1
461,の枫辰,8,4,4307,4707,4907,3501,3531,-1,-1
462,蔺语海,8,4,4407,4707,4907,3501,3511,-1,-1
463,天殇、冰哥,8,4,4507,4707,4907,3501,3531,-1,-1
464,萌琦゜,8,4,4307,4707,4907,3501,3511,-1,-1
465,妙手回归,8,4,4407,4707,4907,3501,3531,-1,-1
466,开盟6梦梦,8,4,4507,4707,4907,3501,3511,-1,-1
467,苍俊驰,8,4,4307,4707,4907,3501,3531,-1,-1
468,天殇、随缘,8,4,4407,4707,4907,3501,3511,-1,-1
469,秦至好德,8,4,4507,4707,4907,3501,3531,-1,-1
470,青春牌,8,4,4307,4707,4907,3501,3511,-1,-1
471,幽冥鬼帝,8,5,4407,5107,5307,3501,3531,-1,-1
472,陌上夜山,8,5,4507,5107,5307,3501,3511,-1,-1
473,金雨林,8,5,4307,5107,5307,3501,3531,-1,-1
474,夏侯峻宇,8,5,4407,5107,5307,3501,3511,-1,-1
475,ん苏妹,8,5,4507,5107,5307,3501,3531,-1,-1
476,姓高A,8,5,4307,5107,5307,3501,3511,-1,-1
477,亚亚之五,8,5,4407,5107,5307,3501,3531,-1,-1
478,慕容耀,8,5,4507,5107,5307,3501,3511,-1,-1
479,马儿吃很刁,8,5,4307,5107,5307,3501,3531,-1,-1
480,苍月林枫,8,5,4407,5107,5307,3501,3511,-1,-1
481,孤音昂隐,9,0,308,708,908,1001,1031,-1,-1
482,巫熠儿,9,0,108,708,908,1001,1011,-1,-1
483,卡特璐璐、,9,0,208,708,908,1001,1031,-1,-1
484,穹轩灬溶,9,0,308,708,908,1001,1011,-1,-1
485,开盟红王弟,9,0,108,708,908,1001,1031,-1,-1
486,孤寂冥远,9,0,208,708,908,1001,1011,-1,-1
487,miss,9,0,308,708,908,1001,1031,-1,-1
488,冰点沸点,9,0,108,708,908,1001,1011,-1,-1
489,YAKI,9,0,208,708,908,1001,1031,-1,-1
490,沫小鱼,9,0,308,708,908,1001,1011,-1,-1
491,猫仙人,9,1,108,1108,1308,1001,1031,-1,-1
492,陌上依云,9,1,208,1108,1308,1001,1011,-1,-1
493,夜航飒飒,9,1,308,1108,1308,1001,1031,-1,-1
494,阿米尔汗,9,1,108,1108,1308,1001,1011,-1,-1
495,嬷思嬷思,9,1,208,1108,1308,1001,1031,-1,-1
496,一岛之主,9,1,308,1108,1308,1001,1011,-1,-1
497,萌了个闪,9,1,108,1108,1308,1001,1031,-1,-1
498,雾非雾,9,1,208,1108,1308,1001,1011,-1,-1
499,Mo丨丸子,9,1,308,1108,1308,1001,1031,-1,-1
500,血の狼,9,1,108,1108,1308,1001,1011,-1,-1
501,巧笑嫣然,9,2,2108,2608,2808,2001,2021,-1,-1
502,我欲成魔,9,2,2208,2608,2808,2001,2011,-1,-1
503,坑坑爹,9,2,2008,2608,2808,2001,2021,-1,-1
504,寒星凌云,9,2,2108,2608,2808,2001,2011,-1,-1
505,邪メ怨,9,2,2208,2608,2808,2001,2021,-1,-1
511,方々航,9,3,2008,3008,3208,2001,2011,-1,-1
512,墨义风雨,9,3,2108,3008,3208,2001,2021,-1,-1
513,杀戮乱世,9,3,2208,3008,3208,2001,2011,-1,-1
514,梦舞晏非,9,3,2008,3008,3208,2001,2021,-1,-1
515,淡淡青草香,9,3,2108,3008,3208,2001,2011,-1,-1
521,梦里花落,9,4,4508,4708,4908,3501,3531,-1,-1
522,士兵突击,9,4,4308,4708,4908,3501,3511,-1,-1
523,冷丶夜魅,9,4,4408,4708,4908,3501,3531,-1,-1
524,√天然呆灬,9,4,4508,4708,4908,3501,3511,-1,-1
525,鬼见愁,9,4,4308,4708,4908,3501,3531,-1,-1
526,鬼魅老烟,9,4,4408,4708,4908,3501,3511,-1,-1
527,天殇、龙哥,9,4,4508,4708,4908,3501,3531,-1,-1
528,云顶天,9,4,4308,4708,4908,3501,3511,-1,-1
529,开盟红初彤,9,4,4408,4708,4908,3501,3531,-1,-1
530,北宫宇邪,9,4,4508,4708,4908,3501,3511,-1,-1
531,司徒千萍,9,5,4308,5108,5308,3501,3531,-1,-1
532,三界传説,9,5,4408,5108,5308,3501,3511,-1,-1
533,瑟风决,9,5,4508,5108,5308,3501,3531,-1,-1
534,端木飞薇,9,5,4308,5108,5308,3501,3511,-1,-1
535,血色泽傲,9,5,4408,5108,5308,3501,3531,-1,-1
536,陌上炎麟,9,5,4508,5108,5308,3501,3511,-1,-1
537,屠比男勃丸,9,5,4308,5108,5308,3501,3531,-1,-1
538,科科⊙笑笑,9,5,4408,5108,5308,3501,3511,-1,-1
539,梦舞然楚,9,5,4508,5108,5308,3501,3531,-1,-1
540,冷轩云,9,5,4308,5108,5308,3501,3511,-1,-1
541,點S缛?,10,0,209,709,909,1001,1031,-1,-1
542,东方傲晴,10,0,309,709,909,1001,1011,-1,-1
543,陌上羽沫,10,0,109,709,909,1001,1031,-1,-1
544,明月秋影,10,0,209,709,909,1001,1011,-1,-1
545,罪恶滔天,10,0,309,709,909,1001,1031,-1,-1
546,天外飞仙,10,0,109,709,909,1001,1011,-1,-1
547,激光头,10,0,209,709,909,1001,1031,-1,-1
548,熊玉琦刁丝,10,0,309,709,909,1001,1011,-1,-1
549,青春小邪恶,10,0,109,709,909,1001,1031,-1,-1
550,夏侯秋奕,10,0,209,709,909,1001,1011,-1,-1
551,颜青丝,10,1,309,1109,1309,1001,1031,-1,-1
552,柒幼晴,10,1,109,1109,1309,1001,1011,-1,-1
553,直销牛蒡茶,10,1,209,1109,1309,1001,1031,-1,-1
554,小涵梅,10,1,309,1109,1309,1001,1011,-1,-1
555,独孤山,10,1,109,1109,1309,1001,1031,-1,-1
556,龙小帅,10,1,209,1109,1309,1001,1011,-1,-1
557,亚亚之四,10,1,309,1109,1309,1001,1031,-1,-1
558,舞刀弄剑,10,1,109,1109,1309,1001,1011,-1,-1
559,附件二,10,1,209,1109,1309,1001,1031,-1,-1
560,上帝小手,10,1,309,1109,1309,1001,1011,-1,-1
561,幻灵仙剑,10,2,2009,2609,2809,2001,2021,-1,-1
562,叮叮猫,10,2,2109,2609,2809,2001,2011,-1,-1
563,封魔战神,10,2,2209,2609,2809,2001,2021,-1,-1
564,′淋漓,10,2,2009,2609,2809,2001,2011,-1,-1
565,传奇八戒,10,2,2109,2609,2809,2001,2021,-1,-1
571,丨六道丶骸,10,3,2209,3009,3209,2001,2011,-1,-1
572,夕丶若曦,10,3,2009,3009,3209,2001,2021,-1,-1
573,扑熙月,10,3,2109,3009,3209,2001,2011,-1,-1
574,魔い帝,10,3,2209,3009,3209,2001,2021,-1,-1
575,滕海白,10,3,2009,3009,3209,2001,2011,-1,-1
581,无乐不作,10,4,4409,4709,4909,3501,3531,-1,-1
582,疗者无双,10,4,4509,4709,4909,3501,3511,-1,-1
583,蔺尘宇,10,4,4309,4709,4909,3501,3531,-1,-1
584,柴可夫师哥,10,4,4409,4709,4909,3501,3511,-1,-1
585,落雨离愁,10,4,4509,4709,4909,3501,3531,-1,-1
586,狼魂万剑,10,4,4309,4709,4909,3501,3511,-1,-1
587,蓝觅轩,10,4,4409,4709,4909,3501,3531,-1,-1
