"Id
===
Id
===
int-cs","Category
===
Category
===
string-s","备注
===
Note
===
string-s","数据
===
Data
===
string-cs"
2042,config,第二个备选宠物栏开放等级,30
2043,config,第三个备选宠物栏开放等级,40
2050,config,替换主将开放等级,15
2100,config,战斗场景鼠标双击的判定时间,0.3
2101,config,战斗场景鼠标滑动的判定时间,0.5
2102,config,战斗场景鼠标滑动判定距离,100
2103,config,战斗场景鼠标按下的判定时间(最小为0.1否则会影响到点击操作),0.2
2104,config,战斗默认操作模式（0点击地面；1操作杆）,1
2120,config,战斗内场景进度图片名称(未完成),icon_stage_schedule_unfinished
2121,config,战斗内场景进度图片名称(已完成),icon_stage_schedule_finish
2122,config,能量豆(满),icon_energy_normal
2123,config,能量豆(空),icon_energy_disabled
3000,length,最大角色名称长度,12
3004,gamble,一次抽奖消耗的桃心,200
3005,gamble,一次抽奖消耗的宝石,280
3007,active,账号激活文件,
3008,config,体力增长间隔,480
3009,config,每次增长宝石的数量,0
3010,config,每次增长Pvp点数,10
3011,config,每日任务中同时存在任务个数,5
3012,config,每日最多可完成任务数,15
3013,gamble,新手抽奖（蓝宠）,G53821:100;
3014,task,每次刷新任务的金币消耗,1000;2000;3000;5000;8000
3015,gamble,抽奖公告显示延迟（秒）,5
3016,bourse,最多可出售次数,5
3017,config,收取创建角色之前的系统邮件,1
3018,Init,初始化金钱,50000
3019,Init,初始化非绑定元宝,0
3020,Init,初始化绑定元宝,0
3021,Init,初始化经验,0
3022,Init,初始化Pvp点数,10
3023,Init,初始化钻石购买VIP,500
3025,config,宝石镶嵌开启等级（第一颗宝石）,18
3026,config,宝石镶嵌开启等级（第二颗宝石）,28
3027,config,宝石镶嵌开启等级（第三颗宝石）,32
3028,config,桃心上限,5000
3029,config,征服点上限,150000
3030,config,勋章上限,2000
3031,config,结婚公告显示延迟（秒）,5
3032,config,进化出紫Max公告显示延迟（秒）,5
3033,config,帮助陌生人战斗获得桃心数,5
3034,config,帮助好友战斗获得桃心数,10
3035,config,帮助爱人战斗获得桃心数,20
3036,config,免费刷新任务间隔（分钟）,120
3037,config,宠物比主角等级高,5
3038,config,刷新关卡剩余次数钻石消耗,100
3039,config,体力系统存储上限,999
3040,config,体力赠送（送）,1
3041,config,体力赠送（收）,2
3042,config,新手初级探索(探索奖励包ID),100000
3043,config,新手高级探索(探索奖励包ID),100001
3044,config,购买体力上限,500
3045,config,补签钻石消耗,20;30;30;50;50;50;50;100;100
3100,config,战前好友刷新间隔,15
3101,config,战前好友cooldown,30
3102,config,Pvp奖励间隔（分钟）,15
3104,sweep,扫荡消耗物品Id,8101
3105,sweep,刷新扫荡消耗钻石数量,100
3106,sweep,扫荡机器人在兑换表中的id,70
3200,peach,蟠桃时间,12:00;13:00
3201,peach,蟠桃时间,18:00;19:00
3202,peach,蟠桃增加体力,20;30;30;50;50;50;50;100;100
3203,peach,吃蟠桃动画间隔时间,0.8
3204,config,VIP最高等级,10
3205,config,VIP最高等级进度条显示文字,MAX / MAX
3300,Award,三日奖励（钱;宝石;桃心),15000;30;200
3301,Award,三日奖励（钱;宝石;桃心),28000;75;200
3302,Award,三日奖励（钱;宝石;桃心),35000;120;200
3400,task,每日任务星级奖励比例1,1
3401,task,每日任务星级奖励比例2,1.25
3402,task,每日任务星级奖励比例3,1.5
3410,task,每个任务奖励蓝钻数,10
4001,config,战斗场景人物移动速度,1800
4002,config,交错移动时间差,0.4
4003,config,关卡结束移动速度,1000
4004,config,主界面PvP点数条size,150;48
4005,config,主界面PvP次数条size,150;48
4014,config,主界面人物条size,150;48
4015,task,抓宠任务掉率阈值（宠物掉率*宠物出现次数*最多次数）< 阈值，这个抓宠任务将不出现,1
4016,config,pvp界面更新时间,3000
4017,config,加速关闭屏幕震动,0
4018,config,加速关闭角色变色1,0
4019,config,加速关闭角色变色2,0
4020,config,加速关闭聚焦,1
4021,config,加速关闭前景变色,0
4022,config,加速关闭背景变色,0
4023,config,加速关闭慢镜头,1
4024,config,战斗加载界面loading的tip个数,20
4025,config,战斗界面加载tip字号,25
4026,config,日常任务开启的关卡,304
4027,config,邀请别人的奖励,55021
4028,config,PVP开启等级,12
4029,config,vip2是否开启3倍速度,1
4030,config,刷新战斗好友的消费宝石,20
4031,config,是否开启世界boss,0
4032,config,pvp战斗胜利勋章奖励,100
4033,config,pvp战斗失败勋章奖励,80
4101,config,战斗掉钱(X钱为一组),100
4102,config,战斗掉钻石(X块钻石为一组),2
4103,config,战斗掉经验(X点经验为一组),50
4104,config,战斗掉行动点数(X个行动点为一组),5
4105,config,战斗掉背包(X格背包为一组),1
4201,config,掉落时物品最高飞高度Y米,2
4202,config,掉落时物品最远飞半径X米,5
4203,config,掉落物品存在时间,30
4204,config,掉落物品开始消失的时间,25
4205,config,掉落物品的飞行速度,5
4300,config,商城,3
4301,config,竞技场商店,4
4302,config,公会商店,5
4303,config,地精商人,6
4304,config,黑市商人,7
4400,config,时间段数量,7
4401,config,时间段1,050000;10
4402,config,时间段2,090000;15
4403,config,时间段3,120000;20
4404,config,时间段4,140000;25
4405,config,时间段5,180000;20
4406,config,时间段6,220000;30
4407,config,时间段7,235959;15
5000,config,首次启动游戏是否允许跳过片头动画,1
5001,tutorial,开场战斗,"59998,59999,59997,-1,player,-1,9200,9201"
5002,config,主界面主角小于10级时，多长时间无操作就显示副本的箭头,8
5003,config,玩家到多少级时，强制要求绑定账号,15
5004,config,击杀蟒蛇精引导任务(关卡id；怪物id；勋章数；副本id),191;30439;60;9201;
5005,config,新手引导要送的宠物ID(显示在提示文字之上),53821
6000,config,短信地址url,http://sms.hxage.net/emay/index.php?phone={0}&text={1}
6001,lgConfig,是否需要验证码,1
6100,sellGoldStep,出售金币时调整金币的步长,50000
6101,shousandGoldValueMax,万金宝石数(最大值),100
6102,shousandGoldValueMin,万金宝石数(最小值),80
6103,shousandGoldValueStep,万金宝石数(步长),1
6104,refurbishPriceTime,刷新金币价格间格时间(单位秒),3
6105,sellGoldStep,交易所税率,0.15
6106,sellGoldMax,出售最大金币数,500000
6109,config,寄售金币倒计时时间,172800
6201,config,"任务奖励金币(1,2,3星)",8000;9000;10000
6202,config,副本扫荡不能掉落的特有物品Id,8101
7000,config,主界面蓝宝石条size,150;48
7001,config,主界面红宝石条size,150;48
7002,config,主界面成就点数条size,150;48
8001,config,背包初始格子个数,99999
8002,config,背包最大格子个数,99999
8003,config,装备初始格子个数,99999
8004,config,装备最大格子个数,99999
8005,config,购买物品最大值,99
9000,config,经验药列表,51000;51001;51002;51003;
9100,config,玩家每次清楚冷却时间花费的钻石,50
9200,config,玩家每次重置关卡消耗的钻石,"1,30;2,30;3,30;4,50;5,50;6,50;7,100;8,100;9,100;10,100;11,200;12,200;13,200;14,200;15,200;16,300;17,300;18,300;19,300;20,300"
10001,config,斧主角初始武器,100000;100100
10002,config,斧主角初始衣服,0
10003,config,斧主角初始项链,0
10004,config,斧主角初始戒指,0
10005,config,斧主角初始宝物,0
10006,config,斧主角初始XX,0
10011,config,剑主角初始武器,100100;100000
10012,config,剑主角初始衣服,0
10013,config,剑主角初始项链,0
10014,config,剑主角初始戒指,0
10015,config,剑主角初始宝物,0
10016,config,剑主角初始XX,0
10021,config,武器3主角初始武器,100200
10022,config,武器3主角初始衣服,0
10023,config,武器3主角初始项链,0
10024,config,武器3主角初始戒指,0
10025,config,武器3主角初始宝物,0
10026,config,武器3主角初始XX,0
10031,config,武器4主角初始武器,100300
10032,config,武器4主角初始衣服,0
10033,config,武器4主角初始项链,0
10034,config,武器4主角初始戒指,0
10035,config,武器4主角初始宝物,0
10036,config,武器4主角初始XX,0
10500,config,斧主角初始技能,11100
10501,config,剑主角初始技能,13000
10502,config,武器3主角初始技能,0
10503,config,武器3主角初始技能,0
11000,config,创建帮派最低等级,5
11001,config,创建帮派最低VIP等级,0
11002,config,创建帮派所需要的金币,10000
11003,config,创建帮派所需要的钻石,500
12000,config,矿玩法中保留被攻击记录的最大条数,10
12001,config,矿玩法中矿物开采更新频率,300
12002,config,矿玩法中最大参加协防宠物的数量,3
12003,config,矿玩法中开启矿的最低等级限制,20
12004,config,矿玩法中矿被攻击后的保护时间,500
12005,config,矿玩法中搜索匹配对手的等级区间,5
13000,config,物品(装备)滚动惯性,60
13001,config,物品(装备)滚动动力,0.8
13010,config,武将滚动惯性,80
13011,config,武将滚动动力,0.6
20000,config,启动新手引导,1
20101,config,[攻击力]战斗力系数,1.2
20102,config,[防御力]战斗力系数,1
20103,config,[生命值]战斗力系数,0.1
20104,config,[魔法值]战斗力系数,0
20105,config,[土属性攻击]战斗力系数,0.6
20106,config,[水属性攻击]战斗力系数,0.6
20107,config,[火属性攻击]战斗力系数,0.6
20108,config,[风属性攻击]战斗力系数,0.6
20109,config,[土属性抗性]战斗力系数,0.5
20110,config,[水属性抗性]战斗力系数,0.5
20111,config,[火属性抗性]战斗力系数,0.5
20112,config,[风属性抗性]战斗力系数,0.5
20113,config,[破击]战斗力系数,0.3
20114,config,[暴击]战斗力系数,0.3
20115,config,[韧性]战斗力系数,0.3
20116,config,[格挡]战斗力系数,0.3
20117,config,[血量回复速度]战斗力系数,0.1
20118,config,[魔法值回复速度]战斗力系数,0
20119,config,[移动速度]战斗力系数,0
20120,config,[幸运]战斗力系数,0
20121,config,[无双值]战斗力系数,0
20122,config,[无双恢复速度]战斗力系数,0
20123,config,[攻速]战斗力系数,0
20124,config,[体力值]战斗力系数,0
20125,config,[攻击距离]战斗力系数,0
20126,config,[额外伤害]战斗力系数,3
20127,config,[伤害减免]战斗力系数,3
20128,config,属性28转换战斗力的系数,0
20129,config,属性29转换战斗力的系数,0
20130,config,属性30转换战斗力的系数,0
20131,config,属性31转换战斗力的系数,0
20132,config,属性32转换战斗力的系数,0
20140,config,[攻击力百分比]战斗力系数,0
20141,config,[防御力百分比]战斗力系数,0
20142,config,[生命值百分比]战斗力系数,0
20143,config,[魔法值百分比]战斗力系数,0
20144,config,[土属性攻击百分比]战斗力系数,0
20145,config,[水属性攻击百分比]战斗力系数,0
20146,config,[火属性攻击百分比]战斗力系数,0
20147,config,[风属性攻击百分比]战斗力系数,0
20148,config,[土属性抗性百分比]战斗力系数,0
20149,config,[水属性抗性百分比]战斗力系数,0
20150,config,[火属性抗性百分比]战斗力系数,0
20151,config,[风属性抗性百分比]战斗力系数,0
20152,config,[破击百分比]战斗力系数,0
20153,config,[暴击百分比]战斗力系数,0
20154,config,[韧性百分比]战斗力系数,0
20155,config,[格挡百分比]战斗力系数,0
20156,config,[血量回复速度百分比]战斗力系数,0
20157,config,[魔法值回复速度百分比]战斗力系数,0
20158,config,[移动速度百分比]战斗力系数,0
20159,config,[幸运百分比]战斗力系数,0
20160,config,[无双值百分比]战斗力系数,0
20161,config,[无双恢复速度百分比]战斗力系数,0
20162,config,[攻速百分比]战斗力系数,0
20163,config,[体力值百分比]战斗力系数,0
20164,config,[攻击距离百分比]战斗力系数,0
20165,config,[额外伤害百分比]战斗力系数,0
20166,config,[伤害减免百分比]战斗力系数,0
20167,config,属性28百分比转换战斗力的系数,0
20168,config,属性29百分比转换战斗力的系数,0
20169,config,属性30百分比转换战斗力的系数,0
20170,config,属性31百分比转换战斗力的系数,0
20171,config,属性32百分比转换战斗力的系数,0
20180,config,装备等级战斗力转换的系数,0
30000,config,竞技场每天挑战次数,5
30001,config,竞技场清除冷却时间所花费的钻石数量,20
30002,config,竞技场重置次数所花费钻石数量,50
31000,config,普通副本获得经验与等级之间的系数,60
31001,config,精英副本获得经验与等级之间的系数,120
31002,config,活动副本获得经验与等级之间的系数,60
40000,config,货币兑换暴击倍数,2
40001,config,货币兑换暴击倍数,3
40002,config,货币兑换暴击倍数,5
40003,config,货币兑换暴击倍数,8
40004,config,货币兑换暴击倍数,10
40005,config,货币兑换暴击概率,10
40006,config,货币兑换暴击概率,5
40007,config,货币兑换暴击概率,2
40008,config,货币兑换暴击概率,1
40009,config,货币兑换暴击概率,0.5
40010,config,玩家每兑换9次。下次兑换毕竟会出现一次暴击，出现的暴击概率,54
40011,config,玩家每兑换9次。下次兑换毕竟会出现一次暴击，出现的暴击概率,27
40012,config,玩家每兑换9次。下次兑换毕竟会出现一次暴击，出现的暴击概率,11
40013,config,玩家每兑换9次。下次兑换毕竟会出现一次暴击，出现的暴击概率,5
40014,config,玩家每兑换9次。下次兑换毕竟会出现一次暴击，出现的暴击概率,3
50000,config,机器人主角随机模型(模型id)(模型id),0;1
50001,config,机器人主角等级随机区间(最小等级);(最大等级),10;30
50002,config,"机器人宠物星级与等级之间的对应(最小等级),（最大等级）,（最小星级）,（最大星级）;","0,21,0,0;22,29,0,1;29,30,1,2"
50100,config,"机器人斧主角配置技能(最小等级),(最大等级),(技能id),(技能id);","10,19,11103,11202;20,30,11105,11203"
50101,config,"机器人剑主角配置技能(最小等级),(最大等级),(技能id),(技能id);","10,19,13101,13002;20,30,13103,13004"
50102,config,"机器人武器3主角配置技能(最小等级),(最大等级),(技能id),(技能id);",0
50103,config,"机器人武器4主角配置技能(最小等级),(最大等级),(技能id),(技能id);",0
50200,config,"机器人斧主角等级阶段标配武器(最小等级),(最大等级),(武器id);","11,19,111000;20,30,121000"
50201,config,"机器人剑主角等级阶段标配武器(最小等级),(最大等级),(武器id);","11,19,111100;20,30,121100"
50202,config,"机器人武器3主角等级阶段标配武器(最小等级),(最大等级),(武器id);",0
50203,config,"机器人武器4主角等级阶段标配武器(最小等级),(最大等级),(武器id);",0
