"强化规则ID
===
Id
===
int-cs","等级
===
Level
===
int-cs","需要经验
===
NeedExp
===
int-cs","属性成长0
===
AttrGrowUp0
===
float-cs","属性成长1
===
AttrGrowUp1
===
float-cs","属性成长2
===
AttrGrowUp2
===
float-cs","属性成长3
===
AttrGrowUp3
===
float-cs","属性成长4
===
AttrGrowUp4
===
float-cs","属性成长5
===
AttrGrowUp5
===
float-cs","属性成长6
===
AttrGrowUp6
===
float-cs","属性成长7
===
AttrGrowUp7
===
float-cs","属性成长8
===
AttrGrowUp8
===
float-cs","属性成长9
===
AttrGrowUp9
===
float-cs","属性成长10
===
AttrGrowUp10
===
float-cs","属性成长11
===
AttrGrowUp11
===
float-cs","属性成长12
===
AttrGrowUp12
===
float-cs","属性成长13
===
AttrGrowUp13
===
float-cs","属性成长14
===
AttrGrowUp14
===
float-cs","属性成长15
===
AttrGrowUp15
===
float-cs","属性成长16
===
AttrGrowUp16
===
float-cs","属性成长17
===
AttrGrowUp17
===
float-cs","属性成长18
===
AttrGrowUp18
===
float-cs","属性成长19
===
AttrGrowUp19
===
float-cs","属性成长20
===
AttrGrowUp20
===
float-cs","属性成长21
===
AttrGrowUp21
===
float-cs","属性成长22
===
AttrGrowUp22
===
float-cs","属性成长23
===
AttrGrowUp23
===
float-cs","属性成长24
===
AttrGrowUp24
===
float-cs","属性成长25
===
AttrGrowUp25
===
float-cs","属性成长26
===
AttrGrowUp26
===
float-cs","属性成长27
===
AttrGrowUp27
===
float-cs","属性成长28
===
AttrGrowUp28
===
float-cs","属性成长29
===
AttrGrowUp29
===
float-cs","属性成长30
===
AttrGrowUp30
===
float-cs","属性成长31
===
AttrGrowUp31
===
float-cs"
57,57,356375,302,332,3989,0,95,95,95,95,108,108,108,108,287,287,292,292,215,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
58,58,418875,306,335,4029,0,96,96,96,96,109,109,109,109,290,290,295,295,216,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
59,59,493875,309,339,4076,0,96,96,96,96,109,109,109,109,292,292,298,298,218,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
60,60,581375,313,342,4114,0,96,96,96,96,110,110,110,110,295,295,301,301,220,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
61,61,668875,360,404,5584,0,126,126,126,126,132,132,132,132,357,357,360,360,271,0,0,0,0,0,0,0,0,50,88,0,0,0,0,0
62,62,756375,363,408,5628,0,127,127,127,127,134,134,134,134,360,360,363,363,273,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
63,63,843875,367,411,5672,0,127,127,127,127,135,135,135,135,362,362,366,366,275,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
64,64,931375,371,415,5717,0,128,128,128,128,136,136,136,136,365,365,369,369,276,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
65,65,1018875,374,418,5760,0,128,128,128,128,137,137,137,137,368,368,372,372,278,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
66,66,1106375,378,422,5813,0,129,129,129,129,138,138,138,138,371,371,375,375,279,0,0,0,0,0,0,0,0,51,90,0,0,0,0,0
67,67,1193875,382,425,5859,0,129,129,129,129,139,139,139,139,373,373,378,378,281,0,0,0,0,0,0,0,0,51,90,0,0,0,0,0
68,68,1281375,386,429,5905,0,130,130,130,130,140,140,140,140,376,376,381,381,283,0,0,0,0,0,0,0,0,52,90,0,0,0,0,0
69,69,1368875,389,432,5952,0,130,130,130,130,141,141,141,141,379,379,384,384,284,0,0,0,0,0,0,0,0,52,91,0,0,0,0,0
70,70,1456375,393,436,5996,0,131,131,131,131,142,142,142,142,382,382,387,387,286,0,0,0,0,0,0,0,0,52,91,0,0,0,0,0
71,71,1543875,442,501,7836,0,162,162,162,162,165,165,165,165,447,447,449,449,339,0,0,0,0,0,0,0,0,63,110,0,0,0,0,0
72,72,1631375,446,504,7887,0,162,162,162,162,166,166,166,166,449,449,452,452,341,0,0,0,0,0,0,0,0,63,111,0,0,0,0,0
73,73,1718875,450,508,7948,0,163,163,163,163,167,167,167,167,452,452,455,455,342,0,0,0,0,0,0,0,0,63,111,0,0,0,0,0
74,74,1806375,454,511,7999,0,163,163,163,163,168,168,168,168,455,455,459,459,344,0,0,0,0,0,0,0,0,64,111,0,0,0,0,0
75,75,1893875,458,515,8049,0,164,164,164,164,169,169,169,169,458,458,462,462,346,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
76,76,1981375,462,519,8101,0,164,164,164,164,170,170,170,170,461,461,465,465,347,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
77,77,2068875,466,522,8154,0,165,165,165,165,171,171,171,171,464,464,468,468,349,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
78,78,2156375,469,526,8207,0,165,165,165,165,172,172,172,172,467,467,471,471,351,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
79,79,2243875,473,529,8270,0,166,166,166,166,173,173,173,173,469,469,474,474,352,0,0,0,0,0,0,0,0,64,113,0,0,0,0,0
80,80,2331375,477,533,8320,0,166,166,166,166,174,174,174,174,472,472,477,477,354,0,0,0,0,0,0,0,0,65,113,0,0,0,0,0
81,81,2418875,529,601,10572,0,199,199,199,199,198,198,198,198,540,540,543,543,408,0,0,0,0,0,0,0,0,76,132,0,0,0,0,0
82,82,2506375,533,604,10631,0,199,199,199,199,199,199,199,199,543,543,546,546,410,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
83,83,2593875,537,608,10691,0,200,200,200,200,201,201,201,201,546,546,549,549,411,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
84,84,2681375,541,612,10750,0,200,200,200,200,202,202,202,202,549,549,552,552,413,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
85,85,2768875,545,615,10807,0,201,201,201,201,203,203,203,203,552,552,555,555,415,0,0,0,0,0,0,0,0,76,134,0,0,0,0,0
86,86,2856375,549,619,10879,0,201,201,201,201,204,204,204,204,555,555,558,558,417,0,0,0,0,0,0,0,0,77,134,0,0,0,0,0
87,87,2943875,553,623,10939,0,202,202,202,202,205,205,205,205,558,558,562,562,418,0,0,0,0,0,0,0,0,77,134,0,0,0,0,0
88,88,3031375,557,626,11000,0,202,202,202,202,206,206,206,206,561,561,565,565,420,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
89,89,3118875,561,630,11061,0,203,203,203,203,207,207,207,207,564,564,568,568,422,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
90,90,3206375,565,634,11120,0,204,204,204,204,208,208,208,208,567,567,571,571,424,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
91,91,3293875,619,704,13827,0,237,237,237,237,233,233,233,233,638,638,640,640,479,0,0,0,0,0,0,0,0,88,154,0,0,0,0,0
92,92,3381375,623,708,13895,0,238,238,238,238,234,234,234,234,641,641,643,643,481,0,0,0,0,0,0,0,0,88,155,0,0,0,0,0
93,93,3468875,627,712,13976,0,238,238,238,238,235,235,235,235,644,644,646,646,483,0,0,0,0,0,0,0,0,89,155,0,0,0,0,0
94,94,3556375,631,715,14044,0,239,239,239,239,236,236,236,236,647,647,650,650,484,0,0,0,0,0,0,0,0,89,155,0,0,0,0,0
95,95,3643875,636,719,14110,0,240,240,240,240,238,238,238,238,650,650,653,653,486,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
96,96,3731375,640,723,14179,0,240,240,240,240,239,239,239,239,653,653,656,656,488,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
97,97,3818875,644,727,14249,0,241,241,241,241,240,240,240,240,656,656,659,659,490,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
98,98,3906375,648,731,14319,0,241,241,241,241,241,241,241,241,659,659,662,662,491,0,0,0,0,0,0,0,0,89,157,0,0,0,0,0
99,99,3993875,652,734,14402,0,242,242,242,242,242,242,242,242,662,662,666,666,493,0,0,0,0,0,0,0,0,90,157,0,0,0,0,0
100,100,4081375,656,738,14469,0,242,242,242,242,243,243,243,243,665,665,669,669,495,0,0,0,0,0,0,0,0,90,157,0,0,0,0,0
#申公豹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,1,87,26,27,131,0,0,0,0,8,10,10,5,10,14,14,14,14,10,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
10001,2,100,30,32,156,0,0,0,0,8,12,12,6,12,16,16,17,17,12,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
10002,3,112,35,37,181,0,0,0,0,10,14,14,7,14,19,19,19,19,13,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
10003,4,125,40,42,207,0,0,0,0,10,16,16,8,16,21,21,22,22,15,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
10004,5,137,46,46,231,0,0,0,0,12,18,18,9,18,23,23,24,24,16,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
10005,6,150,51,51,260,0,0,0,0,12,20,20,10,20,26,26,27,27,18,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
10006,7,162,56,56,286,0,0,0,0,14,22,22,11,22,28,28,29,29,19,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
10007,8,175,61,61,313,0,0,0,0,14,24,24,12,24,30,30,32,32,21,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
10008,9,200,67,66,341,0,0,0,0,14,26,26,13,26,33,33,35,35,22,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
10009,10,225,72,72,366,0,0,0,0,16,28,28,14,28,35,35,37,37,24,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
10010,11,375,86,90,461,0,0,0,0,24,36,36,18,36,46,46,48,48,33,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0
10011,12,750,91,94,488,0,0,0,0,26,38,38,19,38,48,48,50,50,34,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
10012,13,1125,98,99,518,0,0,0,0,26,38,38,19,38,51,51,53,53,36,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
10013,14,1500,102,104,545,0,0,0,0,28,40,40,20,40,53,53,55,55,37,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
10014,15,1875,107,110,571,0,0,0,0,28,42,42,21,42,55,55,58,58,39,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
10015,16,2375,112,115,599,0,0,0,0,28,44,44,22,44,58,58,61,61,40,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
10016,17,2875,118,120,627,0,0,0,0,30,46,46,23,46,60,60,63,63,42,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
10017,18,3625,123,125,656,0,0,0,0,30,48,48,24,48,63,63,66,66,43,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
10018,19,4375,128,130,687,0,0,0,0,32,50,50,25,50,65,65,68,68,45,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
10019,20,5125,134,136,714,0,0,0,0,32,52,52,26,52,68,68,71,71,46,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
10020,21,6125,158,168,917,0,0,0,0,50,66,66,33,66,87,87,90,90,63,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0
10021,22,7375,163,173,946,0,0,0,0,50,68,68,34,68,89,89,92,92,65,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0
10022,23,8875,170,178,975,0,0,0,0,52,70,70,35,70,92,92,95,95,66,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0
10023,24,10625,174,182,1004,0,0,0,0,52,72,72,36,72,94,94,97,97,68,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0
10024,25,12625,179,187,1032,0,0,0,0,54,74,74,37,74,96,96,100,100,69,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0
10025,26,14875,186,194,1064,0,0,0,0,54,76,76,38,76,99,99,103,103,71,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0
10026,27,17375,190,198,1094,0,0,0,0,54,78,78,39,78,101,101,105,105,72,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
10027,28,20125,195,203,1124,0,0,0,0,56,80,80,40,80,104,104,108,108,74,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
10028,29,23125,202,208,1155,0,0,0,0,56,82,82,41,82,106,106,111,111,75,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
10029,30,26375,206,213,1183,0,0,0,0,58,84,84,42,84,109,109,113,113,77,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0
10030,31,29875,242,261,1554,0,0,0,0,84,104,104,52,104,137,137,141,141,102,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
10031,32,33875,246,266,1585,0,0,0,0,86,106,106,53,106,140,140,143,143,103,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
10032,33,38125,253,270,1620,0,0,0,0,86,108,108,54,108,142,142,146,146,105,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
10033,34,42625,258,275,1652,0,0,0,0,86,110,110,55,110,145,145,149,149,107,0,0,0,0,0,0,0,0,19,32,0,0,0,0,0
10034,35,47375,264,282,1682,0,0,0,0,88,112,112,56,112,147,147,152,152,108,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
10035,36,52375,269,286,1713,0,0,0,0,88,114,114,57,114,150,150,154,154,110,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
10036,37,57625,275,291,1746,0,0,0,0,90,116,116,58,116,152,152,157,157,111,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
10037,38,63125,280,296,1778,0,0,0,0,90,118,118,59,118,155,155,160,160,113,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
10038,39,68875,285,302,1815,0,0,0,0,92,120,120,60,120,157,157,162,162,114,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
10039,40,75125,291,307,1846,0,0,0,0,92,122,122,61,122,160,160,165,165,116,0,0,0,0,0,0,0,0,20,34,0,0,0,0,0
10040,41,82000,338,370,2463,0,0,0,0,128,150,150,75,150,198,198,202,202,149,0,0,0,0,0,0,0,0,27,47,0,0,0,0,0
10041,42,89500,344,376,2497,0,0,0,0,130,152,152,76,152,201,201,205,205,151,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
10042,43,97625,349,381,2531,0,0,0,0,130,154,154,77,154,203,203,208,208,152,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
10043,44,106375,355,386,2566,0,0,0,0,132,156,156,78,156,206,206,211,211,154,0,0,0,0,0,0,0,0,28,48,0,0,0,0,0
10044,45,115125,360,392,2599,0,0,0,0,132,158,158,79,158,209,209,213,213,155,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
10045,46,124500,366,397,2639,0,0,0,0,134,160,160,80,160,211,211,216,216,157,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
10046,47,134500,371,402,2675,0,0,0,0,134,162,162,81,162,214,214,219,219,159,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
10047,48,145125,378,408,2710,0,0,0,0,136,164,164,82,164,216,216,221,221,160,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
10048,49,156375,382,413,2746,0,0,0,0,136,166,166,83,166,219,219,224,224,162,0,0,0,0,0,0,0,0,28,50,0,0,0,0,0
10049,50,168875,389,418,2781,0,0,0,0,136,168,168,84,168,221,221,227,227,163,0,0,0,0,0,0,0,0,29,50,0,0,0,0,0
10050,51,183875,448,499,3749,0,0,0,0,184,202,202,101,202,271,271,275,275,205,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
10051,52,201375,454,504,3788,0,0,0,0,186,204,204,102,204,274,274,278,278,207,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
10052,53,221375,459,509,3833,0,0,0,0,186,206,206,103,206,276,276,280,280,209,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
10053,54,243875,466,515,3872,0,0,0,0,188,208,208,104,208,279,279,283,283,210,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
10054,55,268875,472,520,3909,0,0,0,0,188,210,210,105,210,282,282,286,286,212,0,0,0,0,0,0,0,0,39,67,0,0,0,0,0
10055,56,306375,477,526,3949,0,0,0,0,190,212,212,106,212,284,284,289,289,213,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
10056,57,356375,483,531,3989,0,0,0,0,190,216,216,108,216,287,287,292,292,215,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
10057,58,418875,490,536,4029,0,0,0,0,192,218,218,109,218,290,290,295,295,216,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
10058,59,493875,494,542,4076,0,0,0,0,192,218,218,109,218,292,292,298,298,218,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
10059,60,581375,501,547,4114,0,0,0,0,192,220,220,110,220,295,295,301,301,220,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
10060,61,668875,576,646,5584,0,0,0,0,252,264,264,132,264,357,357,360,360,271,0,0,0,0,0,0,0,0,50,88,0,0,0,0,0
10061,62,756375,581,653,5628,0,0,0,0,254,268,268,134,268,360,360,363,363,273,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
10062,63,843875,587,658,5672,0,0,0,0,254,270,270,135,270,362,362,366,366,275,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
10063,64,931375,594,664,5717,0,0,0,0,256,272,272,136,272,365,365,369,369,276,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
10064,65,1018875,598,669,5760,0,0,0,0,256,274,274,137,274,368,368,372,372,278,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
10065,66,1106375,605,675,5813,0,0,0,0,258,276,276,138,276,371,371,375,375,279,0,0,0,0,0,0,0,0,51,90,0,0,0,0,0
