"任务ID
===
Id
===
int-cs","任务名称
===
Name
===
string-cs","任务描述
===
Desc
===
string-cs","任务参数0.参数1
===
TaskParam0.param1
===
int-cs","任务参数0.参数2
===
TaskParam0.param2
===
int-cs","任务参数0.参数值
===
TaskParam0.value
===
int-cs","任务参数1.参数1
===
TaskParam1.param1
===
int-cs","任务参数1.参数2
===
TaskParam1.param2
===
int-cs","任务参数1.参数值
===
TaskParam1.value
===
int-cs","任务参数2.参数1
===
TaskParam2.param1
===
int-cs","任务参数2.参数2
===
TaskParam2.param2
===
int-cs","任务参数2.参数值
===
TaskParam2.value
===
int-cs"
10062,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
10070,通关,通关此关卡即可完成任务,1,1,1007,-1,-1,-1,-1,-1,-1
10071,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
10072,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
10080,通关,通关此关卡即可完成任务,1,1,1008,-1,-1,-1,-1,-1,-1
10081,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
10082,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
#第二章,,,,,,,,,,,
20010,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
20011,身形如燕,受到总伤害不足2000,8,-1,2000,-1,-1,-1,-1,-1,-1
20012,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
20020,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
20021,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
20022,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
20030,同仇敌忾,至少配置两名武将上场,4,1,2,-1,-1,-1,-1,-1,-1
20031,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
20032,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
20040,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
20041,同仇敌忾,至少配置两名武将上场,4,1,2,-1,-1,-1,-1,-1,-1
20042,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
20050,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
20051,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
20052,快速通关,限时100秒通关副本,2,1,100,-1,-1,-1,-1,-1,-1
20060,身形如燕,受到总伤害不足2000,8,-1,2000,-1,-1,-1,-1,-1,-1
20061,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
20062,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
20070,身形如燕,受到总伤害不足2000,8,-1,2000,-1,-1,-1,-1,-1,-1
20071,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
20072,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
20080,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
20081,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
20082,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
#第三章,,,,,,,,,,,
30010,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
30011,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
30012,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
30020,身形如燕,受到总伤害不足3000,8,-1,3000,-1,-1,-1,-1,-1,-1
30021,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
30022,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
30030,身形如燕,受到总伤害不足3000,8,-1,3000,-1,-1,-1,-1,-1,-1
30031,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
30032,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
30040,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
30041,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
30042,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
30050,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
30051,身形如燕,受到总伤害不足3000,8,-1,3000,-1,-1,-1,-1,-1,-1
30052,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
30060,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
30061,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
30062,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
30070,同仇敌忾,至少配置三名武将上场,4,1,3,-1,-1,-1,-1,-1,-1
30071,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
30072,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
30080,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
30081,同仇敌忾,至少配置三名武将上场,4,1,3,-1,-1,-1,-1,-1,-1
30082,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
#第四章,,,,,,,,,,,
40010,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
40011,身形如燕,受到总伤害不足4000,8,-1,4000,-1,-1,-1,-1,-1,-1
40012,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
40020,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
40021,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
40022,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
40030,同仇敌忾,至少配置三名武将上场,4,1,3,-1,-1,-1,-1,-1,-1
40031,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
40032,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
40040,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
40041,同仇敌忾,至少配置三名武将上场,4,1,3,-1,-1,-1,-1,-1,-1
40042,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
40050,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
40051,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
40052,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
40060,身形如燕,受到总伤害不足4000,8,-1,4000,-1,-1,-1,-1,-1,-1
40061,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
40062,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
40070,身形如燕,受到总伤害不足4000,8,-1,4000,-1,-1,-1,-1,-1,-1
40071,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
40072,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
40080,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
40081,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
40082,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
#精英第一章,,,,,,,,,,,
1010010,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
1010011,身形如燕,受到总伤害不足1000,8,-1,1000,-1,-1,-1,-1,-1,-1
1010012,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1010020,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
1010021,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
1010022,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1010030,同仇敌忾,至少配置一名武将上场,4,1,1,-1,-1,-1,-1,-1,-1
1010031,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
1010032,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1010040,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
1010041,同仇敌忾,至少配置一名武将上场,4,1,1,-1,-1,-1,-1,-1,-1
1010042,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1010050,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
1010051,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
1010052,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1010060,身形如燕,受到总伤害不足1000,8,-1,1000,-1,-1,-1,-1,-1,-1
1010061,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
1010062,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
#1010070,身形如燕,受到总伤害不足1000,8,-1,1000,-1,-1,-1,-1,-1,-1
#1010071,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
#1010072,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
#1010080,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
#1010081,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
#1010082,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
#精英第二章,,,,,,,,,,,
1020010,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
1020011,身形如燕,受到总伤害不足2000,8,-1,2000,-1,-1,-1,-1,-1,-1
1020012,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1020020,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
1020021,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
1020022,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1020030,同仇敌忾,至少配置两名武将上场,4,1,2,-1,-1,-1,-1,-1,-1
1020031,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
1020032,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1020040,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
1020041,同仇敌忾,至少配置两名武将上场,4,1,2,-1,-1,-1,-1,-1,-1
1020042,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1020050,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
1020051,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
1020052,快速通关,限时100秒通关副本,2,1,100,-1,-1,-1,-1,-1,-1
1020060,身形如燕,受到总伤害不足2000,8,-1,2000,-1,-1,-1,-1,-1,-1
1020061,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
1020062,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1020070,身形如燕,受到总伤害不足2000,8,-1,2000,-1,-1,-1,-1,-1,-1
1020071,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
1020072,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1020080,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
1020081,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
1020082,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
#精英第三章,,,,,,,,,,,
1030010,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
1030011,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
1030012,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1030020,身形如燕,受到总伤害不足3000,8,-1,3000,-1,-1,-1,-1,-1,-1
1030021,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
1030022,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1030030,身形如燕,受到总伤害不足3000,8,-1,3000,-1,-1,-1,-1,-1,-1
1030031,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
1030032,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1030040,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
1030041,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
1030042,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1030050,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
1030051,身形如燕,受到总伤害不足3000,8,-1,3000,-1,-1,-1,-1,-1,-1
1030052,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1030060,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
1030061,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
1030062,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1030070,同仇敌忾,至少配置三名武将上场,4,1,3,-1,-1,-1,-1,-1,-1
1030071,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
1030072,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1030080,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
1030081,同仇敌忾,至少配置三名武将上场,4,1,3,-1,-1,-1,-1,-1,-1
1030082,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
#精英第四章,,,,,,,,,,,
1040010,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
1040011,身形如燕,受到总伤害不足4000,8,-1,4000,-1,-1,-1,-1,-1,-1
1040012,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1040020,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
1040021,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
1040022,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1040030,同仇敌忾,至少配置三名武将上场,4,1,3,-1,-1,-1,-1,-1,-1
1040031,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
1040032,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1040040,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
1040041,同仇敌忾,至少配置三名武将上场,4,1,3,-1,-1,-1,-1,-1,-1
1040042,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1040050,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
1040051,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
1040052,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1040060,身形如燕,受到总伤害不足4000,8,-1,4000,-1,-1,-1,-1,-1,-1
1040061,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
1040062,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1040070,身形如燕,受到总伤害不足4000,8,-1,4000,-1,-1,-1,-1,-1,-1
1040071,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
1040072,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1040080,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
1040081,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
1040082,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
