"Id
===
Id
===
int-cs","副本ID0
===
DungeonId0
===
int-cs","副本ID1
===
DungeonId1
===
int-cs","副本ID2
===
DungeonId2
===
int-cs","Json
===
Json
===
string-cs","Atlas
===
Atlas
===
string-cs","缩放
===
Scale
===
float-cs","图层编号
===
Parent
===
int-cs","起始坐标（X）
===
X
===
int-cs","起始坐标（Y）
===
Y
===
int-cs","zOrder
===
ZOrder
===
int-cs","路径类型
===
PathType
===
int-cs","DeltaX
===
DeltaX
===
float-cs","DeltaY
===
DeltaY
===
float-cs","时间
===
Time
===
float-cs"
27,7,1007,2007,Minion/jingling.json,Minion/gou.atlas,0.75,2,2533,302,-1,0,0,0,0
28,7,1007,2007,Minion/laoshu.json,Minion/gou.atlas,0.75,2,1579,76,1,0,0,0,0
29,7,1007,2007,Minion/baihu.json,Minion/gou.atlas,0.75,2,1881,71,1,0,0,0,0
30,12,1012,2012,Minion/xianrenzhang.json,Minion/gou.atlas,0.75,3,920,492,1,0,0,0,0
31,12,1012,2012,Minion/xiezi.json,Minion/gou.atlas,0.75,3,979,121,1,1,-1600,0,19
32,12,1012,2012,Minion/pachong.json,Minion/gou.atlas,0.75,3,1543,519,1,1,-1600,0,19
33,12,1012,2012,Minion/she.json,Minion/gou.atlas,0.75,3,1755,485,1,1,-1600,0,19
34,12,1012,2012,Minion/piaochong.json,Minion/gou.atlas,0.75,2,1852,68,1,0,0,0,0
35,19,1019,2019,Minion/xiyi.json,Minion/gou.atlas,0.75,2,447,83,1,0,0,0,0
36,19,1019,2019,Minion/xiaoniao.json,Minion/gou.atlas,0.75,3,1392,588,1,0,0,0,0
37,19,1019,2019,Minion/ji.json,Minion/gou.atlas,0.75,3,1514,648,1,0,0,0,0
38,19,1019,2019,Minion/niao.json,Minion/gou.atlas,0.75,2,1366,68,1,0,0,0,0
39,14,1014,2014,Minion/zhizhu02.json,Minion/gou.atlas,0.75,3,232,242,1,1,1600,0,19
40,14,1014,2014,Minion/zhizhu01.json,Minion/gou.atlas,0.75,2,1307,608,-1,0,0,0,0
41,14,1014,2014,Minion/zhizhu01.json,Minion/gou.atlas,0.3,3,345,766,1,0,0,0,0
42,14,1014,2014,Minion/zhizhu01.json,Minion/gou.atlas,0.3,3,1460,754,1,0,0,0,0
43,16,1016,2016,Minion/yazi.json,Minion/gou.atlas,0.75,3,1026,360,1,1,-1600,0,17
44,16,1016,2016,Minion/gou.json,Minion/gou.atlas,0.75,3,1064,510,1,0,0,0,0
45,16,1016,2016,Minion/pangniao.json,Minion/gou.atlas,0.75,3,1297,467,1,1,1600,0,15
46,16,1016,2016,Minion/mao.json,Minion/gou.atlas,0.75,3,1391,600,1,0,0,0,0
47,16,1016,2016,Minion/woniu.json,Minion/gou.atlas,0.75,2,1112,71,1,0,0,0,0
48,4,1004,2004,Minion/xiyi.json,Minion/gou.atlas,0.75,2,91,59,1,0,0,0,0
49,4,1004,2004,Minion/lanniao.json,Minion/gou.atlas,0.75,3,1107,485,1,1,-1600,0,12
50,4,1004,2004,Minion/mogu.json,Minion/gou.atlas,0.75,3,1357,486,1,1,-1600,0,17
51,4,1004,2004,Minion/niao.json,Minion/gou.atlas,0.75,2,1381,60,1,0,0,0,0
52,10,1010,2010,Minion/xiezi.json,Minion/gou.atlas,0.75,3,973,120,1,1,-1600,0,17
53,10,1010,2010,Minion/shiren01.json,Minion/gou.atlas,0.75,3,1081,513,1,0,0,0,0
54,10,1010,2010,Minion/shiren02.json,Minion/gou.atlas,0.75,3,873,612,1,0,0,0,0
55,10,1010,2010,Minion/shiren03.json,Minion/gou.atlas,0.75,3,1065,657,1,0,0,0,0
56,10,1010,2010,Minion/bianfu.json,Minion/gou.atlas,0.75,3,1536,464,1,1,-1600,0,17
57,3,1003,2003,Minion/baitu.json,Minion/gou.atlas,0.75,3,657,443,1,1,1600,0,17
58,3,1003,2003,Minion/songshu.json,Minion/gou.atlas,0.75,3,1416,438,1,1,-1600,0,17
59,3,1003,2003,Minion/xiaosongshu01.json,Minion/gou.atlas,0.75,2,1641,33,1,0,0,0,0
60,3,1003,2003,Minion/xiaosongshu02.json,Minion/gou.atlas,0.75,3,1891,524,1,0,0,0,0
61,3,1003,2003,Minion/xiaosongshu03.json,Minion/gou.atlas,0.75,3,1713,556,1,0,0,0,0
62,2,1002,2002,Minion/zhiwushou.json,Minion/gou.atlas,0.75,2,195,59,1,0,0,0,0
63,2,1002,2002,Minion/wuya.json,Minion/gou.atlas,0.75,3,493,636,1,1,1600,0,15
64,2,1002,2002,Minion/wugui.json,Minion/gou.atlas,0.75,3,612,493,1,1,-1450,0,19
65,2,1002,2002,Minion/zhiwu.json,Minion/gou.atlas,0.75,3,868,503,1,0,0,0,0
66,2,1002,2002,Minion/zhiwuqiu.json,Minion/gou.atlas,0.75,3,780,378,1,2,1600,0,14
67,8,1008,2008,Minion/ruanniguai.json,Minion/gou.atlas,0.75,3,472,90,1,1,-1450,0,19
68,8,1008,2008,Minion/ruanni.json,Minion/gou.atlas,0.75,3,724,502,1,1,-1450,0,19
69,8,1008,2008,Minion/yinghuochong.json,Minion/gou.atlas,0.75,3,794,472,1,1,-1450,0,17
70,8,1008,2008,Minion/maoqiu.json,Minion/gou.atlas,0.75,2,1566,96,1,0,0,0,0
71,11,1011,2011,Minion/xueren.json,Minion/gou.atlas,0.75,3,567,472,1,0,0,0,0
72,11,1011,2011,Minion/baihu.json,Minion/gou.atlas,0.75,2,1073,72,1,0,0,0,0
73,11,1011,2011,Minion/xuehu.json,Minion/gou.atlas,0.75,3,608,305,1,1,-1450,0,17
74,11,1011,2011,Minion/xueqiu.json,Minion/gou.atlas,0.75,3,803,203,1,1,-1600,0,17
75,5,1005,2005,Minion/huoren.json,Minion/gou.atlas,0.75,3,568,433,1,1,-1450,0,17
76,5,1005,2005,Minion/meiqiuren.json,Minion/gou.atlas,0.75,3,1023,503,1,1,-1600,0,17
77,5,1005,2005,Minion/meiqiu.json,Minion/gou.atlas,0.75,2,1635,51,1,0,0,0,0
78,13,1013,2013,Minion/lvren02.json,Minion/gou.atlas,0.75,2,1111,38,1,0,0,0,0
79,13,1013,2013,Minion/xiannv.json,Minion/gou.atlas,0.75,3,1355,467,1,1,-1600,0,12
80,13,1013,2013,Minion/qingchong.json,Minion/gou.atlas,0.75,3,1385,153,1,1,-1600,0,19
81,13,1013,2013,Minion/lvren01.json,Minion/gou.atlas,0.75,2,1617,46,1,0,0,0,0
82,20,1020,2020,Minion/lvchong1.json,Minion/gou.atlas,0.75,2,1402,62,1,0,0,0,0
83,20,1020,2020,Minion/lvchong2.json,Minion/gou.atlas,0.75,2,1628,78,1,0,0,0,0
84,20,1020,2020,Minion/qingwa1.json,Minion/gou.atlas,0.75,3,1484,258,1,0,0,0,0
85,20,1020,2020,Minion/qingwa2.json,Minion/gou.atlas,0.75,3,1556,228,1,0,0,0,0
86,15,1015,2015,Minion/xiaoyu.json,Minion/gou.atlas,0.75,3,496,503,1,1,-1450,0,17
87,15,1015,2015,Minion/shuipao.json,Minion/gou.atlas,0.75,3,1224,556,1,0,0,0,0
88,15,1015,2015,Minion/beike.json,Minion/gou.atlas,0.75,3,1543,450,1,0,0,0,0
89,99,1099,2099,Minion/xianrenzhang.json,Minion/gou.atlas,0.75,3,1015,413,1,0,0,0,0
90,99,1099,2099,Minion/she.json,Minion/gou.atlas,0.75,3,1287,47,1,0,0,0,0
91,99,1099,2099,Minion/pachong.json,Minion/gou.atlas,0.75,3,1559,395,1,0,0,0,0
92,18,1018,2018,Minion/xiaoyu.json,Minion/gou.atlas,0.75,3,496,503,1,1,-1450,0,17
93,18,1018,2018,Minion/shuipao.json,Minion/gou.atlas,0.75,3,1224,556,1,0,0,0,0
94,18,1018,2018,Minion/beike.json,Minion/gou.atlas,0.75,3,1543,450,1,0,0,0,0
