"兑换次数
===
Id
===
int-cs","所需钻石数量
===
NeedDiamondCount
===
int-cs","获取金币数量
===
GetGoldCount
===
int-cs"
326,5400,125950
327,5400,126225
328,5400,126500
329,5450,126775
330,5450,127325
331,5450,127600
332,5500,127875
333,5500,128150
334,5500,128425
335,5550,128700
336,5550,128975
337,5550,129250
338,5600,129525
339,5600,129800
340,5600,130350
341,5650,130625
342,5650,130900
343,5650,131175
344,5700,131450
345,5700,131725
346,5700,132000
347,5750,132275
348,5750,132550
349,5750,132825
350,5800,133375
351,5800,133650
352,5800,133925
353,5850,134200
354,5850,134475
355,5850,134750
356,5900,135025
357,5900,135300
358,5900,135575
359,5950,135850
360,5950,136400
361,5950,136675
362,6000,136950
363,6000,137225
364,6000,137500
365,6050,137775
366,6050,138050
367,6050,138325
368,6100,138600
369,6100,138875
370,6100,139425
371,6150,139700
372,6150,139975
373,6150,140250
374,6200,140525
375,6200,140800
376,6200,141075
377,6250,141350
378,6250,141625
379,6250,141900
380,6300,142450
381,6300,142725
382,6300,143000
383,6350,143275
384,6350,143550
385,6350,143825
386,6400,144100
387,6400,144375
388,6400,144650
389,6450,144925
390,6450,145475
391,6450,145750
392,6500,146025
393,6500,146300
394,6500,146575
395,6550,146850
396,6550,147125
397,6550,147400
398,6600,147675
399,6600,147950
400,6600,148500
401,6650,148775
402,6650,149050
403,6650,149325
404,6700,149600
405,6700,149875
406,6700,150150
407,6750,150425
408,6750,150700
409,6750,150975
410,6800,151525
411,6800,151800
412,6800,152075
413,6850,152350
414,6850,152625
415,6850,152900
416,6900,153175
417,6900,153450
418,6900,153725
419,6950,154000
420,6950,154550
421,6950,154825
422,7000,155100
423,7000,155375
424,7000,155650
425,7050,155925
426,7050,156200
427,7050,156475
428,7100,156750
429,7100,157025
430,7100,157575
431,7150,157850
432,7150,158125
433,7150,158400
434,7200,158675
435,7200,158950
436,7200,159225
437,7250,159500
438,7250,159775
439,7250,160050
440,7300,160600
441,7300,160875
442,7300,161150
443,7350,161425
444,7350,161700
445,7350,161975
446,7400,162250
447,7400,162525
448,7400,162800
449,7450,163075
450,7450,163625
451,7450,163900
452,7500,164175
453,7500,164450
454,7500,164725
455,7550,165000
456,7550,165275
457,7550,165550
458,7600,165825
459,7600,166100
460,7600,166650
461,7650,166925
462,7650,167200
463,7650,167475
464,7700,167750
465,7700,168025
466,7700,168300
467,7750,168575
468,7750,168850
469,7750,169125
470,7800,169675
471,7800,169950
472,7800,170225
473,7850,170500
474,7850,170775
475,7850,171050
476,7900,171325
477,7900,171600
478,7900,171875
479,7950,172150
480,7950,172700
481,7950,172975
482,8000,173250
483,8000,173525
484,8000,173800
485,8050,174075
486,8050,174350
487,8050,174625
488,8100,174900
489,8100,175175
490,8100,175725
491,8150,176000
492,8150,176275
493,8150,176550
494,8200,176825
495,8200,177100
496,8200,177375
497,8250,177650
498,8250,177925
499,8250,178200
500,8300,178750
