"Id
===
Id
===
int-cs","描述
===
Desc
===
string-c","一级分页
===
TypeId1
===
int-cs","二级分页
===
TypeId2
===
int-cs","合成成功率(分母是10000)
===
SuccessRate
===
int-cs","是随机生成
===
IsRandomCreate
===
int-cs","随机创建表ID(LotteryAwardTable)
===
RandomCreateID
===
int-cs","不随机创建物品ID
===
CreateObjectId
===
int-cs","不随机创建物品个数
===
CreateObjectCount
===
int-cs","消耗材料0.材料Id
===
ConsumeMaterial0.Id
===
int-cs","消耗材料0.消耗数量
===
ConsumeMaterial0.Count
===
int-cs","消耗材料1.材料Id
===
ConsumeMaterial1.Id
===
int-cs","消耗材料1.消耗数量
===
ConsumeMaterial1.Count
===
int-cs","消耗材料2.材料Id
===
ConsumeMaterial2.Id
===
int-cs","消耗材料2.消耗数量
===
ConsumeMaterial2.Count
===
int-cs","消耗材料3.材料Id
===
ConsumeMaterial3.Id
===
int-cs","消耗材料3.消耗数量
===
ConsumeMaterial3.Count
===
int-cs","消耗材料4.材料Id
===
ConsumeMaterial4.Id
===
int-cs","消耗材料4.消耗数量
===
ConsumeMaterial4.Count
===
int-cs","消耗货币0.货币ID
===
ConsumeCoin0.Id
===
int-cs","消耗货币0.消耗数量
===
ConsumeCoin0.Count
===
int-cs","消耗货币1.货币ID
===
ConsumeCoin1.Id
===
int-cs","消耗货币1.消耗数量
===
ConsumeCoin1.Count
===
int-cs","消耗货币2.货币ID
===
ConsumeCoin2.Id
===
int-cs","消耗货币2.消耗数量
===
ConsumeCoin2.Count
===
int-cs","消耗货币3.货币ID
===
ConsumeCoin3.Id
===
int-cs","消耗货币3.消耗数量
===
ConsumeCoin3.Count
===
int-cs","排序
===
SortId
===
int-cs"
20154,五级寒冰石,1,3,10000,0,0,20154,1,20153,3,0,0,0,0,0,0,0,0,1,12470,0,0,0,0,0,0,403
20201,二级火晶石,1,4,10000,0,0,20201,1,20200,3,0,0,0,0,0,0,0,0,1,2941,0,0,0,0,0,0,104
20202,三级火晶石,1,4,10000,0,0,20202,1,20201,3,0,0,0,0,0,0,0,0,1,6000,0,0,0,0,0,0,204
20203,四级火晶石,1,4,10000,0,0,20203,1,20202,3,0,0,0,0,0,0,0,0,1,9176,0,0,0,0,0,0,304
20204,五级火晶石,1,4,10000,0,0,20204,1,20203,3,0,0,0,0,0,0,0,0,1,12470,0,0,0,0,0,0,404
20251,二级青龙石,1,5,10000,0,0,20251,1,20250,3,0,0,0,0,0,0,0,0,1,2941,0,0,0,0,0,0,105
20252,三级青龙石,1,5,10000,0,0,20252,1,20251,3,0,0,0,0,0,0,0,0,1,6000,0,0,0,0,0,0,205
20253,四级青龙石,1,5,10000,0,0,20253,1,20252,3,0,0,0,0,0,0,0,0,1,9176,0,0,0,0,0,0,305
20254,五级青龙石,1,5,10000,0,0,20254,1,20253,3,0,0,0,0,0,0,0,0,1,12470,0,0,0,0,0,0,405
20301,二级破魂石,1,6,10000,0,0,20301,1,20300,3,0,0,0,0,0,0,0,0,1,2941,0,0,0,0,0,0,106
20302,三级破魂石,1,6,10000,0,0,20302,1,20301,3,0,0,0,0,0,0,0,0,1,6000,0,0,0,0,0,0,206
20303,四级破魂石,1,6,10000,0,0,20303,1,20302,3,0,0,0,0,0,0,0,0,1,9176,0,0,0,0,0,0,306
20304,五级破魂石,1,6,10000,0,0,20304,1,20303,3,0,0,0,0,0,0,0,0,1,12470,0,0,0,0,0,0,406
#法宝合成,,,,,,,,,,,,,,,,,,,,,,,,,,,
80001,怒眉宝镜,4,0,10000,0,0,80001,1,80081,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80002,银凌仙衣,4,0,10000,0,0,80002,1,80082,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
80003,龙夕火,4,0,10000,0,0,80003,1,80083,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
80004,兜率灵炎,4,0,10000,0,0,80004,1,80084,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
80005,山河社稷图,4,0,10000,0,0,80005,1,80085,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
80006,鬼面镜,4,0,10000,0,0,80006,1,80086,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
80007,北极火,4,0,10000,0,0,80007,1,80087,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
80008,呐魂纱,4,0,10000,0,0,80008,1,80088,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
80009,皓天镜,4,0,10000,0,0,80009,1,80089,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
80010,八面驭风屏,4,0,10000,0,0,80010,1,80090,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
80011,五云锁仙屏,4,0,10000,0,0,80011,1,80091,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
80012,天旋神纱,4,0,10000,0,0,80012,1,80092,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
80013,冰银环,4,0,10000,0,0,80013,1,80093,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
80014,天心双环,4,0,10000,0,0,80014,1,80094,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
80015,通天神火柱,4,0,10000,0,0,80015,1,80095,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
80016,风火蒲团,4,0,10000,0,0,80016,1,80096,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
80017,如意乾坤袋,4,0,10000,0,0,80017,1,80097,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
80018,紫薇天庭甲,4,0,10000,0,0,80018,1,80098,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
80019,白玉金刚镯,4,0,10000,0,0,80019,1,80099,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
80020,紫云落影环,4,0,10000,0,0,80020,1,80100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
80021,玉心环,4,1,10000,0,0,80021,1,80101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
80022,天王镜,4,1,10000,0,0,80022,1,80102,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
80023,五光石,4,1,10000,0,0,80023,1,80103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
80024,龙王镜,4,1,10000,0,0,80024,1,80104,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
80025,幻空幛,4,1,10000,0,0,80025,1,80105,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
80026,玄冰烈火鼎,4,1,10000,0,0,80026,1,80106,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
80027,神雷鉴,4,1,10000,0,0,80027,1,80107,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
80028,金砖,4,1,10000,0,0,80028,1,80108,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
80029,纯阳真火,4,1,10000,0,0,80029,1,80109,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
80030,四象宝塔,4,1,10000,0,0,80030,1,80110,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
80031,八角鉴,4,1,10000,0,0,80031,1,80111,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
80032,天蝉纱,4,1,10000,0,0,80032,1,80112,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
80033,琉璃瓶,4,1,10000,0,0,80033,1,80113,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
80034,冰离炎,4,1,10000,0,0,80034,1,80114,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
80035,反影镜,4,1,10000,0,0,80035,1,80115,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
80036,七方炎,4,1,10000,0,0,80036,1,80116,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
80037,皓月冰精,4,1,10000,0,0,80037,1,80117,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
80038,青火,4,1,10000,0,0,80038,1,80118,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
80039,招妖幡,4,1,10000,0,0,80039,1,80119,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
80040,番天印,4,1,10000,0,0,80040,1,80120,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
80041,三宝玉如意,4,2,10000,0,0,80041,1,80121,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
80042,太极符印,4,2,10000,0,0,80042,1,80122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
80043,金身环,4,2,10000,0,0,80043,1,80123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
80044,琵琶,4,2,10000,0,0,80044,1,80124,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
80045,缚妖索,4,2,10000,0,0,80045,1,80125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
80046,六阳神火鉴,4,2,10000,0,0,80046,1,80126,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
80047,紫华炎,4,2,10000,0,0,80047,1,80127,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
80048,天音鉴,4,2,10000,0,0,80048,1,80128,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
80049,墨火,4,2,10000,0,0,80049,1,80129,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
80050,盘古幡,4,2,10000,0,0,80050,1,80130,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
80051,冲天幛,4,2,10000,0,0,80051,1,80131,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
80052,枯炎,4,2,10000,0,0,80052,1,80132,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
80053,黑雨镜,4,2,10000,0,0,80053,1,80133,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
80054,乾坤护命纱,4,2,10000,0,0,80054,1,80134,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
80055,混元伞,4,2,10000,0,0,80055,1,80135,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
80056,六阳烈炎,4,2,10000,0,0,80056,1,80136,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
80057,天王甲,4,2,10000,0,0,80057,1,80137,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
80058,潜龙令,4,2,10000,0,0,80058,1,80138,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
80059,宝盒,4,2,10000,0,0,80059,1,80139,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
80060,斗魔真炎,4,2,10000,0,0,80060,1,80140,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
80061,逆火屏,4,3,10000,0,0,80061,1,80141,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
80062,天锋鉴 ,4,3,10000,0,0,80062,1,80142,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
80063,鬼面鉴,4,3,10000,0,0,80063,1,80143,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
80064,水镜幛,4,3,10000,0,0,80064,1,80144,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
80065,彩云环,4,3,10000,0,0,80065,1,80145,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
80066,花狐貂,4,3,10000,0,0,80066,1,80146,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
80067,暗阳炎,4,3,10000,0,0,80067,1,80147,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
80068,散魂幛,4,3,10000,0,0,80068,1,80148,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
80069,共工网,4,3,10000,0,0,80069,1,80149,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
80070,彩云幛,4,3,10000,0,0,80070,1,80150,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
80071,明月金刚目,4,3,10000,0,0,80071,1,80151,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
80072,双向屏,4,3,10000,0,0,80072,1,80152,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
80073,龙王甲,4,3,10000,0,0,80073,1,80153,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
80074,三昧真火,4,3,10000,0,0,80074,1,80154,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
80075,三昧真火,4,3,10000,0,0,80075,1,80155,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
80076,心火,4,3,10000,0,0,80076,1,80156,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
80077,贝叶灵符,4,3,10000,0,0,80077,1,80157,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
80078,紫金钵盂,4,3,10000,0,0,80078,1,80158,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
80079,九子魂魄 ,4,3,10000,0,0,80079,1,80159,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
80080,黑火,4,3,10000,0,0,80080,1,80160,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
#武器-斧子,,,,,,#武器-斧子,,,,,,,,,,,,,,,,,,,,,#武器-斧子
100000,铜斧,0,0,10000,1,1000,-1,-1,30015,3,-1,0,-1,0,-1,0,-1,0,1,2941,-1,-1,-1,-1,-1,-1,100000
111000,银斧,0,0,10000,1,1001,-1,-1,100000,2,30015,11,30001,3,-1,0,-1,0,1,7763,-1,-1,-1,-1,-1,-1,110000
121000,秘银战斧,0,0,10000,1,1002,-1,-1,100000,2,30025,22,30001,4,-1,0,-1,0,1,38823,-1,-1,-1,-1,-1,-1,111000
132000,烈焰斩斧,0,0,10000,1,1003,-1,-1,111000,3,30016,13,30002,6,-1,0,-1,0,1,135881,-1,-1,-1,-1,-1,-1,121000
142000,碎伽斩斧,0,0,10000,1,1004,-1,-1,111000,5,30001,23,30017,9,-1,0,-1,0,1,310587,-1,-1,-1,-1,-1,-1,122000
153000,裂地末日,0,0,10000,1,1005,-1,-1,121000,8,30027,13,30003,3,-1,0,-1,0,1,711763,-1,-1,-1,-1,-1,-1,131000
163000,血吼遗产,0,0,10000,1,1006,-1,-1,121000,8,30017,16,30028,4,30029,1,-1,0,1,1242352,-1,-1,-1,-1,-1,-1,132000
164000,亵渎先兆,0,0,10000,1,1007,-1,-1,121000,15,30002,26,30018,8,30019,3,-1,0,1,1242352,-1,-1,-1,-1,-1,-1,141000
#武器-剑,,,,,,#武器-剑,,,,,,, ,,,,,,,,,,,,,,#武器-剑
100100,桃木剑,0,0,10000,1,2000,-1,-1,30015,3,-1,0,-1,0,-1,0,-1,0,1,2941,-1,-1,-1,-1,-1,-1,100100
111100,军机剑,0,0,10000,1,2001,-1,-1,100100,2,30015,11,30026,3,-1,0,-1,0,1,7763,-1,-1,-1,-1,-1,-1,110100
121100,唤雷剑,0,0,10000,1,2002,-1,-1,100100,2,30025,22,30016,4,-1,0,-1,0,1,38823,-1,-1,-1,-1,-1,-1,111100
132100,掠天之剑,0,0,10000,1,2003,-1,-1,111100,3,30016,13,30027,6,-1,0,-1,0,1,135881,-1,-1,-1,-1,-1,-1,121100
142100,仪式之剑,0,0,10000,1,2004,-1,-1,111100,5,30001,23,30027,9,-1,0,-1,0,1,310587,-1,-1,-1,-1,-1,-1,122100
153100,变节之咬,0,0,10000,1,2005,-1,-1,121100,8,30002,13,30003,3,-1,0,-1,0,1,711763,-1,-1,-1,-1,-1,-1,131100
163100,韶天魔法,0,0,10000,1,2006,-1,-1,121100,8,30017,16,30003,4,30019,1,-1,0,1,1242352,-1,-1,-1,-1,-1,-1,132100
164100,无惧深渊,0,0,10000,1,2007,-1,-1,121100,15,30002,26,30018,8,30029,3,-1,0,1,1242352,-1,-1,-1,-1,-1,-1,141100
#衣服,,,,,,#衣服,,,,,,,,,,,,,,,,,,,,,#衣服
200000,布衣,0,1,10000,1,7000,-1,-1,30005,3,-1,0,-1,0,-1,0,-1,0,1,3529,-1,-1,-1,-1,-1,-1,200000
211000,遗落夜行衣,0,1,10000,1,7001,-1,-1,200000,2,30020,12,30006,3,-1,0,-1,0,1,9315,-1,-1,-1,-1,-1,-1,210000
221000,切喉者外衣,0,1,10000,1,7002,-1,-1,200000,2,30035,23,30006,9,-1,0,-1,0,1,46587,-1,-1,-1,-1,-1,-1,211000
232000,追猎胸甲,0,1,10000,1,7003,-1,-1,211000,3,30021,15,30007,6,-1,0,-1,0,1,163057,-1,-1,-1,-1,-1,-1,221000
242000,游击胸甲,0,1,10000,1,7004,-1,-1,211000,5,30022,23,30036,7,-1,0,-1,0,1,372704,-1,-1,-1,-1,-1,-1,222000
253000,闪电帝王,0,1,10000,1,7005,-1,-1,221000,8,30037,12,30008,3,-1,0,-1,0,1,854115,-1,-1,-1,-1,-1,-1,231000
263000,不屈脊梁,0,1,10000,1,7006,-1,-1,221000,8,30037,16,30023,4,30009,1,-1,0,1,1490822,-1,-1,-1,-1,-1,-1,232000
264000,焦热灵火,0,1,10000,1,7007,-1,-1,221000,15,30007,27,30038,8,30024,3,-1,0,1,1490822,-1,-1,-1,-1,-1,-1,241000
#项链,,,,,,#项链,,,,,,,,,,,,,,,,,,,,,#项链
300000,金项链,0,2,10000,1,8000,-1,-1,30010,3,-1,0,-1,0,-1,0,-1,0,1,4234,-1,-1,-1,-1,-1,-1,300000
311000,无暇项链,0,2,10000,1,8001,-1,-1,300000,2,30030,12,30021,3,-1,0,-1,0,1,11178,-1,-1,-1,-1,-1,-1,310000
321000,失传项链,0,2,10000,1,8002,-1,-1,300000,2,30020,25,30011,9,-1,0,-1,0,1,55904,-1,-1,-1,-1,-1,-1,311000
332000,魔古氏吊坠,0,2,10000,1,8003,-1,-1,311000,3,30031,13,30012,5,-1,0,-1,0,1,195668,-1,-1,-1,-1,-1,-1,321000
342000,云击吊坠,0,2,10000,1,8004,-1,-1,311000,5,30011,25,30022,8,-1,0,-1,0,1,447244,-1,-1,-1,-1,-1,-1,322000
353000,迷雾泣风,0,2,10000,1,8005,-1,-1,321000,8,30032,14,30013,3,-1,0,-1,0,1,1024938,-1,-1,-1,-1,-1,-1,331000
363000,静息霞云,0,2,10000,1,8006,-1,-1,321000,8,30012,17,30033,4,30014,1,-1,0,1,1788986,-1,-1,-1,-1,-1,-1,332000
364000,覆亡之眼,0,2,10000,1,8007,-1,-1,321000,15,30022,28,30013,9,30034,3,-1,0,1,1788986,-1,-1,-1,-1,-1,-1,341000
#戒指,,,,,,#戒指,,,,,,,,,,,,,,,,,,,,,#戒指
400000,铜戒指,0,3,10000,1,9000,-1,-1,30030,3,-1,0,-1,0,-1,0,-1,0,1,5080,-1,-1,-1,-1,-1,-1,400000
411000,铁墓戒指,0,3,10000,1,9001,-1,-1,400000,2,30015,12,30031,3,-1,0,-1,0,1,13413,-1,-1,-1,-1,-1,-1,410000
421000,支配戒指,0,3,10000,1,9002,-1,-1,400000,2,30010,25,30016,7,-1,0,-1,0,1,67084,-1,-1,-1,-1,-1,-1,411000
432000,缚灵指环,0,3,10000,1,9003,-1,-1,411000,3,30011,14,30017,5,-1,0,-1,0,1,234801,-1,-1,-1,-1,-1,-1,421000
442000,螭龙指环,0,3,10000,1,9004,-1,-1,411000,5,30031,25,30012,8,-1,0,-1,0,1,536692,-1,-1,-1,-1,-1,-1,422000
453000,春雨智慧,0,3,10000,1,9005,-1,-1,421000,8,30017,14,30033,3,-1,0,-1,0,1,1229925,-1,-1,-1,-1,-1,-1,431000
463000,警惕之眼,0,3,10000,1,9006,-1,-1,421000,8,30017,17,30013,4,30019,1,-1,0,1,2146783,-1,-1,-1,-1,-1,-1,432000
464000,千痕玺怨,0,3,10000,1,9007,-1,-1,421000,15,30012,26,30018,9,30014,3,-1,0,1,2146783,-1,-1,-1,-1,-1,-1,441000
#鞋子,,,,,,#鞋子,,,,,,,,,,,,,,,,,,,,,#鞋子
500000,智慧靴,0,4,10000,1,10000,-1,-1,30000,3,-1,0,-1,0,-1,0,-1,0,1,6096,-1,-1,-1,-1,-1,-1,500000
511000,战争皮靴,0,4,10000,1,10001,-1,-1,500000,2,30035,14,30001,3,-1,0,-1,0,1,16095,-1,-1,-1,-1,-1,-1,510000
521000,古老皮靴,0,4,10000,1,10002,-1,-1,500000,2,30005,26,30036,7,-1,0,-1,0,1,80500,-1,-1,-1,-1,-1,-1,511000
532000,火酒皮靴,0,4,10000,1,10003,-1,-1,511000,3,30006,13,30002,4,-1,0,-1,0,1,281761,-1,-1,-1,-1,-1,-1,521000
542000,野性之鞋,0,4,10000,1,10004,-1,-1,511000,5,30036,27,30007,9,-1,0,-1,0,1,644030,-1,-1,-1,-1,-1,-1,522000
553000,暗影飓风,0,4,10000,1,10005,-1,-1,521000,8,30037,12,30003,3,-1,0,-1,0,1,1475910,-1,-1,-1,-1,-1,-1,531000
563000,信守之诺,0,4,10000,1,10006,-1,-1,521000,8,30037,19,30008,4,30039,1,-1,0,1,2576139,-1,-1,-1,-1,-1,-1,532000
564000,融火之核,0,4,10000,1,10007,-1,-1,521000,15,30007,24,30003,9,30004,3,-1,0,1,2576139,-1,-1,-1,-1,-1,-1,541000
