"关卡ID
===
Id
===
int-cs","关卡名称
===
Name
===
string-cs","关卡图标
===
Icon
===
string-cs","背景描述
===
BgDesc
===
string-cs","目标描述
===
TargetDesc
===
string-cs","开启描述
===
ActiveDesc
===
string-cs","关卡类型
===
StageType
===
int-cs","战斗ID
===
FightID
===
int-cs","开启等级
===
NeedLevel
===
int-cs","开启星数
===
NeedStars
===
int-cs","前置关卡
===
PreStage
===
int-cs","体力消耗
===
NeedAP
===
int-cs","关卡失败体力消耗
===
PunishAP
===
int-cs","消耗道具ID
===
NeedItemID
===
int-cs","消耗道具数量
===
NeedItemCount
===
int-cs","消耗货币种类
===
NeedMoneyType
===
int-cs","货币数量
===
NeedMoneyCount
===
int-cs","每日次数
===
MaxCountOfDay
===
int-cs","每日免费扫荡次数
===
MaxFreeSweepCountOfDay
===
int-cs","掉落物品预览0
===
DropItemPreviews0
===
int-cs","掉落物品预览1
===
DropItemPreviews1
===
int-cs","掉落物品预览2
===
DropItemPreviews2
===
int-cs","通关奖励0
===
PassAward0
===
int-cs","通关奖励1
===
PassAward1
===
int-cs","通关奖励2
===
PassAward2
===
int-cs","通关奖励3
===
PassAward3
===
int-cs","通关奖励4
===
PassAward4
===
int-cs","扫荡奖励0
===
SweepAwards0
===
int-cs","扫荡奖励1
===
SweepAwards1
===
int-cs","扫荡奖励2
===
SweepAwards2
===
int-cs","扫荡奖励3
===
SweepAwards3
===
int-cs","扫荡奖励4
===
SweepAwards4
===
int-cs","1星任务0
===
StarTasks0
===
int-cs","1星任务1
===
StarTasks1
===
int-cs","1星任务2
===
StarTasks2
===
int-cs","掉落奖励0.Id
===
DropAward0.DropId
===
int-cs","掉落奖励0.数量
===
DropAward0.num
===
int-cs","掉落奖励1.Id
===
DropAward1.DropId
===
int-cs","掉落奖励1.数量
===
DropAward1.num
===
int-cs","掉落奖励2.Id
===
DropAward2.DropId
===
int-cs","掉落奖励2.数量
===
DropAward2.num
===
int-cs","掉落奖励3.Id
===
DropAward3.DropId
===
int-cs","掉落奖励3.数量
===
DropAward3.num
===
int-cs","掉落奖励4.Id
===
DropAward4.DropId
===
int-cs","掉落奖励4.数量
===
DropAward4.num
===
int-cs"
101,朝歌城外,Stage_01_03,前方一片混乱，好像哪吒和杨戳在被虐待，是不是要帮他们一下下,干掉放手朝歌城的士兵,,0,15,-1,-1,-1,8,1,-1,-1,-1,-1,2,0,100000,30005,-1,100,130,2002,3000,-1,100,130,2002,3000,-1,1010,1011,1012,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,龙德殿,Stage_01_02,跟着杨戳和哪吒打纣王妲己，不知道为什么，好像还是要帮他们,击败纣王和妲己,,0,16,-1,-1,-1,8,1,-1,-1,-1,-1,2,0,100000,30035,-1,100,132,2002,3000,-1,100,132,2002,3000,-1,1020,1021,1022,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
#商朝-测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#111,引起骚动,Stage_01_02,对手的兵力很大，要想以少胜多看来要先慢慢消耗他们的兵力了。,击败一定数量的小兵,,0,111,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,103,250,264,277,-1,103,250,264,277,-1,1110,1111,1112,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#112,打草惊蛇,Stage_01_02,战车是纣王主要的作战工具，这要是都摧毁了，是不是纣王就不会得瑟了？,摧毁一定数量的战车,,0,112,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,104,255,264,279,-1,104,255,264,279,-1,1120,1121,1122,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#113,导火线,Stage_01_01,申公豹助纣为虐，即使不去讨纣，我们也要为民除害，这是一场正邪之战。,击败申公豹,,0,113,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,100,235,268,281,-1,100,235,268,281,-1,1130,1131,1132,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#114,朝歌城外,Stage_01_02,朝歌城外，兵临城下。商的末日代表一个罪恶的终结，也代表历史踏入正轨的第一步。,击败朝歌城外四大精英战将。,,0,114,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,101,240,268,283,-1,101,240,268,283,-1,1140,1141,1142,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#115,太公钓鱼,Stage_01_02,听说改变历史的人就是这个拿着钩子钩鱼的人。,保护姜子牙不受伤害,,0,115,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,102,245,272,285,-1,102,245,272,285,-1,1150,1151,1152,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#116,最强的辅佐,Stage_01_01,昏君的手下必定是昏庸的，即使他人再好再善良，不要犹豫，解脱他吧。,击败闻仲,,0,116,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,103,250,272,287,-1,103,250,272,287,-1,1160,1161,1162,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#117,超级厚的城墙,Stage_01_02,举国上下的奴隶都变成了你的敌人，大事不妙，看来擒贼还是先擒王的好。,将城门摧毁,,0,117,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,104,255,260,289,-1,104,255,260,289,-1,1170,1171,1172,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#118,在此终结,Stage_01_01,进击鹿台，推翻政权，灭掉纣王，喝他的酒，吃他的肉，当然也不能放过一个妹子。,击败纣王和妲己,,0,118,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,106,241,260,290,-1,106,241,260,290,-1,1180,1181,1182,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#周和春秋-测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#121,进击的友军,Stage_01_02,你抢了人家的饭碗，小命休矣。,击败雷震子,,0,121,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,107,246,264,292,-1,107,246,264,292,-1,1210,1211,1212,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#122,宿命,Stage_01_01,死亡的脚步越来越近了，终究逃不过，小心。,击败姜子牙,,0,122,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,105,236,268,294,-1,105,236,268,294,-1,1220,1221,1222,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#123,新式武器,Stage_01_02,这是一些新鲜的玩意，好新鲜哦。,击败一定数量的怪物,,0,123,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,109,256,272,296,-1,109,256,272,296,-1,1230,1231,1232,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#124,发明家,Stage_01_01,史上最强大的发明家，小瞧他。,击败鲁班,,0,124,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,1240,1241,1242,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#125,云梦山,Stage_01_02,遍布机关的山，鬼谷子是怎么采药的。,到达指定地点,,0,125,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,1250,1251,1252,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#126,觐见之路,Stage_01_02,这个歪着眼睛的人，居然是孙膑。,帮助孙膑拜见鬼谷子,,0,126,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,1260,1261,1262,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#127,切磋,Stage_01_01,纵横家的意思是能纵能横！,击败鬼谷子,,0,127,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,1270,1271,1272,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#战国-测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#131,除暴安良,Stage_01_02,不知道哪来的一群疯子……,击败一定数量的突厥,,0,131,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,1310,1311,1312,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#132,英雄救美,Stage_01_02,看，那不是情人眼里出来的稀屎么！,保护西施不受到伤害,,0,132,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,1320,1321,1322,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#133,好人做到底,Stage_01_01,展现你男人气概的时候到了，别怕。,带领西施回国,,0,133,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,1330,1331,1332,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#134,不自量力的廉颇,Stage_01_02,这样衣着整齐的人应该不是疯子。,击败廉颇带领的队伍,,0,134,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,1340,1341,1342,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#135,负荆请罪,Stage_01_01,代表秦军击败廉颇，别让他嚣张,击败廉颇,,0,135,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,1350,1351,1352,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#136,逃出追杀,Stage_01_02,你把廉颇将军羞辱了，蔺相如派兵追着你满地跑,活着到达某处,,0,136,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,1360,1361,1362,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#137,危难四起,Stage_01_01,满地都是赵国的人，还是投靠秦吧,通过白起的试炼,,0,137,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,1370,1371,1372,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#201,朝歌城外,Stage_01_01,前方一片混乱，好像哪吒和杨戳在被虐待，是不是要帮他们一下下,干掉放手朝歌城的士兵,,1,15,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,2010,2011,2012,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#202,龙德殿,Stage_01_01,跟着杨戳和哪吒打纣王妲己，不知道为什么，好像还是要帮他们,击败妲己和纣王,,1,16,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,2020,2021,2022,-1,0,-1,0,-1,0,-1,0,-1,0
#203,地下城1,Stage_01_01,地下城1,兵马俑吓死你,,1,19,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,2030,2031,2032,-1,0,-1,0,-1,0,-1,0,-1,0
#204,地下城2,Stage_01_01,地下城2,兵马俑吓死你,,1,20,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,2040,2041,2042,-1,0,-1,0,-1,0,-1,0,-1,0
#205,陷阱测试,Stage_01_02,测试陷阱和Npc功能,击败哪吒,,1,100,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,108,251,264,298,-1,108,251,264,298,-1,2050,2051,2052,-1,0,-1,0,-1,0,-1,0,-1,0
#PVE玩法副本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,BOSS_1_1,Stage_DiXiaCheng_03,,,,0,201011,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5001,-1,-1,-1,-1,5001,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
502,BOSS_1_2,Stage_DiXiaCheng_03,,,,0,201012,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5002,-1,-1,-1,-1,5002,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
503,BOSS_1_3,Stage_DiXiaCheng_03,,,,0,201013,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5003,-1,-1,-1,-1,5003,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
504,BOSS_1_4,Stage_DiXiaCheng_03,,,,0,201014,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5004,-1,-1,-1,-1,5004,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
505,BOSS_1_5,Stage_DiXiaCheng_03,,,,0,201015,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5005,-1,-1,-1,-1,5005,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
506,BOSS_1_1,Stage_BingYuan_02,,,,0,201021,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5001,-1,-1,-1,-1,5001,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
507,BOSS_1_2,Stage_BingYuan_02,,,,0,201022,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5002,-1,-1,-1,-1,5002,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
508,BOSS_1_3,Stage_BingYuan_02,,,,0,201023,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5003,-1,-1,-1,-1,5003,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
509,BOSS_1_4,Stage_BingYuan_02,,,,0,201024,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5004,-1,-1,-1,-1,5004,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
510,BOSS_1_5,Stage_BingYuan_02,,,,0,201025,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5005,-1,-1,-1,-1,5005,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
511,BOSS_1_1,Stage_CaoYuan_08,,,,0,201031,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5001,-1,-1,-1,-1,5001,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
512,BOSS_1_2,Stage_CaoYuan_08,,,,0,201032,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5002,-1,-1,-1,-1,5002,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
513,BOSS_1_3,Stage_CaoYuan_08,,,,0,201033,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5003,-1,-1,-1,-1,5003,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
514,BOSS_1_4,Stage_CaoYuan_08,,,,0,201034,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5004,-1,-1,-1,-1,5004,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
515,BOSS_1_5,Stage_CaoYuan_08,,,,0,201035,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5005,-1,-1,-1,-1,5005,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
516,BOSS_1_1,Stage_ShaMo_07,,,,0,201041,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5001,-1,-1,-1,-1,5001,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
517,BOSS_1_2,Stage_ShaMo_07,,,,0,201042,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5002,-1,-1,-1,-1,5002,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
518,BOSS_1_3,Stage_ShaMo_07,,,,0,201043,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5003,-1,-1,-1,-1,5003,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
519,BOSS_1_4,Stage_ShaMo_07,,,,0,201044,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5004,-1,-1,-1,-1,5004,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
520,BOSS_1_5,Stage_ShaMo_07,,,,0,201045,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5005,-1,-1,-1,-1,5005,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
521,BOSS_1_1,Stage_BingYuan_05,,,,0,201051,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5001,-1,-1,-1,-1,5001,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
522,BOSS_1_2,Stage_BingYuan_05,,,,0,201052,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5002,-1,-1,-1,-1,5002,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
523,BOSS_1_3,Stage_BingYuan_05,,,,0,201053,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5003,-1,-1,-1,-1,5003,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
524,BOSS_1_4,Stage_BingYuan_05,,,,0,201054,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5004,-1,-1,-1,-1,5004,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
525,BOSS_1_5,Stage_BingYuan_05,,,,0,201055,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5005,-1,-1,-1,-1,5005,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
526,BOSS_1_1,Stage_CaoYuan_03,,,,0,201061,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5001,-1,-1,-1,-1,5001,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
527,BOSS_1_2,Stage_CaoYuan_03,,,,0,201062,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5002,-1,-1,-1,-1,5002,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
528,BOSS_1_3,Stage_CaoYuan_03,,,,0,201063,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5003,-1,-1,-1,-1,5003,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
529,BOSS_1_4,Stage_CaoYuan_03,,,,0,201064,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5004,-1,-1,-1,-1,5004,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
530,BOSS_1_5,Stage_CaoYuan_03,,,,0,201065,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5005,-1,-1,-1,-1,5005,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
531,BOSS_1_1,Stage_DiXiaCheng_03,,,,0,201071,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5001,-1,-1,-1,-1,5001,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
532,BOSS_1_2,Stage_DiXiaCheng_03,,,,0,201072,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5002,-1,-1,-1,-1,5002,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
533,BOSS_1_3,Stage_DiXiaCheng_03,,,,0,201073,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5003,-1,-1,-1,-1,5003,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
534,BOSS_1_4,Stage_DiXiaCheng_03,,,,0,201074,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5004,-1,-1,-1,-1,5004,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
535,BOSS_1_5,Stage_DiXiaCheng_03,,,,0,201075,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,32000,32001,-1,5005,-1,-1,-1,-1,5005,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
