"Id
===
Id
===
int-s","名称
===
Name
===
string-s","等级
===
Level
===
int-s","模型Id
===
AvatarId
===
int-s","主角站位
===
Position
===
int-s","装备Id0
===
EquipId0
===
int-s","装备Id1
===
EquipId1
===
int-s","装备Id2
===
EquipId2
===
int-s","技能Id0
===
SkillId0
===
int-s","技能Id1
===
SkillId1
===
int-s","技能Id2
===
SkillId2
===
int-s","技能Id3
===
SkillId3
===
int-s","宠物配置0.类型
===
PetConfig0.Type
===
int-cs","宠物配置0.等级
===
PetConfig0.Level
===
int-cs","宠物配置0.站位
===
PetConfig0.Position
===
int-cs","宠物配置1.类型
===
PetConfig1.Type
===
int-cs","宠物配置1.等级
===
PetConfig1.Level
===
int-cs","宠物配置1.站位
===
PetConfig1.Position
===
int-cs","宠物配置2.类型
===
PetConfig2.Type
===
int-cs","宠物配置2.等级
===
PetConfig2.Level
===
int-cs","宠物配置2.站位
===
PetConfig2.Position
===
int-cs","宠物配置3.类型
===
PetConfig3.Type
===
int-cs","宠物配置3.等级
===
PetConfig3.Level
===
int-cs","宠物配置3.站位
===
PetConfig3.Position
===
int-cs"
48,七音幽幽,30,1,1,226,1126,1326,1001,1031,1081,-1,61642,30,5,51621,29,7,52621,27,9,54521,28,11
49,神马是浮云,30,0,1,126,726,926,1001,1021,1071,-1,61642,27,5,61141,30,7,52621,29,9,54501,29,11
50,ncitp,30,1,5,226,1126,1326,1001,1011,1081,-1,62043,30,1,61841,28,7,54821,30,9,52601,30,11
51,寒冰灬溶,30,2,5,2426,2726,2926,2501,2511,2601,-1,61841,29,3,54421,28,7,54821,29,9,51521,29,11
52,香香奈儿丶,30,1,3,526,1226,1426,1501,1531,1581,-1,61841,30,5,60542,29,7,53921,27,9,52901,28,11
53,笑丶问天,30,2,1,2226,2626,2826,2001,2041,2081,-1,55341,27,3,54521,28,7,54801,28,9,52901,27,11
54,季末花飘落,30,1,1,126,1126,1326,1001,1041,1071,-1,61642,28,5,60341,29,7,55421,27,9,54501,29,11
55,情谊泱泽,30,2,1,2026,2626,2826,2001,2041,2061,-1,55341,28,3,54521,29,7,52721,28,9,52821,30,11
56,狼魂风霜,30,1,3,526,1226,1426,1501,1531,1561,-1,61841,27,5,51221,27,7,53921,29,9,51221,30,11
57,蘑菇妹,30,0,1,126,726,926,1001,1021,1071,-1,61641,30,5,60341,29,7,52621,29,9,54501,30,11
58,折戟沉沙,30,0,5,626,826,1026,1501,1521,1561,-1,60043,30,1,54821,29,7,53321,28,9,54321,30,11
59,酷超超,30,0,1,126,726,926,1001,1021,1071,-1,62043,27,5,51621,30,7,51801,27,9,54501,29,11
60,巫谷菱,30,3,5,2326,3126,3326,2501,2541,2591,-1,61742,29,3,51521,28,7,54821,27,9,53521,28,11
61,致君若丹,30,3,5,2026,3026,3226,2001,2021,2061,-1,62043,29,3,52921,28,7,53021,28,9,51001,29,11
62,狼魂随缘,30,1,3,426,1226,1426,1501,1511,1581,-1,61742,28,5,52821,29,7,53921,29,9,53921,29,11
63,百鬼夜行,30,2,1,2126,2626,2826,2001,2021,2071,-1,55341,30,3,51021,28,7,51201,28,9,52701,29,11
64,梦醒无他,30,1,3,426,1226,1426,1501,1511,1581,-1,61841,27,5,61943,29,7,52921,29,9,52801,30,11
65,上官尘影,30,2,5,2126,2626,2826,2001,2021,2071,-1,55341,28,3,53921,28,7,54721,27,9,54521,30,11
66,fjjg,30,0,1,126,726,926,1001,1041,1071,-1,62043,27,5,61141,27,7,51821,28,9,54501,30,11
67,星辰陨落,30,2,1,2226,2626,2826,2001,2041,2081,-1,62043,28,3,51021,29,7,52801,28,9,54801,27,11
68,情谊炎歌,30,0,1,126,726,926,1001,1041,1071,-1,61641,29,5,53021,29,7,51821,28,9,54521,29,11
69,情谊洗净,30,3,5,2126,3026,3226,2001,2031,2071,-1,55341,27,3,52821,28,7,51601,30,9,54501,28,11
70,狼魂流年,30,0,5,626,826,1026,1501,1521,1561,-1,60642,30,1,53921,27,7,52601,28,9,54401,27,11
71,二师兄,30,1,5,626,1226,1426,1501,1521,1581,-1,61442,29,1,52821,28,7,51821,28,9,52301,28,11
72,静待花开♂,30,0,5,226,726,926,1001,1041,1081,-1,61641,30,1,54521,30,7,52821,30,9,53301,27,11
73,秋柏妄,30,2,5,2526,2726,2926,2501,2531,2601,-1,62141,28,3,52521,30,7,52721,30,9,51521,27,11
74,卓凡霜,30,0,3,326,726,926,1001,1031,1061,-1,61141,27,1,51021,29,7,52521,29,9,52801,28,11
75,苍弭弈,30,2,5,2226,2626,2826,2001,2041,2081,-1,55121,28,3,52821,27,7,52421,29,9,51021,27,11
76,C落安诚C,30,2,1,2026,2626,2826,2001,2041,2061,-1,61642,28,3,62141,28,7,53921,29,9,52801,29,11
77,老妖灬,30,3,5,2226,3026,3226,2001,2041,2081,-1,55341,27,3,53921,29,7,54701,29,9,51001,28,11
78,佳佳小三,30,3,5,2326,3126,3326,2501,2541,2601,-1,62141,30,3,54421,30,7,54821,29,9,51101,28,11
79,封印寂寞,30,1,3,626,1226,1426,1501,1521,1581,-1,61742,27,5,51221,27,7,52701,27,9,54801,28,11
80,沫筱?,30,3,5,2426,3126,3326,2501,2511,2591,-1,61742,27,3,52321,29,7,52701,30,9,52501,27,11
81,小小蛋,30,1,5,426,1226,1426,1501,1511,1561,-1,61241,28,1,53921,30,7,52621,27,9,52501,27,11
82,吕卜韦,30,2,1,2226,2626,2826,2001,2031,2081,-1,61642,28,3,61841,27,7,52721,29,9,54801,30,11
83,工程号,30,2,5,2226,2626,2826,2001,2031,2081,-1,62043,28,3,52821,29,7,55221,29,9,54501,28,11
84,风清雪,30,0,5,426,826,1026,1501,1511,1581,-1,60743,30,1,53921,28,7,55421,28,9,52321,28,11
85,梵Rㄜ,30,2,1,2226,2626,2826,2001,2041,2081,-1,55341,30,3,51021,27,7,52901,29,9,52901,30,11
86,只为那一眼,30,1,5,626,1226,1426,1501,1521,1581,-1,62041,29,1,60442,30,7,52621,27,9,52501,27,11
87,夜夜笙歌,30,0,3,626,826,1026,1501,1521,1581,-1,62141,29,5,52921,27,7,53921,30,9,53901,29,11
88,死神之轩,30,0,3,126,726,926,1001,1021,1071,-1,61141,30,1,54521,30,7,54401,30,9,52701,29,11
89,完颜寞彦,30,1,3,226,1126,1326,1001,1031,1081,-1,60341,28,1,51021,27,7,51101,29,9,54801,28,11
90,落傲冥,30,3,5,2426,3126,3326,2501,2511,2591,-1,61742,28,3,60841,28,7,54821,30,9,51121,27,11
91,耿若你斐,30,3,5,2426,3126,3326,2501,2511,2591,-1,61742,29,3,54421,27,7,51221,27,9,54421,27,11
92,二叔丶,30,0,5,426,826,1026,1501,1511,1561,-1,61442,29,1,53921,27,7,53421,28,9,54301,28,11
93,篱崖渊,30,2,5,2026,2626,2826,2001,2011,2061,-1,55341,27,3,60642,27,7,53021,30,9,54521,27,11
94,端木峻熙,30,1,1,226,1126,1326,1001,1031,1081,-1,54021,30,5,52421,27,7,51821,29,9,54521,27,11
95,lets,30,1,3,426,1226,1426,1501,1511,1561,-1,62141,27,5,53921,29,7,51221,28,9,53901,27,11
96,OATS,30,1,5,226,1126,1326,1001,1011,1081,-1,61643,29,1,51021,28,7,54801,28,9,53401,30,11
97,闲的蛋疼,30,1,5,326,1126,1326,1001,1021,1061,-1,61641,28,1,54521,27,7,54821,30,9,51821,30,11
98,聚鑫霸者,30,3,5,2226,3026,3226,2001,2041,2081,-1,55341,30,3,52821,28,7,53001,27,9,54501,27,11
99,篱浩寒,30,3,5,2126,3026,3226,2001,2021,2071,-1,61643,29,3,52721,30,7,52421,29,9,51021,27,11
100,开盟红移山,30,1,3,526,1226,1426,1501,1531,1581,-1,62141,29,5,53921,29,7,52721,30,9,54821,30,11
101,豪門丶幻,30,2,1,2026,2626,2826,2001,2041,2061,-1,62043,27,3,61742,27,7,51221,28,9,53901,27,11
102,莫小阳,30,0,3,626,826,1026,1501,1521,1561,-1,62141,29,5,52921,27,7,52821,27,9,52701,29,11
103,忆秘邪,30,1,3,526,1226,1426,1501,1531,1561,-1,62141,30,5,52921,29,7,52901,28,9,51201,29,11
104,独爱小白虎,30,2,5,2126,2626,2826,2001,2021,2071,-1,55341,29,3,52821,29,7,52421,29,9,54501,30,11
105,在一起,30,0,5,126,726,926,1001,1021,1071,-1,54021,27,1,51021,27,7,52721,30,9,55421,29,11
106,郗觅寒,30,0,5,426,826,1026,1501,1511,1581,-1,60542,27,1,60741,29,7,55421,29,9,51101,28,11
107,Kiss,30,3,5,2226,3026,3226,2001,2041,2081,-1,55341,27,3,61242,27,7,52421,29,9,54501,28,11
108,亚平宁野狼,30,0,5,126,726,926,1001,1041,1071,-1,55121,30,1,54521,28,7,53921,28,9,53321,28,11
109,无疆楚楚,30,0,3,626,826,1026,1501,1521,1581,-1,62141,28,5,52721,30,7,52821,28,9,52701,29,11
110,E祖林夜E,30,3,1,2226,3026,3226,2001,2041,2081,-1,61643,29,3,51021,30,7,52901,29,9,52701,28,11
111,孤音傲佑,30,0,3,226,726,926,1001,1041,1081,-1,60341,29,1,54521,29,7,54421,28,9,54801,27,11
112,0?睟oy,30,1,3,126,1126,1326,1001,1041,1071,-1,61141,27,1,54521,29,7,52321,28,9,51221,30,11
113,龙叶霖,30,0,1,126,726,926,1001,1021,1071,-1,61641,27,5,52421,30,7,53321,27,9,51021,29,11
114,嗦蝶斯嘞,30,3,5,2026,3026,3226,2001,2021,2061,-1,55341,27,3,52921,30,7,53021,29,9,51001,28,11
115,嫣然丶,30,0,3,426,826,1026,1501,1511,1581,-1,62141,28,5,52821,28,7,52921,29,9,52921,29,11
116,苏三丶Um,30,2,5,2126,2626,2826,2001,2021,2071,-1,62043,30,3,60743,27,7,54721,30,9,54501,28,11
117,宇文易瞳,30,1,3,426,1226,1426,1501,1511,1561,-1,61841,29,5,51221,27,7,52721,27,9,52821,29,11
118,早饭还没吃,30,1,5,326,1126,1326,1001,1031,1061,-1,61642,30,1,62141,29,7,52821,28,9,53301,30,11
119,瘦哥惹人爱,30,0,5,426,826,1026,1501,1511,1581,-1,60942,28,1,54821,28,7,53421,29,9,52501,27,11
120,霸气王朝,30,2,5,2226,2626,2826,2001,2041,2081,-1,54021,29,3,51221,29,7,53121,29,9,54521,30,11
121,O麦古雷斯,30,3,1,2126,3026,3226,2001,2031,2071,-1,55321,28,3,51021,27,7,52721,30,9,52821,28,11
122,折戟×沉沙,30,1,5,226,1126,1326,1001,1031,1081,-1,54021,27,1,54521,29,7,52821,27,9,52621,30,11
123,狼魂帅哥,30,3,5,2526,3126,3326,2501,2531,2601,-1,61742,30,3,61541,28,7,53921,29,9,51521,28,11
124,西门轩痕,30,0,1,226,726,926,1001,1041,1081,-1,61641,30,5,52421,28,7,52601,28,9,54501,30,11
125,独秀汽,30,1,1,226,1126,1326,1001,1031,1081,-1,55121,27,5,53121,30,7,52621,28,9,54521,28,11
126,云易枫,30,2,1,2226,2626,2826,2001,2031,2081,-1,61643,30,3,54521,30,7,52701,28,9,52701,28,11
127,小白免,30,0,3,126,726,926,1001,1041,1071,-1,61141,30,1,61841,28,7,51521,30,9,54801,27,11
128,丶射手座灬,30,1,5,126,1126,1326,1001,1041,1071,-1,54021,30,1,51021,27,7,54821,30,9,55421,28,11
129,潇湘灬夜雨,30,2,1,2226,2626,2826,2001,2031,2081,-1,61642,28,3,61841,29,7,51221,27,9,54801,28,11
130,丶残曲,30,1,3,426,1226,1426,1501,1511,1561,-1,54521,29,5,54821,29,7,51221,30,9,51221,30,11
131,阿斯蒂芬,30,3,5,2026,3026,3226,2001,2011,2061,-1,62043,30,3,60643,28,7,52421,28,9,51001,27,11
132,惜メ枫,30,0,5,126,726,926,1001,1041,1071,-1,51321,30,1,51021,28,7,52821,27,9,52621,27,11
133,狼魂曼陀罗,30,2,5,2026,2626,2826,2001,2041,2061,-1,55121,27,3,54821,27,7,51621,28,9,54521,28,11
134,宇文觅痕,30,3,1,2026,3026,3226,2001,2011,2061,-1,55341,28,3,54521,29,7,51221,29,9,52921,29,11
135,神舞灬胜天,30,0,5,326,726,926,1001,1031,1061,-1,61641,30,1,61841,29,7,52721,28,9,55401,29,11
136,情谊狐妖,30,0,1,226,726,926,1001,1041,1081,-1,61641,27,5,54721,29,7,51821,29,9,51001,29,11
137,破丶军,30,0,3,226,726,926,1001,1041,1081,-1,61141,30,1,54521,27,7,51121,28,9,54821,29,11
138,开盟红都会,30,3,5,2126,3026,3226,2001,2021,2071,-1,51321,28,3,54821,30,7,53021,29,9,54521,28,11
139,沐傲炎,30,2,1,2226,2626,2826,2001,2041,2081,-1,53821,27,3,54521,29,7,51221,29,9,53921,30,11
140,徐丶小淼,30,0,3,626,826,1026,1501,1521,1581,-1,62141,27,5,60643,28,7,52821,28,9,51201,28,11
141,缔造飞飞,30,0,5,426,826,1026,1501,1511,1581,-1,60043,28,1,60543,29,7,51821,29,9,54421,28,11
142,庚鸣佑,30,2,1,2226,2626,2826,2001,2031,2081,-1,61641,29,3,61742,28,7,52821,29,9,53901,28,11
143,小少晏,30,0,5,626,826,1026,1501,1521,1581,-1,52921,29,1,52921,30,7,53421,28,9,52321,27,11
144,有奶便是爹,30,0,3,626,826,1026,1501,1521,1581,-1,61841,28,5,52921,30,7,52901,27,9,52901,29,11
145,伴奏〃,30,0,1,326,726,926,1001,1031,1061,-1,55121,29,5,53021,28,7,55421,27,9,54521,29,11
146,思想在裸奔,30,2,5,2326,2726,2926,2501,2541,2591,-1,61742,29,3,54421,29,7,54801,29,9,54301,27,11
147,小帅爱晴天,30,2,5,2126,2626,2826,2001,2021,2071,-1,62043,29,3,53921,27,7,53121,28,9,51021,28,11
148,随边玩玩,30,3,5,2126,3026,3226,2001,2031,2071,-1,61643,29,3,60541,29,7,54721,28,9,54521,30,11
149,那一句相爱,30,1,1,226,1126,1326,1001,1031,1081,-1,61642,29,5,55221,27,7,55401,30,9,54501,27,11
150,漂亮的姑娘,30,2,5,2126,2626,2826,2001,2021,2071,-1,62043,29,3,52721,30,7,52421,29,9,51021,27,11
151,风间少和,30,2,5,2426,2726,2926,2501,2511,2591,-1,61742,30,3,60343,27,7,52821,28,9,51521,29,11
152,豆芽菜,30,0,1,126,726,926,1001,1021,1071,-1,61642,29,5,51621,30,7,53321,29,9,54501,30,11
153,墨义溜溜,30,1,3,426,1226,1426,1501,1511,1581,-1,61742,28,5,61041,30,7,52721,29,9,51201,30,11
154,影碎虚月,30,3,5,2026,3026,3226,2001,2021,2061,-1,62043,30,3,51221,29,7,53021,27,9,54521,30,11
155,疾风小将,30,1,1,326,1126,1326,1001,1031,1061,-1,61643,29,5,61141,27,7,53421,28,9,54501,28,11
156,唯美丶大大,30,0,5,526,826,1026,1501,1531,1581,-1,53921,30,1,52721,28,7,51821,29,9,51121,30,11
157,田伯光,30,3,1,2126,3026,3226,2001,2021,2071,-1,55341,28,3,54521,30,7,53901,28,9,52801,30,11
158,陌上旭尧,30,2,5,2226,2626,2826,2001,2031,2081,-1,61641,30,3,52821,28,7,53021,27,9,54501,28,11
159,闪电恋爱,30,1,3,526,1226,1426,1501,1531,1581,-1,51021,28,5,51221,29,7,52821,28,9,52721,30,11
160,钮煜祺,30,3,5,2426,3126,3326,2501,2511,2591,-1,62141,27,3,60143,28,7,51221,28,9,53521,28,11
161,轩辕然远,30,0,1,126,726,926,1001,1041,1071,-1,62043,28,5,55221,27,7,52601,29,9,54501,29,11
162,三清影者,30,2,5,2526,2726,2926,2501,2531,2591,-1,61742,30,3,52521,29,7,54801,29,9,52301,29,11
163,浩劫红颜,30,0,3,526,826,1026,1501,1531,1581,-1,61841,27,5,60043,30,7,51221,30,9,52901,29,11
164,至尊紫风,30,1,3,526,1226,1426,1501,1531,1581,-1,51021,28,5,51221,29,7,51221,29,9,52821,28,11
165,将爱放逐,30,2,5,2526,2726,2926,2501,2531,2601,-1,61742,27,3,51521,28,7,54801,30,9,54301,28,11
166,妖昔云,30,0,3,126,726,926,1001,1021,1071,-1,61141,28,1,54521,30,7,53501,30,9,51201,27,11
167,柒景泽,30,2,5,2526,2726,2926,2501,2531,2591,-1,61841,28,3,61143,30,7,52721,30,9,51501,30,11
168,蕾蕾小乖乖,30,1,3,326,1126,1326,1001,1021,1061,-1,61141,30,1,51021,28,7,51101,27,9,52901,27,11
169,有奶便是娘,30,0,3,326,726,926,1001,1031,1061,-1,60341,29,1,51021,30,7,53521,27,9,52721,27,11
170,夜、凄凉,30,1,3,326,1126,1326,1001,1031,1061,-1,55221,30,1,51021,30,7,51521,28,9,52721,30,11
171,墨烟白,30,2,1,2026,2626,2826,2001,2011,2061,-1,61642,28,3,54521,29,7,52721,29,9,52921,29,11
172,C拳拳C,30,1,5,626,1226,1426,1501,1521,1581,-1,60442,27,1,60543,30,7,55421,30,9,51121,30,11
173,蝶花疯舞,30,3,5,2126,3026,3226,2001,2031,2071,-1,55341,29,3,51221,27,7,52401,29,9,51001,27,11
174,始终的最美,30,1,3,426,1226,1426,1501,1511,1561,-1,51021,30,5,53921,28,7,52821,28,9,51221,30,11
175,风清扬,30,0,5,126,726,926,1001,1021,1071,-1,61642,30,1,51021,30,7,52721,28,9,52621,28,11
176,Anti丶,30,3,1,2026,3026,3226,2001,2011,2061,-1,61643,29,3,54521,27,7,52721,28,9,52801,29,11
177,刘七哥,30,2,1,2026,2626,2826,2001,2011,2061,-1,61642,27,3,61841,29,7,53921,27,9,52701,29,11
178,Ｍｕｓ,30,3,5,2526,3126,3326,2501,2531,2601,-1,61742,29,3,60841,30,7,52821,30,9,52321,29,11
179,鸭梨山大哥,30,1,3,226,1126,1326,1001,1011,1081,-1,60341,29,1,51021,29,7,52321,27,9,52801,29,11
180,千碎鸟羽,30,2,5,2226,2626,2826,2001,2041,2081,-1,55341,30,3,53921,29,7,52401,27,9,54501,29,11
181,q我的奶茶,30,2,5,2426,2726,2926,2501,2511,2591,-1,54521,29,3,51121,30,7,54821,30,9,51521,28,11
182,诺夏°,30,1,3,426,1226,1426,1501,1511,1581,-1,62141,27,5,60542,29,7,52921,28,9,54821,30,11
183,无飞煞,30,0,3,226,726,926,1001,1011,1081,-1,61141,29,1,54521,27,7,51521,29,9,51201,30,11
184,古烈弭邑,30,0,5,126,726,926,1001,1021,1071,-1,54021,30,1,54521,27,7,51221,28,9,53321,28,11
185,墨灬哓影,30,0,5,226,726,926,1001,1041,1081,-1,55121,30,1,54521,30,7,52721,27,9,53421,30,11
186,开盟红枫彦,30,3,1,2126,3026,3226,2001,2021,2071,-1,62043,27,3,62141,28,7,54821,30,9,52701,28,11
187,灬丶萌叔,30,1,5,326,1126,1326,1001,1021,1061,-1,55341,29,1,62141,28,7,52821,30,9,53321,27,11
188,0小辣椒0,30,1,1,326,1126,1326,1001,1031,1061,-1,61641,27,5,53121,28,7,55421,30,9,51021,27,11
189,西青寒,30,3,5,2326,3126,3326,2501,2541,2591,-1,62141,30,3,60342,29,7,53921,30,9,51101,27,11
190,景柏煞,30,2,5,2226,2626,2826,2001,2041,2081,-1,62043,27,3,51221,29,7,54721,27,9,54501,28,11
191,北尘丶,30,0,3,526,826,1026,1501,1531,1581,-1,61742,27,5,52921,27,7,52921,28,9,53901,27,11
192,灵虚丶梦雨,30,2,5,2526,2726,2926,2501,2531,2591,-1,61742,28,3,51121,28,7,53901,27,9,54401,27,11
193,风云云兮,30,0,3,326,726,926,1001,1031,1061,-1,61141,29,1,54521,30,7,51101,30,9,52901,28,11
194,无极剑圣,30,2,5,2026,2626,2826,2001,2041,2061,-1,62043,30,3,52821,30,7,52421,29,9,54521,30,11
195,神丶小兵,29,2,1,2225,2625,2825,2001,2031,2081,-1,62043,27,3,54521,28,7,52701,28,9,53901,27,11
196,南宫洛洛,29,3,5,2325,3125,3325,2501,2541,2601,-1,61742,29,3,52521,27,7,52701,28,9,51101,27,11
197,易小天,29,1,3,425,1225,1425,1501,1511,1561,-1,61841,28,5,60042,28,7,52721,28,9,52801,29,11
198,独秀现,29,2,5,2525,2725,2925,2501,2531,2591,-1,61841,29,3,51121,29,7,51201,29,9,52301,28,11
199,慕世星小飞,29,2,5,2225,2625,2825,2001,2031,2081,-1,61643,27,3,60641,28,7,53121,29,9,54501,28,11
200,舞仗飞扬,29,1,3,425,1225,1425,1501,1511,1581,-1,61841,28,5,52921,27,7,52901,29,9,52701,28,11
201,念逸轩,29,2,5,2525,2725,2925,2501,2531,2591,-1,54521,28,3,54321,28,7,52821,29,9,51521,27,11
202,Annn,29,2,5,2425,2725,2925,2501,2511,2591,-1,61742,28,3,53521,28,7,52801,28,9,54301,29,11
203,独秀一枝鳖,29,0,3,525,825,1025,1501,1531,1581,-1,54521,28,5,54821,29,7,52721,28,9,52921,29,11
