"Id
===
Id
===
int-cs","名称
===
Name
===
string-cs","进化配置0.物品Id
===
EvolutionConfig0.Id
===
int-cs","进化配置0.物品数量
===
EvolutionConfig0.Count
===
int-cs","进化配置1.物品Id
===
EvolutionConfig1.Id
===
int-cs","进化配置1.物品数量
===
EvolutionConfig1.Count
===
int-cs","进化配置2.物品Id
===
EvolutionConfig2.Id
===
int-cs","进化配置2.物品数量
===
EvolutionConfig2.Count
===
int-cs","进化配置3.物品Id
===
EvolutionConfig3.Id
===
int-cs","进化配置3.物品数量
===
EvolutionConfig3.Count
===
int-cs","进化配置4.物品Id
===
EvolutionConfig4.Id
===
int-cs","进化配置4.物品数量
===
EvolutionConfig4.Count
===
int-cs","被吞噬的数量
===
EatenCount
===
int-cs","可以被吞噬的宠物Id0
===
EatenPetId0
===
int-cs","可以被吞噬的宠物Id1
===
EatenPetId1
===
int-cs","可以被吞噬的宠物Id2
===
EatenPetId2
===
int-cs","可以被吞噬的宠物Id3
===
EatenPetId3
===
int-cs","可以被吞噬的宠物Id4
===
EatenPetId4
===
int-cs","钱消耗
===
Cost
===
int-cs"
51324,敖顺,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51322,-1,-1,-1,-1,150000
51401,霸波奔,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51401,-1,-1,-1,-1,150000
51402,霸波奔,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51401,-1,-1,-1,-1,300000
51403,霸波奔,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51402,-1,-1,-1,-1,450000
51404,霸波奔,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51402,-1,-1,-1,-1,600000
51421,霸波奔,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51421,-1,-1,-1,-1,37500
51422,霸波奔,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51421,-1,-1,-1,-1,75000
51423,霸波奔,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51422,-1,-1,-1,-1,112500
51424,霸波奔,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51422,-1,-1,-1,-1,150000
51501,白骨精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51501,-1,-1,-1,-1,150000
51502,白骨精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51501,-1,-1,-1,-1,300000
51503,白骨精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51502,-1,-1,-1,-1,450000
51504,白骨精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51502,-1,-1,-1,-1,600000
51521,白骨精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51521,-1,-1,-1,-1,37500
51522,白骨精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51521,-1,-1,-1,-1,75000
51523,白骨精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51522,-1,-1,-1,-1,112500
51524,白骨精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51522,-1,-1,-1,-1,150000
51601,百眼魔君,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51601,-1,-1,-1,-1,150000
51602,百眼魔君,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51601,-1,-1,-1,-1,300000
51603,百眼魔君,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51602,-1,-1,-1,-1,450000
51604,百眼魔君,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51602,-1,-1,-1,-1,600000
51621,百眼魔君,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51621,-1,-1,-1,-1,37500
51622,百眼魔君,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51621,-1,-1,-1,-1,75000
51623,百眼魔君,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51622,-1,-1,-1,-1,112500
51624,百眼魔君,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51622,-1,-1,-1,-1,150000
51701,奔波霸,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51701,-1,-1,-1,-1,150000
51702,奔波霸,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51701,-1,-1,-1,-1,300000
51703,奔波霸,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51702,-1,-1,-1,-1,450000
51704,奔波霸,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51702,-1,-1,-1,-1,600000
51721,奔波霸,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51721,-1,-1,-1,-1,37500
51722,奔波霸,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51721,-1,-1,-1,-1,75000
51723,奔波霸,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51722,-1,-1,-1,-1,112500
51724,奔波霸,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51722,-1,-1,-1,-1,150000
51801,嫦娥,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51801,-1,-1,-1,-1,150000
51802,嫦娥,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51801,-1,-1,-1,-1,300000
51803,嫦娥,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51802,-1,-1,-1,-1,450000
51804,嫦娥,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51802,-1,-1,-1,-1,600000
51821,嫦娥,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51821,-1,-1,-1,-1,37500
51822,嫦娥,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51821,-1,-1,-1,-1,75000
51823,嫦娥,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51822,-1,-1,-1,-1,112500
51824,嫦娥,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51822,-1,-1,-1,-1,150000
51901,大鹏神王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51901,-1,-1,-1,-1,150000
51902,大鹏神王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51901,-1,-1,-1,-1,300000
51903,大鹏神王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51902,-1,-1,-1,-1,450000
51904,大鹏神王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51902,-1,-1,-1,-1,600000
51921,大鹏神王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51921,-1,-1,-1,-1,37500
51922,大鹏神王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51921,-1,-1,-1,-1,75000
51923,大鹏神王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51922,-1,-1,-1,-1,112500
51924,大鹏神王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51922,-1,-1,-1,-1,150000
52001,二郎神,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52001,-1,-1,-1,-1,150000
52002,二郎神,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52001,-1,-1,-1,-1,300000
52003,二郎神,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52002,-1,-1,-1,-1,450000
52004,二郎神,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52002,-1,-1,-1,-1,600000
52021,二郎神,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52021,-1,-1,-1,-1,37500
52022,二郎神,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52021,-1,-1,-1,-1,75000
52023,二郎神,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52022,-1,-1,-1,-1,112500
52024,二郎神,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52022,-1,-1,-1,-1,150000
52101,哈将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52101,-1,-1,-1,-1,150000
52102,哈将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52101,-1,-1,-1,-1,300000
52103,哈将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52102,-1,-1,-1,-1,450000
52104,哈将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52102,-1,-1,-1,-1,600000
52121,哈将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52121,-1,-1,-1,-1,37500
52122,哈将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52121,-1,-1,-1,-1,75000
52123,哈将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52122,-1,-1,-1,-1,112500
52124,哈将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52122,-1,-1,-1,-1,150000
52201,哼将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52201,-1,-1,-1,-1,150000
52202,哼将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52201,-1,-1,-1,-1,300000
52203,哼将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52202,-1,-1,-1,-1,450000
52204,哼将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52202,-1,-1,-1,-1,600000
52221,哼将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52221,-1,-1,-1,-1,37500
52222,哼将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52221,-1,-1,-1,-1,75000
52223,哼将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52222,-1,-1,-1,-1,112500
52224,哼将,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52222,-1,-1,-1,-1,150000
52301,红孩儿,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52301,-1,-1,-1,-1,150000
52302,红孩儿,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52301,-1,-1,-1,-1,300000
52303,红孩儿,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52302,-1,-1,-1,-1,450000
52304,红孩儿,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52302,-1,-1,-1,-1,600000
52321,红孩儿,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52321,-1,-1,-1,-1,37500
52322,红孩儿,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52321,-1,-1,-1,-1,75000
52323,红孩儿,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52322,-1,-1,-1,-1,112500
52324,红孩儿,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52322,-1,-1,-1,-1,150000
52401,红衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52401,-1,-1,-1,-1,150000
52402,红衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52401,-1,-1,-1,-1,300000
52403,红衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52402,-1,-1,-1,-1,450000
52404,红衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52402,-1,-1,-1,-1,600000
52421,红衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52421,-1,-1,-1,-1,37500
52422,红衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52421,-1,-1,-1,-1,75000
52423,红衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52422,-1,-1,-1,-1,112500
52424,红衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52422,-1,-1,-1,-1,150000
52501,黄眉怪,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52501,-1,-1,-1,-1,150000
52502,黄眉怪,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52501,-1,-1,-1,-1,300000
52503,黄眉怪,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52502,-1,-1,-1,-1,450000
52504,黄眉怪,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52502,-1,-1,-1,-1,600000
52521,黄眉怪,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52521,-1,-1,-1,-1,37500
52522,黄眉怪,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52521,-1,-1,-1,-1,75000
52523,黄眉怪,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52522,-1,-1,-1,-1,112500
52524,黄眉怪,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52522,-1,-1,-1,-1,150000
52601,黄衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52601,-1,-1,-1,-1,150000
52602,黄衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52601,-1,-1,-1,-1,300000
52603,黄衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52602,-1,-1,-1,-1,450000
52604,黄衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52602,-1,-1,-1,-1,600000
52621,黄衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52621,-1,-1,-1,-1,37500
52622,黄衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52621,-1,-1,-1,-1,75000
52623,黄衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52622,-1,-1,-1,-1,112500
52624,黄衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52622,-1,-1,-1,-1,150000
52701,虎王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52701,-1,-1,-1,-1,150000
52702,虎王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52701,-1,-1,-1,-1,300000
52703,虎王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52702,-1,-1,-1,-1,450000
52704,虎王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52702,-1,-1,-1,-1,600000
52721,虎王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52721,-1,-1,-1,-1,37500
52722,虎王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52721,-1,-1,-1,-1,75000
52723,虎王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52722,-1,-1,-1,-1,112500
52724,虎王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52722,-1,-1,-1,-1,150000
52801,金角,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52801,-1,-1,-1,-1,150000
52802,金角,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52801,-1,-1,-1,-1,300000
52803,金角,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52802,-1,-1,-1,-1,450000
52804,金角,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52802,-1,-1,-1,-1,600000
52821,金角,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52821,-1,-1,-1,-1,37500
52822,金角,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52821,-1,-1,-1,-1,75000
52823,金角,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52822,-1,-1,-1,-1,112500
52824,金角,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52822,-1,-1,-1,-1,150000
52901,九头虫,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52901,-1,-1,-1,-1,150000
52902,九头虫,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52901,-1,-1,-1,-1,300000
52903,九头虫,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52902,-1,-1,-1,-1,450000
52904,九头虫,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52902,-1,-1,-1,-1,600000
52921,九头虫,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52921,-1,-1,-1,-1,37500
52922,九头虫,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52921,-1,-1,-1,-1,75000
52923,九头虫,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52922,-1,-1,-1,-1,112500
52924,九头虫,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,52922,-1,-1,-1,-1,150000
53001,九尾狐,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53001,-1,-1,-1,-1,150000
53002,九尾狐,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53001,-1,-1,-1,-1,300000
53003,九尾狐,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53002,-1,-1,-1,-1,450000
53004,九尾狐,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53002,-1,-1,-1,-1,600000
53021,九尾狐,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53021,-1,-1,-1,-1,37500
53022,九尾狐,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53021,-1,-1,-1,-1,75000
53023,九尾狐,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53022,-1,-1,-1,-1,112500
53024,九尾狐,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53022,-1,-1,-1,-1,150000
53101,蓝衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53101,-1,-1,-1,-1,150000
53102,蓝衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53101,-1,-1,-1,-1,300000
53103,蓝衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53102,-1,-1,-1,-1,450000
53104,蓝衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53102,-1,-1,-1,-1,600000
53121,蓝衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53121,-1,-1,-1,-1,37500
53122,蓝衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53121,-1,-1,-1,-1,75000
53123,蓝衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53122,-1,-1,-1,-1,112500
53124,蓝衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53122,-1,-1,-1,-1,150000
53201,李靖,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53201,-1,-1,-1,-1,150000
53202,李靖,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53201,-1,-1,-1,-1,300000
53203,李靖,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53202,-1,-1,-1,-1,450000
53204,李靖,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53202,-1,-1,-1,-1,600000
53221,李靖,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53221,-1,-1,-1,-1,37500
53222,李靖,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53221,-1,-1,-1,-1,75000
53223,李靖,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53222,-1,-1,-1,-1,112500
53224,李靖,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53222,-1,-1,-1,-1,150000
53301,龙王三太子,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53301,-1,-1,-1,-1,150000
53302,龙王三太子,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53301,-1,-1,-1,-1,300000
53303,龙王三太子,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53302,-1,-1,-1,-1,450000
53304,龙王三太子,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53302,-1,-1,-1,-1,600000
53321,龙王三太子,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53321,-1,-1,-1,-1,37500
53322,龙王三太子,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53321,-1,-1,-1,-1,75000
53323,龙王三太子,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53322,-1,-1,-1,-1,112500
53324,龙王三太子,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53322,-1,-1,-1,-1,150000
53401,绿衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53401,-1,-1,-1,-1,150000
53402,绿衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53401,-1,-1,-1,-1,300000
53403,绿衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53402,-1,-1,-1,-1,450000
53404,绿衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53402,-1,-1,-1,-1,600000
53421,绿衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53421,-1,-1,-1,-1,37500
53422,绿衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53421,-1,-1,-1,-1,75000
53423,绿衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53422,-1,-1,-1,-1,112500
53424,绿衣仙女,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53422,-1,-1,-1,-1,150000
53501,蟒蛇精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53501,-1,-1,-1,-1,150000
53502,蟒蛇精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53501,-1,-1,-1,-1,300000
53503,蟒蛇精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53502,-1,-1,-1,-1,450000
53504,蟒蛇精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53502,-1,-1,-1,-1,600000
53521,蟒蛇精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53521,-1,-1,-1,-1,37500
53522,蟒蛇精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53521,-1,-1,-1,-1,75000
53523,蟒蛇精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53522,-1,-1,-1,-1,112500
53524,蟒蛇精,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53522,-1,-1,-1,-1,150000
53601,哪吒,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53601,-1,-1,-1,-1,150000
53602,哪吒,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53601,-1,-1,-1,-1,300000
53603,哪吒,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53602,-1,-1,-1,-1,450000
53604,哪吒,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53602,-1,-1,-1,-1,600000
53621,哪吒,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53621,-1,-1,-1,-1,37500
53622,哪吒,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53621,-1,-1,-1,-1,75000
53623,哪吒,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53622,-1,-1,-1,-1,112500
53624,哪吒,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53622,-1,-1,-1,-1,150000
53701,牛魔王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53701,-1,-1,-1,-1,150000
53702,牛魔王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53701,-1,-1,-1,-1,300000
53703,牛魔王,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,53702,-1,-1,-1,-1,450000
