"Id
===
Id
===
int-cs","名称
===
Name
===
string-cs","轮盘权重
===
RollingRatio
===
float-cs","每打一遍勋章奖励
===
StarAward
===
float-cs","成就ID
===
AchId
===
int-cs","需求类型
===
ReqType
===
int-cs","需求占比
===
ReqPercent
===
int-cs","物品ID集合(分号分割)
===
Ids
===
string-cs","掉落率
===
DropRate
===
float-cs","最少打多少遍
===
MinCount
===
int-cs","最多打多少遍
===
MaxCount
===
int-cs","星级占比（10000）0
===
StarPercent0
===
int-cs","星级占比（10000）1
===
StarPercent1
===
int-cs","星级占比（10000）2
===
StarPercent2
===
int-cs","任务刷新过滤
===
TaskFilter
===
string-s"
17,普通,7,20,-1,0,0,61962;61362;61462;61362;61962;61362;61962;61462;61462;61961;61962;61962;61962,0.18,2,2,2000,3000,5000,Func_CompleteStage(301)
18,普通,7,20,-1,0,0,61362;61362;61462;61362;61462;61962;61462;61462;61362;61362;61962;61362;61362;61963;61461;61963,0.18,2,2,2000,3000,5000,Func_CompleteStage(302)
19,普通,7,20,-1,0,0,61462;61462;61363;61362;61363;61363;61362;61363;61463;61462;61463;61463;61463;61362;61362;61362,0.18,2,2,2000,3000,5000,Func_CompleteStage(303)
20,普通,7,20,-1,0,0,61962;61962;61462;61462;61462;61962;61962;61463;61463;61463;61363;61363;61362;61362,0.18,2,2,2000,3000,5000,Func_CompleteStage(304)
21,普通,8,20,-1,0,0,61463;61463;61462;61462;61462;61462;61462;61463;61463;61463;61461;61463;61462;61462;61462,0.18,2,2,2000,3000,5000,Func_CompleteStage(305)
22,普通,8,20,-1,0,0,61462;61962;61462;61463;61463;61463;61462;61463;61462;61463;61462;61961;61962;61363;61363,0.18,2,2,2000,3000,5000,Func_CompleteStage(306)
23,普通,8,20,-1,0,0,61362;61362;61462;61362;61462;61362;61962;61362;61462;61363;61462;61362;61361;61463,0.18,2,2,2000,3000,5000,Func_CompleteStage(307)
24,普通,9,20,-1,0,0,61362;61363;61362;61463;61463;61362;61962;61362;61963;61363;61963;61962;61962;61362;61362,0.18,2,2,2000,3000,5000,Func_CompleteStage(308)
25,普通,9,20,-1,0,0,62063;62063;62063;62062;62062;60162;60162;62062;62062;62062;62063;62062;62063,0.18,2,2,2000,3000,5000,Func_CompleteStage(401)
26,普通,9,20,-1,0,0,60063;60062;60062;60063;60062;60062;60062;60063;60063;60062;60062;60062;60063;60061,0.18,2,2,2000,3000,5000,Func_CompleteStage(402)
27,普通,9,20,-1,0,0,60063;60062;60062;62062;62062;60063;62063;60063;62063;60063;62063;60062;62063;60062;60061;62063,0.18,2,2,2000,3000,5000,Func_CompleteStage(403)
28,普通,10,20,-1,0,0,62063;62061;62063;62061;62063;60061;60061;62062;62062;60061;60061;61561;60063;60063,0.18,2,2,2000,3000,5000,Func_CompleteStage(404)
29,普通,10,20,-1,0,0,62063;62063;60061;60061;60061;60061;62063;62063;62063;62063;60061;62062;62063,0.18,2,2,2000,3000,5000,Func_CompleteStage(405)
30,普通,10,20,-1,0,0,62062;62062;60062;60063;60062;60062;60062;62063;60062;62063;60161;60162;60162,0.18,2,2,2000,3000,5000,Func_CompleteStage(406)
31,普通,11,20,-1,0,0,62063;62061;62063;62061;62063;60061;62062;60061;62062;60061;62062;62063;62063;60061;60063,0.18,2,2,2000,3000,5000,Func_CompleteStage(407)
32,普通,11,20,-1,0,0,62063;60062;62063;60062;60062;60061;60063;60061;60063;60061;60063;62063;60163;62063;60162,0.18,2,2,2000,3000,5000,Func_CompleteStage(408)
33,普通,11,20,-1,0,0,62063;60061;62063;60061;62063;60061;60061;62063;60061;62063;60061;62063;62062;62063;62062;60162;60162,0.18,2,2,2000,3000,5000,Func_CompleteStage(409)
34,普通,11,20,-1,0,0,61661;61661;60662;60661;60661;60661;61661;61663;61663;61663;61861;61862,0.18,2,2,2000,3000,5000,Func_CompleteStage(501)
35,普通,11,20,-1,0,0,61663;61663;60662;61663;60662;61661;61661;61661;60663;61661;60663;60663;60663;61863,0.18,2,2,2000,3000,5000,Func_CompleteStage(502)
36,普通,11,20,-1,0,0,61662;61662;61662;61661;61662;61663;61663;61663;61663;61663;60661;61863;60661,0.18,2,2,2000,3000,5000,Func_CompleteStage(503)
37,普通,11,20,-1,0,0,60661;60661;60661;61861;61861;61661;60662;61661;60662;60661;61862;61862,0.18,2,2,2000,3000,5000,Func_CompleteStage(504)
38,普通,12,20,-1,0,0,60662;61861;61661;61861;61663;60661;61662;60661;60661;61861;61861,0.18,2,2,2000,3000,5000,Func_CompleteStage(505)
39,普通,12,20,-1,0,0,60661;60661;61663;61661;60663;60663;61662;61662;61861,0.18,2,2,2000,3000,5000,Func_CompleteStage(506)
40,普通,12,20,-1,0,0,60662;60662;60663;61662;61662;61662;60661;61661;60661;61663;60661;61663;61862;61862,0.18,2,2,2000,3000,5000,Func_CompleteStage(507)
41,普通,12,20,-1,0,0,61663;61663;61662;61662;60662;60663;60663;60663;61662;61662;60661;60661,0.18,2,2,2000,3000,5000,Func_CompleteStage(508)
42,普通,13,20,-1,0,0,61662;61661;61662;60661;61663;60661;60661;61663;60662;61663;61663;61663;61861;61863,0.18,2,2,2000,3000,5000,Func_CompleteStage(509)
43,普通,13,20,-1,0,0,62062;62063;62062;60562;62063;62063;60563;60563;62063;62063;61562,0.18,2,2,2000,3000,5000,Func_CompleteStage(601)
44,普通,13,20,-1,0,0,61561;62063;61561;60562;62062;62062;62062;60562;61563;60561;61563;62061,0.18,2,2,2000,3000,5000,Func_CompleteStage(602)
45,普通,13,20,-1,0,0,60563;60563;61562;62062;61562;61561;61561;61561;60563;62063;62062;60562;60562,0.18,2,2,2000,3000,5000,Func_CompleteStage(603)
46,普通,14,20,-1,0,0,62061;62061;61561;60562;60562;61562;60562;62062;60563;62062;61561,0.18,2,2,2000,3000,5000,Func_CompleteStage(604)
47,普通,14,20,-1,0,0,61563;62061;61563;60561;62062;60561;60561;60561,0.18,2,2,2000,3000,5000,Func_CompleteStage(605)
48,普通,14,20,-1,0,0,62063;61561;61561;61561;62063;62063;60561;62062;62062;61563,0.18,2,2,2000,3000,5000,Func_CompleteStage(606)
49,普通,15,20,-1,0,0,60562;60562;61563;60562;62061;62061;60563;61563;60563;62062;61562;62062;60563,0.18,2,2,2000,3000,5000,Func_CompleteStage(607)
50,普通,15,20,-1,0,0,61563;61563;60562;60562;62063;62063;62063;61561;62063;62063;60563;60562,0.18,2,2,2000,3000,5000,Func_CompleteStage(608)
51,普通,15,20,-1,0,0,62062;62062;60562;61561;60562;62061;61562;61562;60562;60562,0.18,2,2,2000,3000,5000,Func_CompleteStage(609)
52,普通,15,20,-1,0,0,60162;60162;62162;60162;61361;61361;60161;62161;60161;61361;61361,0.18,2,2,2000,3000,5000,Func_CompleteStage(701)
53,普通,15,20,-1,0,0,60163;60163;60163;62162;60163;61362;61362;61362;61361;60162;61362,0.18,2,2,2000,3000,5000,Func_CompleteStage(702)
54,普通,15,20,-1,0,0,60161;60161;60161;61361;61361;62163;62163;61361;61361;61361;60162;60163;62161;62161,0.18,2,2,2000,3000,5000,Func_CompleteStage(703)
55,普通,16,20,-1,0,0,62163;62163;61363;60162;60162;61363;62162;62162;61361;61361,0.18,2,2,2000,3000,5000,Func_CompleteStage(704)
56,普通,16,20,-1,0,0,60162;60162;60162;62162;61362;62162;60161;61361;61361;61361;61362;61362,0.18,2,2,2000,3000,5000,Func_CompleteStage(705)
57,普通,16,20,-1,0,0,60162;62161;62161;60161;60161;62161;62161;62161;61361;62163;61361,0.18,2,2,2000,3000,5000,Func_CompleteStage(706)
58,普通,16,20,-1,0,0,60161;60161;60161;62162;60163;60163;61362;61362;61362;60161;62163;60161,0.18,2,2,2000,3000,5000,Func_CompleteStage(707)
59,普通,16,20,-1,0,0,60162;62161;62161;60161;60161;62162;62162;62162;61361;61363;60163;60163,0.18,2,2,2000,3000,5000,Func_CompleteStage(708)
60,普通,16,20,-1,0,0,60161;60161;62163;62162;62162;61363;61363;61363;60163;60163;61363;61363,0.18,2,2,2000,3000,5000,Func_CompleteStage(709)
61,普通,16,20,-1,0,0,60162;60162;60162;62162;62162;62163;62163;61361;61361;61361;62161;62161;60161;60161,0.18,2,2,2000,3000,5000,Func_CompleteStage(710)
62,普通,17,20,-1,0,0,60962;60662;60962;60662;60662;60962;60962;60963;60963;60963;60662;60661;60662,0.18,2,2,2000,3000,5000,Func_CompleteStage(801)
63,普通,17,20,-1,0,0,60962;60962;60962;61563;61563;61563;61563;60963;60963;61563;61563;61562;61563;61563,0.18,2,2,2000,3000,5000,Func_CompleteStage(802)
64,普通,17,20,-1,0,0,60663;60663;60962;60963;60962;61563;61562;61563;60661;60661;61562;60661,0.18,2,2,2000,3000,5000,Func_CompleteStage(803)
65,普通,17,20,-1,0,0,60963;60963;60962;60963;60962;60962;60962;60963;60963;60962;60962;60963;60962;60963;60962;60962,0.18,2,2,2000,3000,5000,Func_CompleteStage(804)
66,普通,17,20,-1,0,0,60661;60661;61562;61562;60661;60661;61563;61563;60661;61563;61563;60661;60662;60661;60662;60663;60663,0.18,2,2,2000,3000,5000,Func_CompleteStage(805)
67,普通,17,20,-1,0,0,60962;60962;60963;60962;60963;60962;60963;60963;60963;60963;60962;60962;60963,0.18,2,2,2000,3000,5000,Func_CompleteStage(806)
68,普通,18,20,-1,0,0,60663;60663;61563;61563;61563;60663;61561;60663;61563;60663;61563;60661;60661;61563;61562;61563,0.18,2,2,2000,3000,5000,Func_CompleteStage(807)
69,普通,18,20,-1,0,0,60661;60963;60661;60963;60963;60962;60962;60661;60962;60661;60962;60661;60663;60963,0.18,2,2,2000,3000,5000,Func_CompleteStage(808)
70,普通,18,20,-1,0,0,61562;61563;61562;61563;61563;60661;60661;60662;60661;60662;61563;61563,0.18,2,2,2000,3000,5000,Func_CompleteStage(809)
71,普通,18,20,-1,0,0,60662;60662;60662;60661;60661;61563;61563;61562;61562;61562;60661;61561,0.18,2,2,2000,3000,5000,Func_CompleteStage(810)
72,普通,18,20,-1,0,0,61662;61662;62062;62061;62062;62063;61663;61663;61662;61662;62063;61662;61661;61662,0.18,2,2,2000,3000,5000,Func_CompleteStage(901)
73,普通,18,20,-1,0,0,62062;62062;62061;62061;62061;61663;61663;61663;62063;62063;62062;62062;62061,0.18,2,2,2000,3000,5000,Func_CompleteStage(902)
74,普通,18,20,-1,0,0,61662;61662;62063;62063;62063;61661;61661;62062;62062;62062;61663;62062;61661;62061,0.18,2,2,2000,3000,5000,Func_CompleteStage(903)
75,普通,19,20,-1,0,0,62062;62062;62062;62063;62063;62062;62062;62063;62062;62062;62063;62061;62062,0.18,2,2,2000,3000,5000,Func_CompleteStage(904)
76,普通,19,20,-1,0,0,61662;61662;61663;61663;61663;61663;61663;61663;61662;61662;61662;61663;61661;61661;61661,0.18,2,2,2000,3000,5000,Func_CompleteStage(905)
77,普通,19,20,-1,0,0,61662;61662;62063;62063;62063;62062;62062;61661;61661;62063;62063;62063;62062;62062,0.18,2,2,2000,3000,5000,Func_CompleteStage(906)
78,普通,20,20,-1,0,0,61662;61662;61663;61663;61663;61663;61663;61663;61662;61662;61662;61662;61662,0.18,2,2,2000,3000,5000,Func_CompleteStage(907)
79,普通,20,20,-1,0,0,61662;61662;62063;61662;62063;62062;62062;62062;61661;61661;62063;61663;62062;62062;62062,0.18,2,2,2000,3000,5000,Func_CompleteStage(908)
80,普通,20,20,-1,0,0,62062;61662;62062;61662;62062;61662;61662;62062;61662;62063;61661;62063;61662;61662;61662;61662;62062,0.18,2,2,2000,3000,5000,Func_CompleteStage(909)
81,普通,20,20,-1,0,0,62062;62062;62062;62063;62063;62062;62063;62062;62062;62063;62062;62062;62062;62062,0.18,2,2,2000,3000,5000,Func_CompleteStage(910)
82,普通,20,20,-1,0,0,61763;61763;61461;61463;61461;61463;61763;61463;61763;61463;61763;61661;61463;61462;61463,0.18,2,2,2000,3000,5000,Func_CompleteStage(1001)
83,普通,20,20,-1,0,0,61663;61463;61663;61463;61463;61461;61461;61461;61661;61661;61762;61461;61762;61462;61462,0.18,2,2,2000,3000,5000,Func_CompleteStage(1002)
84,普通,20,20,-1,0,0,61661;61661;61762;61762;61762;61661;61763;61763;61763;61763;61661;61763;61761;61763;61762;61762,0.18,2,2,2000,3000,5000,Func_CompleteStage(1003)
85,普通,21,20,-1,0,0,61661;61661;61662;61662;61662;61461;61462;61461;61662;61662;61663;61662;61461;61662,0.18,2,2,2000,3000,5000,Func_CompleteStage(1004)
86,普通,21,20,-1,0,0,61763;61662;61662;61662;61662;61763;61661;61762;61661;61762;61762;61662;61663;61762;61762,0.18,2,2,2000,3000,5000,Func_CompleteStage(1005)
87,普通,21,20,-1,0,0,61763;61763;61763;61461;61461;61762;61762;61463;61463;61762;61762;61462;61463;61761;61761,0.18,2,2,2000,3000,5000,Func_CompleteStage(1006)
88,普通,21,20,-1,0,0,61461;61461;61461;61462;61462;61763;61763;61763;61462;61462;61462;61763;61763;61462;61462,0.18,2,2,2000,3000,5000,Func_CompleteStage(1007)
89,普通,21,20,-1,0,0,61663;61663;61463;61663;61463;61663;61663;61663;61461;61461;61663;61663;61762;61762,0.18,2,2,2000,3000,5000,Func_CompleteStage(1008)
90,普通,21,20,-1,0,0,61463;61663;61663;61463;61763;61763;61762;61762;61662;61462;61462;61662;61663;61762;61463,0.18,2,2,2000,3000,5000,Func_CompleteStage(1009)
91,普通,21,20,-1,0,0,61763;61763;61763;61762;61762;61763;61762;61763;61762;61763;61762;61762;61762,0.18,2,2,2000,3000,5000,Func_CompleteStage(1010)
92,普通,22,20,-1,0,0,60543;60543;60543;61143;61143;60543;60543;61142;61142;61142;60543;60543;60543;60541,0.18,2,2,2000,3000,5000,Func_CompleteStage(1101)
93,普通,22,20,-1,0,0,60441;60441;60442;61142;60442;61143;60441;61143;61141;60441;61141;60543;60441;60543;61142;61142,0.18,2,2,2000,3000,5000,Func_CompleteStage(1102)
94,普通,22,20,-1,0,0,60542;60542;60543;61142;60543;61143;61143;60443;60443;60443;60442;60442;60541;60443;60541,0.18,2,2,2000,3000,5000,Func_CompleteStage(1103)
95,普通,22,20,-1,0,0,60542;60542;60443;61142;60443;60543;60443;60543;60443;60443;60441;60441;60441;61142;60442;61142,0.18,2,2,2000,3000,5000,Func_CompleteStage(1104)
96,普通,22,20,-1,0,0,60543;60543;60443;61143;60443;61142;61142;61142;60442;60442;60442;60443;60443;61143;60541;61143,0.18,2,2,2000,3000,5000,Func_CompleteStage(1105)
97,普通,22,20,-1,0,0,60443;60443;61142;61142;61142;60441;60441;60441;60543;60543;60543;60441;60442;60543;61141;60543,0.18,2,2,2000,3000,5000,Func_CompleteStage(1106)
98,普通,23,20,-1,0,0,60442;60541;60442;60443;60443;61141;60443;61141;60443;61141;60443;60442;60442;61142;61141;61142,0.18,2,2,2000,3000,5000,Func_CompleteStage(1107)
99,普通,23,20,-1,0,0,60543;60543;61142;61142;61142;60443;61143;60443;61142;61143;61142;60443;60443;61141;60543;61143,0.18,2,2,2000,3000,5000,Func_CompleteStage(1108)
100,普通,23,20,-1,0,0,60442;61143;60442;61141;61141;60441;60441;61143;61143;61143;61141;61141,0.18,2,2,2000,3000,5000,Func_CompleteStage(1109)
101,普通,23,20,-1,0,0,61043;61043;61043;60941;60941;61041;61041;60943;60943;60943;60942;60943;60943;60943,0.18,2,2,2000,3000,5000,Func_CompleteStage(1201)
102,普通,23,20,-1,0,0,61043;61043;61842;61842;61842;61041;61041;61842;61841;61842;61042;61043;61042,0.18,2,2,2000,3000,5000,Func_CompleteStage(1202)
103,普通,23,20,-1,0,0,60943;60943;60943;61842;61842;60941;60941;60941;61841;61841;60942;60942;60943;61842;60943,0.18,2,2,2000,3000,5000,Func_CompleteStage(1203)
104,普通,24,20,-1,0,0,61041;61041;60943;60942;60943;60941;61042;60941;61043;61043;61041;60941;60941;60941,0.18,2,2,2000,3000,5000,Func_CompleteStage(1204)
105,普通,24,20,-1,0,0,61842;61842;61043;61043;61043;61043;61042;61043;61842;61842;61043;61043;61843,0.18,2,2,2000,3000,5000,Func_CompleteStage(1205)
106,普通,24,20,-1,0,0,61043;61043;60943;60943;60943;61041;61042;61041;60943;60943;61041;61042;61843,0.18,2,2,2000,3000,5000,Func_CompleteStage(1206)
107,普通,25,20,-1,0,0,60943;60943;61843;61841;61843;61841;60943;61841;60943;61841;60943;60942;60943;61842,0.18,2,2,2000,3000,5000,Func_CompleteStage(1207)
108,普通,25,20,-1,0,0,61043;61043;61043;61841;61841;61043;61043;61842;61842;61043;61043;61042;61042;61843;61841,0.18,2,2,2000,3000,5000,Func_CompleteStage(1208)
109,普通,25,20,-1,0,0,60943;60943;61043;61042;61043;61043;61043;60943;60942;60943;60943;60943;61843;60942,0.18,2,2,2000,3000,5000,Func_CompleteStage(1209)
110,普通,25,20,-1,0,0,61041;61041;61841;61842;61841;60943;60943;60943;61043;61043;61042;60942;61841,0.18,2,2,2000,3000,5000,Func_CompleteStage(1210)
111,普通,25,20,-1,0,0,60943;60943;61842;61841;61841;61041;61042;61041;61842;61843;61842;61043;61043,0.18,2,2,2000,3000,5000,Func_CompleteStage(1211)
112,普通,26,20,-1,0,0,61741;61741;61841;61843;61841;61842;61743;61842;61743;61842;61743;61641;61841;61843;61841,0.18,2,2,2000,3000,5000,Func_CompleteStage(1301)
113,普通,26,20,-1,0,0,61643;61841;61643;61842;61842;61841;61841;61841;61642;61642;61842;61841;61842,0.18,2,2,2000,3000,5000,Func_CompleteStage(1302)
114,普通,26,20,-1,0,0,61641;61641;61742;61742;61742;61641;61743;61743;61743;61743;61641;61743;61743;61742;61741;61742,0.18,2,2,2000,3000,5000,Func_CompleteStage(1303)
115,普通,27,20,-1,0,0,61641;61641;61642;61642;61642;61841;61842;61841;61642;61642;61642;61641;61642;61842,0.18,2,2,2000,3000,5000,Func_CompleteStage(1304)
116,普通,27,20,-1,0,0,61743;61642;61642;61642;61642;61743;61641;61742;61641;61742;61742;61641;61641;61742;61742,0.18,2,2,2000,3000,5000,Func_CompleteStage(1305)
117,普通,27,20,-1,0,0,61743;61743;61743;61842;61842;61742;61742;61842;61842;61742;61742;61841;61843;61741;61741,0.18,2,2,2000,3000,5000,Func_CompleteStage(1306)
118,普通,28,20,-1,0,0,61842;61842;61842;61841;61841;61743;61743;61743;61842;61841;61842;61742;61742;61642;61843;61642,0.18,2,2,2000,3000,5000,Func_CompleteStage(1307)
119,普通,28,20,-1,0,0,61643;61643;61842;61643;61842;61643;61643;61643;61642;61642;61641;61642;61841;61841,0.18,2,2,2000,3000,5000,Func_CompleteStage(1308)
120,普通,28,20,-1,0,0,61642;61642;61843;61741;61741;61843;61742;61742;61642;61842;61842;61642;61641;61841;61741,0.18,2,2,2000,3000,5000,Func_CompleteStage(1309)
121,普通,28,20,-1,0,0,61743;61743;61743;61742;61742;61743;61742;61743;61742;61743;61742;61642;61641;61642;61742;61843;61742,0.18,2,2,2000,3000,5000,Func_CompleteStage(1310)
122,普通,28,20,-1,0,0,61842;61841;61842;61843;61843;61841;61843;61841;61843;61841;61843;61742;61742;61842;61842,0.18,2,2,2000,3000,5000,Func_CompleteStage(1311)
123,普通,29,20,-1,0,0,61842;61842;61842;61841;61841;61841;61841;61841;61842;61842;61842;61842;61841;61843;61841,0.18,2,2,2000,3000,5000,Func_CompleteStage(1401)
124,普通,29,20,-1,0,0,61842;61842;61843;61841;61843;61841;61842;61842;61842;61842;61843;61842;61841;61842;61843;61843,0.18,2,2,2000,3000,5000,Func_CompleteStage(1402)
125,普通,29,20,-1,0,0,61841;61842;61841;61842;61842;61842;61841;61842;61841;61843;61841;61841;61843;61841,0.18,2,2,2000,3000,5000,Func_CompleteStage(1403)
126,普通,29,20,-1,0,0,60043;60043;61342;61341;61342;60042;61341;60042;61342;61342;61343;61342;61342;61342,0.18,2,2,2000,3000,5000,Func_CompleteStage(1404)
127,普通,29,20,-1,0,0,61342;61342;61443;61442;61443;61343;61442;61442;61442;61442;61343;61443;61443;61443;61341;61341,0.18,2,2,2000,3000,5000,Func_CompleteStage(1405)
128,普通,29,20,-1,0,0,61442;61442;61342;61343;61342;61342;61341;61342;61441;61442;61441;61443;61443;61342;61341;61342,0.18,2,2,2000,3000,5000,Func_CompleteStage(1406)
129,普通,30,20,-1,0,0,61341;61341;60041;61342;60041;60043;60043;61341;61343;61341;61343;61343,0.18,2,2,2000,3000,5000,Func_CompleteStage(1407)
130,普通,30,20,-1,0,0,60042;60042;61442;61442;61442;60043;60043;61441;61442;61441;60043;60041;60043;60042;60042,0.18,2,2,2000,3000,5000,Func_CompleteStage(1408)
131,普通,30,20,-1,0,0,61342;61342;61442;61443;61442;61441;61342;61342;61341;61341;61441;61442;61443;61441;61343;61343,0.18,2,2,2000,3000,5000,Func_CompleteStage(1409)
132,普通,30,20,-1,0,0,60043;60043;60043;61442;61442;61443;61441;61443;60043;60042;60043;60041;60042;61442;61442,0.18,2,2,2000,3000,5000,Func_CompleteStage(1410)
133,普通,30,20,-1,0,0,61342;61342;60043;61341;60043;60041;61341;60041;61341;60042;61341;61341;61343;61341,0.18,2,2,2000,3000,5000,Func_CompleteStage(1411)
134,普通,31,20,-1,0,0,62242;62243;62242;60243;60243;62243;62243;60242;60243;60242;62243;60243;60242;60243,0.18,2,2,2000,3000,5000,Func_CompleteStage(1501)
135,普通,31,20,-1,0,0,61241;61241;61243;61243;61243;62242;62242;61242;61243;61242;61243;61243;61241,0.18,2,2,2000,3000,5000,Func_CompleteStage(1502)
136,普通,31,20,-1,0,0,62242;62243;62242;60242;60242;60243;60243;62243;62241;62243;62243;62243;60243;60242;60243,0.18,2,2,2000,3000,5000,Func_CompleteStage(1503)
137,普通,31,20,-1,0,0,62242;62242;60243;60242;60243;60242;62243;60242;62243;62243;60841;60242;62241;60242,0.18,2,2,2000,3000,5000,Func_CompleteStage(1504)
138,普通,31,20,-1,0,0,62242;62242;61242;62241;61242;61241;62242;61241;62243;61243;62243;62243;62243;61241;61241,0.18,2,2,2000,3000,5000,Func_CompleteStage(1505)
139,普通,31,20,-1,0,0,62242;62242;60241;60241;62243;62243;60241;62243;62243;60241;62243;62243;62241;62241;60243;60242,0.18,2,2,2000,3000,5000,Func_CompleteStage(1506)
140,普通,32,20,-1,0,0,61243;61243;62243;61242;62243;61242;62243;61242;62243;61242;62243;62243;62241;61241;61241,0.18,2,2,2000,3000,5000,Func_CompleteStage(1507)
141,普通,32,20,-1,0,0,61243;61242;61243;60242;60242;61243;61243;60243;60243;61243;61243;60741;61242;61242,0.18,2,2,2000,3000,5000,Func_CompleteStage(1508)
142,普通,32,20,-1,0,0,61242;62242;61242;62241;62241;62243;62243;61241;61241;62243;62243;60741;60741,0.18,2,2,2000,3000,5000,Func_CompleteStage(1509)
143,普通,32,20,-1,0,0,62243;62243;61243;61242;61243;61243;61243;62243;62242;62243;62241;0;62241;61241,0.18,2,2,2000,3000,5000,Func_CompleteStage(1510)
144,普通,32,20,-1,0,0,61243;62242;62242;61243;60242;60242;61242;61242;62243;60243;60243;62243;61241;62242;60242,0.18,2,2,2000,3000,5000,Func_CompleteStage(1511)
145,普通,32,20,-1,0,0,62243;62242;62243;61241;61241;61242;62242;61242;60842;60842;0;0,0.18,2,2,2000,3000,5000,Func_CompleteStage(1512)
146,普通,33,20,-1,0,0,62243;62243;62243;60343;60343;61943;61943;61943;62243;62243;60341;60342;60341;60343;60343,0.18,2,2,2000,3000,5000,Func_CompleteStage(1601)
147,普通,33,20,-1,0,0,61943;61943;61943;62243;62243;62243;62243;62243;61942;61942;61943;61943;61941,0.18,2,2,2000,3000,5000,Func_CompleteStage(1602)
148,普通,33,20,-1,0,0,62243;62243;62243;60343;60343;60343;60343;60343;61942;61942;62241;60342;60342;60342,0.18,2,2,2000,3000,5000,Func_CompleteStage(1603)
149,普通,33,20,-1,0,0,60343;60342;60343;62241;62241;60343;60342;60343;61943;61943;61943;62241;60241;62241;60342,0.18,2,2,2000,3000,5000,Func_CompleteStage(1604)
150,普通,33,20,-1,0,0,61943;61943;62243;61941;62243;62241;61942;62241;61942;62243;61942;61943;61943;61241,0.18,2,2,2000,3000,5000,Func_CompleteStage(1605)
151,普通,33,20,-1,0,0,62243;60342;62243;62241;62241;62243;61941;62243;61943;61943;60341;60341,0.18,2,2,2000,3000,5000,Func_CompleteStage(1606)
152,普通,34,20,-1,0,0,61942;61943;61942;60343;60343;61943;60342;60342;60341;60341;61943;60342;60342;61941;61941,0.18,2,2,2000,3000,5000,Func_CompleteStage(1607)
