"Id
===
Id
===
int-cs","名称
===
Name
===
string-cs","描述
===
Description
===
string-cs","任务分类(0：每日，1：主线，2：支线)
===
ClassId
===
int-cs","任务开启时间(分号分割)
===
Week
===
string-cs","奖励包(DropAwardTable)
===
RewardId
===
int-cs","任务类型
===
TaskTypes
===
int-cs","需要次数
===
NeedNum
===
int-cs","任务需求相关参数0
===
Parameter0
===
int-cs","任务需求相关参数1
===
Parameter1
===
int-cs","任务需求相关参数2
===
Parameter2
===
int-cs","任务需求相关参数3
===
Parameter3
===
int-cs","任务需求相关参数4
===
Parameter4
===
int-cs","任务需求相关参数5
===
Parameter5
===
int-cs","活跃度
===
ActivePoint
===
int-cs","上一个任务
===
LastTask
===
int-cs","等级限制
===
LevelLimit
===
int-cs","展示ID
===
ShowID
===
int-c"
52001,【支】武将升级,将武将提升等级，操作五次。,2,0,52001,5,5,-1,-1,-1,-1,-1,-1,0,10003,0,10024
52002,【支】技能升级,对主角任意技能进行一次升级操作。,2,0,52002,22,1,-1,-1,-1,-1,-1,-1,0,10002,0,10024
52003,【支】武将布阵,将一个武将布到当前阵形当中。,2,0,52003,26,1,-1,-1,-1,-1,-1,-1,0,50000,0,10024
52004,【支】武将晋升,将一个武将晋升一个品质。,2,0,52004,4,1,-1,-1,-1,-1,-1,-1,0,50004,0,10024
52005,【支】日常任务,成功完成五个日常任务,2,0,52005,28,5,-1,-1,-1,-1,-1,-1,0,-1,8,10024
52006,【支】成就系统,完成并领取五个成就系统奖励。,2,0,52006,29,5,-1,-1,-1,-1,-1,-1,0,-1,9,10024
52007,【支】武将秘籍,成功激活一个武将秘籍,2,0,52007,25,1,-1,-1,-1,-1,-1,-1,0,50004,0,10024
52008,【支】装备武装,给主角或者武将穿戴五件装备,2,0,52008,24,5,-1,-1,-1,-1,-1,-1,0,10003,0,10024
52009,【支】助纣为虐,成功通关三次【助纣为虐】副本。,2,0,52009,21,3,1002,2,-1,-1,-1,-1,0,10002,0,10024
52010,【支】力挽狂澜,成功通关三次【力挽狂澜】副本。,2,0,52010,21,3,1004,2,-1,-1,-1,-1,0,52009,0,10024
52011,【支】盘蛇山脉,成功通关三次【盘蛇山脉】副本。,2,0,52011,21,3,1006,2,-1,-1,-1,-1,0,52010,0,10024
52012,【支】纷争割据,成功通关三次【纷争割据】副本。,2,0,52012,21,3,2002,3,-1,-1,-1,-1,0,52011,0,10024
52013,【支】希望之光,成功通关三次【希望之光】副本。,2,0,52013,21,3,2004,3,-1,-1,-1,-1,0,52012,0,10024
52014,【支】退避三舍,成功通关三次【退避三舍】副本。,2,0,52014,21,3,2006,3,-1,-1,-1,-1,0,52013,0,10024
52015,【支】调兵遣将,成功通关三次【调兵遣将】副本。,2,0,52015,21,3,3002,4,-1,-1,-1,-1,0,52014,0,10024
52016,【支】天下合纵,成功通关三次【天下合纵】副本。,2,0,52016,21,3,3004,4,-1,-1,-1,-1,0,52015,0,10024
52017,【支】各个击破,成功通关三次【各个击破】副本。,2,0,52017,21,3,3006,4,-1,-1,-1,-1,0,52016,0,10024
52018,【支】初现锋芒,成功通关三次【初现锋芒】副本。,2,0,52018,21,3,3008,4,-1,-1,-1,-1,0,52017,0,10024
52019,【支】力拔山兮,成功通关三次【力拔山兮】副本。,2,0,52019,21,3,4002,5,-1,-1,-1,-1,0,52018,0,10024
52020,【支】刘邦危难,成功通关三次【刘邦危难】副本。,2,0,52020,21,3,4004,5,-1,-1,-1,-1,0,52019,0,10024
52021,【支】魂灭乌江,成功通关三次【魂灭乌江】副本。,2,0,52021,21,3,4006,5,-1,-1,-1,-1,0,52020,0,10024
52022,【支】夷陵之战,成功通关三次【夷陵之战】副本。,2,0,52022,21,3,4008,5,-1,-1,-1,-1,0,52021,0,10024
54000,激活码奖励测试,测试激活码领取奖励的体验流程。,2,0,54000,0,1,-1,-1,-1,-1,-1,-1,0,-1,99,10024
#每日任务,,,,,,,,,,,,,,,,,
100000,【日】积极闯关,通关10次普通副本。,0,0;1;2;3;4;5;6,100000,0,10,-1,-1,-1,-1,-1,-1,0,-1,8,10001
100001,【日】不惧挑战,通关5次精英副本。,0,0;1;2;3;4;5;6,100001,1,5,-1,-1,-1,-1,-1,-1,0,-1,8,10002
100002,【日】强化装备,进行3次装备强化的操作。,0,0;1;2;3;4;5;6,100002,3,3,-1,-1,-1,-1,-1,-1,0,-1,8,10003
100003,【日】武将提升,提升任意武将等级一次。,0,0;1;2;3;4;5;6,100003,5,1,-1,-1,-1,-1,-1,-1,0,-1,8,10004
100004,【日】闻名遐迩,在世界发言达到5次。,0,0;1;2;3;4;5;6,100004,7,5,-1,-1,-1,-1,-1,-1,0,-1,8,10005
100005,【日】富甲天下,使用一次摇钱树。,0,0;1;2;3;4;5;6,100005,15,1,-1,-1,-1,-1,-1,-1,0,-1,8,10006
100006,【日】黑洞探索,探索五次黑洞。(包括普通和高级）,0,0;1;2;3;4;5;6,100006,19,5,-1,-1,-1,-1,-1,-1,0,-1,8,10009
100007,【日】与人切磋,参与三次竞技场。,0,0;1;2;3;4;5;6,100007,9,3,-1,-1,-1,-1,-1,-1,0,-1,8,10017
100008,【日】寻宝之旅,参加每日冒险关卡三次。,0,0;1;2;3;4;5;6,100008,20,3,-1,-1,-1,-1,-1,-1,0,-1,8,10022
