"强化规则ID
===
Id
===
int-cs","强化层级
===
Level
===
int-cs","经验基数
===
ExpLevelBase
===
int-cs","经验成长
===
ExpLevelInc
===
int-cs","装备升级配置0.材料Id
===
EquipUpConfig0.Id
===
int-cs","装备升级配置0.材料数量
===
EquipUpConfig0.MaterialCount
===
int-cs","装备升级配置1.材料Id
===
EquipUpConfig1.Id
===
int-cs","装备升级配置1.材料数量
===
EquipUpConfig1.MaterialCount
===
int-cs","装备升级配置2.材料Id
===
EquipUpConfig2.Id
===
int-cs","装备升级配置2.材料数量
===
EquipUpConfig2.MaterialCount
===
int-cs","装备升级配置3.材料Id
===
EquipUpConfig3.Id
===
int-cs","装备升级配置3.材料数量
===
EquipUpConfig3.MaterialCount
===
int-cs","装备升级配置4.材料Id
===
EquipUpConfig4.Id
===
int-cs","装备升级配置4.材料数量
===
EquipUpConfig4.MaterialCount
===
int-cs","保底等级
===
SecurityLevel
===
int-cs","强化成功率
===
SuccessRate
===
int-cs","回退经验
===
BackExp
===
int-cs","装备属性配置0.基础
===
EquipAttributeConfig0.Attr
===
float-cs","装备属性配置0.成长
===
EquipAttributeConfig0.AttrInc
===
float-cs","装备属性配置1.基础
===
EquipAttributeConfig1.Attr
===
float-cs","装备属性配置1.成长
===
EquipAttributeConfig1.AttrInc
===
float-cs","装备属性配置2.基础
===
EquipAttributeConfig2.Attr
===
float-cs","装备属性配置2.成长
===
EquipAttributeConfig2.AttrInc
===
float-cs","装备属性配置3.基础
===
EquipAttributeConfig3.Attr
===
float-cs","装备属性配置3.成长
===
EquipAttributeConfig3.AttrInc
===
float-cs","装备属性配置4.基础
===
EquipAttributeConfig4.Attr
===
float-cs","装备属性配置4.成长
===
EquipAttributeConfig4.AttrInc
===
float-cs","装备属性配置5.基础
===
EquipAttributeConfig5.Attr
===
float-cs","装备属性配置5.成长
===
EquipAttributeConfig5.AttrInc
===
float-cs","装备属性配置6.基础
===
EquipAttributeConfig6.Attr
===
float-cs","装备属性配置6.成长
===
EquipAttributeConfig6.AttrInc
===
float-cs","装备属性配置7.基础
===
EquipAttributeConfig7.Attr
===
float-cs","装备属性配置7.成长
===
EquipAttributeConfig7.AttrInc
===
float-cs","装备属性配置8.基础
===
EquipAttributeConfig8.Attr
===
float-cs","装备属性配置8.成长
===
EquipAttributeConfig8.AttrInc
===
float-cs","装备属性配置9.基础
===
EquipAttributeConfig9.Attr
===
float-cs","装备属性配置9.成长
===
EquipAttributeConfig9.AttrInc
===
float-cs","装备属性配置10.基础
===
EquipAttributeConfig10.Attr
===
float-cs","装备属性配置10.成长
===
EquipAttributeConfig10.AttrInc
===
float-cs","装备属性配置11.基础
===
EquipAttributeConfig11.Attr
===
float-cs","装备属性配置11.成长
===
EquipAttributeConfig11.AttrInc
===
float-cs","装备属性配置12.基础
===
EquipAttributeConfig12.Attr
===
float-cs","装备属性配置12.成长
===
EquipAttributeConfig12.AttrInc
===
float-cs","装备属性配置13.基础
===
EquipAttributeConfig13.Attr
===
float-cs","装备属性配置13.成长
===
EquipAttributeConfig13.AttrInc
===
float-cs","装备属性配置14.基础
===
EquipAttributeConfig14.Attr
===
float-cs","装备属性配置14.成长
===
EquipAttributeConfig14.AttrInc
===
float-cs","装备属性配置15.基础
===
EquipAttributeConfig15.Attr
===
float-cs","装备属性配置15.成长
===
EquipAttributeConfig15.AttrInc
===
float-cs","装备属性配置16.基础
===
EquipAttributeConfig16.Attr
===
float-cs","装备属性配置16.成长
===
EquipAttributeConfig16.AttrInc
===
float-cs","装备属性配置17.基础
===
EquipAttributeConfig17.Attr
===
float-cs","装备属性配置17.成长
===
EquipAttributeConfig17.AttrInc
===
float-cs","装备属性配置18.基础
===
EquipAttributeConfig18.Attr
===
float-cs","装备属性配置18.成长
===
EquipAttributeConfig18.AttrInc
===
float-cs","装备属性配置19.基础
===
EquipAttributeConfig19.Attr
===
float-cs","装备属性配置19.成长
===
EquipAttributeConfig19.AttrInc
===
float-cs","装备属性配置20.基础
===
EquipAttributeConfig20.Attr
===
float-cs","装备属性配置20.成长
===
EquipAttributeConfig20.AttrInc
===
float-cs","装备属性配置21.基础
===
EquipAttributeConfig21.Attr
===
float-cs","装备属性配置21.成长
===
EquipAttributeConfig21.AttrInc
===
float-cs","装备属性配置22.基础
===
EquipAttributeConfig22.Attr
===
float-cs","装备属性配置22.成长
===
EquipAttributeConfig22.AttrInc
===
float-cs","装备属性配置23.基础
===
EquipAttributeConfig23.Attr
===
float-cs","装备属性配置23.成长
===
EquipAttributeConfig23.AttrInc
===
float-cs","装备属性配置24.基础
===
EquipAttributeConfig24.Attr
===
float-cs","装备属性配置24.成长
===
EquipAttributeConfig24.AttrInc
===
float-cs","装备属性配置25.基础
===
EquipAttributeConfig25.Attr
===
float-cs","装备属性配置25.成长
===
EquipAttributeConfig25.AttrInc
===
float-cs","装备属性配置26.基础
===
EquipAttributeConfig26.Attr
===
float-cs","装备属性配置26.成长
===
EquipAttributeConfig26.AttrInc
===
float-cs","装备属性配置27.基础
===
EquipAttributeConfig27.Attr
===
float-cs","装备属性配置27.成长
===
EquipAttributeConfig27.AttrInc
===
float-cs","装备属性配置28.基础
===
EquipAttributeConfig28.Attr
===
float-cs","装备属性配置28.成长
===
EquipAttributeConfig28.AttrInc
===
float-cs","装备属性配置29.基础
===
EquipAttributeConfig29.Attr
===
float-cs","装备属性配置29.成长
===
EquipAttributeConfig29.AttrInc
===
float-cs","装备属性配置30.基础
===
EquipAttributeConfig30.Attr
===
float-cs","装备属性配置30.成长
===
EquipAttributeConfig30.AttrInc
===
float-cs","装备属性配置31.基础
===
EquipAttributeConfig31.Attr
===
float-cs","装备属性配置31.成长
===
EquipAttributeConfig31.AttrInc
===
float-cs"
#13,13,739100,13455,0,0,0,0,0,0,0,0,0,0,0,0,0,3484,33,2962,28,120660,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,19,2032,19,1931,18,1931,18,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,435,4,435,4,0,0,0,0,0,0,0,0,0,0
#14,14,879950,14595,0,0,0,0,0,0,0,0,0,0,0,0,0,3820,33,3247,28,132294,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2228,19,2228,19,2117,18,2117,18,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,477,4,477,4,0,0,0,0,0,0,0,0,0,0
#15,15,1032800,15735,0,0,0,0,0,0,0,0,0,0,0,0,0,4156,33,3533,28,143928,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2424,19,2424,19,2303,18,2303,18,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,519,4,519,4,0,0,0,0,0,0,0,0,0,0
#16,16,1197650,16875,0,0,0,0,0,0,0,0,0,0,0,0,0,4492,33,3818,28,155562,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2620,19,2620,19,2489,18,2489,18,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,561,4,561,4,0,0,0,0,0,0,0,0,0,0
#17,17,1374500,18015,0,0,0,0,0,0,0,0,0,0,0,0,0,4828,33,4104,28,167195,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816,19,2816,19,2675,18,2675,18,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,603,4,603,4,0,0,0,0,0,0,0,0,0,0
#18,18,1563350,19155,0,0,0,0,0,0,0,0,0,0,0,0,0,5164,33,4390,28,178829,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012,19,3012,19,2862,18,2862,18,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,645,4,645,4,0,0,0,0,0,0,0,0,0,0
#19,19,1764200,20295,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,33,4675,28,190463,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208,19,3208,19,3048,18,3048,18,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,687,4,687,4,0,0,0,0,0,0,0,0,0,0
#20,20,1977050,21435,0,0,0,0,0,0,0,0,0,0,0,0,0,5836,33,4961,28,202097,1163,0,0,0,21373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3404,19,3404,19,3234,18,3234,18,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,729,4,729,4,0,0,0,0,0,0,0,0,0,0
#武器-斧-0,,0,0,,,,,,,,,,,,,,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
10000,0,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001,1,800,235,0,0,0,0,0,0,0,0,0,0,0,0,0,56,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,2,3350,495,0,0,0,0,0,0,0,0,0,0,0,0,0,147,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,3,8600,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,272,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,4,20450,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,463,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,5,44300,4335,0,0,0,0,0,0,0,0,0,0,0,0,0,732,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,6,89150,5475,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,7,146000,6615,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,8,214850,7755,0,0,0,0,0,0,0,0,0,0,0,0,0,1659,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,9,295700,8895,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,10,388550,10035,0,0,0,0,0,0,0,0,0,0,0,0,0,2277,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011,11,493400,11175,0,0,0,0,0,0,0,0,0,0,0,0,0,2586,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012,12,610250,12315,0,0,0,0,0,0,0,0,0,0,0,0,0,2896,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013,13,739100,13455,0,0,0,0,0,0,0,0,0,0,0,0,0,3204,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10014,14,879950,14595,0,0,0,0,0,0,0,0,0,0,0,0,0,3514,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015,15,1032800,15735,0,0,0,0,0,0,0,0,0,0,0,0,0,3823,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10016,16,1197650,16875,0,0,0,0,0,0,0,0,0,0,0,0,0,4132,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2096,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017,17,1374500,18015,0,0,0,0,0,0,0,0,0,0,0,0,0,4441,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10018,18,1563350,19155,0,0,0,0,0,0,0,0,0,0,0,0,0,4750,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2409,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10019,19,1764200,20295,0,0,0,0,0,0,0,0,0,0,0,0,0,5060,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10020,20,1977050,21435,0,0,0,0,0,0,0,0,0,0,0,0,0,5368,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2723,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#武器-斧-1,,0.3,0.3,,,,,,,,,,,,,,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
11000,0,65,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
