"Id
===
Id
===
int-cs","成就名称
===
achName
===
string-cs","分组ID
===
groupId
===
int-cs","是否是组头
===
groupHead
===
int-cs","下一个成就ID
===
nextAchId
===
int-cs","事件ID
===
EventId
===
int-s","成就脚本ID
===
ScriptId
===
int-s","基本过滤
===
BaseFilter
===
string-s","过滤器0.参数
===
AchFilter0.param
===
string-s","过滤器0.表达式
===
AchFilter0.expression
===
string-s","过滤器1.参数
===
AchFilter1.param
===
string-s","过滤器1.表达式
===
AchFilter1.expression
===
string-s","过滤器2.参数
===
AchFilter2.param
===
string-s","过滤器2.表达式
===
AchFilter2.expression
===
string-s","过滤器3.参数
===
AchFilter3.param
===
string-s","过滤器3.表达式
===
AchFilter3.expression
===
string-s","结果参数
===
resultParam
===
string-s","结果表达式
===
resultExpression
===
string-s","完成成就所需数值
===
reachNum
===
int-s","完成成就所需数值(客户端显示)
===
displayReachNum
===
int-cs","成就类型
===
achType
===
int-cs","成就奖励0.Id
===
RewardItem0.Id
===
int-cs","成就奖励0.数量
===
RewardItem0.num
===
int-cs","成就奖励1.Id
===
RewardItem1.Id
===
int-cs","成就奖励1.数量
===
RewardItem1.num
===
int-cs","成就奖励2.Id
===
RewardItem2.Id
===
int-cs","成就奖励2.数量
===
RewardItem2.num
===
int-cs","成就奖励3.Id
===
RewardItem3.Id
===
int-cs","成就奖励3.数量
===
RewardItem3.num
===
int-cs","成就描述
===
describe
===
string-cs","成就图标
===
achIcon
===
string-c","特效是否延迟
===
delayEffect
===
int-c","奖励品质
===
prizeQuality
===
int-c"
10101,装备强化,2,0,10102,30,100005,,,,,,,,,,,,6,1,0,1,5700,31000,50,-1,-1,-1,-1,主角全身装备强化等级达到6级,10003,1,0
10102,装备强化,2,0,10103,30,100005,,,,,,,,,,,,10,1,0,1,9600,31000,100,-1,-1,-1,-1,主角全身装备强化等级达到10级,10003,1,0
10103,装备强化,2,0,10104,30,100005,,,,,,,,,,,,15,1,0,1,14400,31001,50,-1,-1,-1,-1,主角全身装备强化等级达到15级,10003,1,0
10104,装备强化,2,0,10105,30,100005,,,,,,,,,,,,20,1,0,1,19200,31001,100,-1,-1,-1,-1,主角全身装备强化等级达到20级,10003,1,0
10105,装备强化,2,0,10106,30,100005,,,,,,,,,,,,25,1,0,1,24000,31001,150,-1,-1,-1,-1,主角全身装备强化等级达到25级,10003,1,0
10106,装备强化,2,0,10107,30,100005,,,,,,,,,,,,30,1,0,1,28900,31002,50,-1,-1,-1,-1,主角全身装备强化等级达到30级,10003,1,0
10107,装备强化,2,0,10108,30,100005,,,,,,,,,,,,35,1,0,1,33700,31002,100,-1,-1,-1,-1,主角全身装备强化等级达到35级,10003,1,0
10108,装备强化,2,0,10109,30,100005,,,,,,,,,,,,40,1,0,1,38500,31002,150,-1,-1,-1,-1,主角全身装备强化等级达到40级,10003,1,0
10109,装备强化,2,0,10110,30,100005,,,,,,,,,,,,45,1,0,1,43300,31002,200,-1,-1,-1,-1,主角全身装备强化等级达到45级,10003,1,0
10110,装备强化,2,0,10111,30,100005,,,,,,,,,,,,50,1,0,1,48100,31002,300,-1,-1,-1,-1,主角全身装备强化等级达到50级,10003,1,0
10111,装备强化,2,0,10112,30,100005,,,,,,,,,,,,55,1,0,1,53000,31002,400,-1,-1,-1,-1,主角全身装备强化等级达到55级,10003,1,0
10112,装备强化,2,0,-1,30,100005,,,,,,,,,,,,60,1,0,1,57800,31002,500,-1,-1,-1,-1,主角全身装备强化等级达到60级,10003,1,0
10200,宝石镶嵌,3,1,10201,13,100006,,,,,,,,,,,,5,5,0,1,2800,20000,2,20050,2,-1,-1,全身装备拥有一颗1级宝石,10015,1,0
10201,宝石镶嵌,3,0,10202,13,100006,,,,,,,,,,,,10,10,0,1,5700,20100,2,20150,2,-1,-1,全身装备拥有一颗2级宝石,10015,1,0
10202,宝石镶嵌,3,0,10203,13,100006,,,,,,,,,,,,15,15,0,1,9600,20200,2,20250,2,-1,-1,全身装备拥有一颗3级宝石,10015,1,0
10203,宝石镶嵌,3,0,10204,13,100007,,,,,,,,,,,,5,5,0,1,14400,20300,2,-1,-1,-1,-1,全身装备拥有一颗4级宝石,10015,1,0
10204,宝石镶嵌,3,0,10205,13,100007,,,,,,,,,,,,10,10,0,1,19200,20001,2,20051,2,-1,-1,全身装备拥有一颗5级宝石,10015,1,0
10205,宝石镶嵌,3,0,10206,13,100007,,,,,,,,,,,,15,15,0,1,24000,20101,2,20151,2,-1,-1,全身装备拥有一颗6级宝石,10015,1,0
10206,宝石镶嵌,3,0,10207,13,100008,,,,,,,,,,,,5,5,0,1,28900,20201,2,20251,2,-1,-1,全身装备拥有一颗7级宝石,10015,1,0
10207,宝石镶嵌,3,0,10208,13,100008,,,,,,,,,,,,10,10,0,1,33700,20301,2,-1,-1,-1,-1,全身装备拥有一颗8级宝石,10015,1,0
10208,宝石镶嵌,3,0,10209,13,100008,,,,,,,,,,,,15,15,0,1,38500,20002,2,20052,2,-1,-1,全身装备拥有一颗9级宝石,10015,1,0
10209,宝石镶嵌,3,0,10210,13,100009,,,,,,,,,,,,5,5,0,1,43300,20102,2,20152,2,-1,-1,全身装备拥有一颗10级宝石,10015,1,0
10210,宝石镶嵌,3,0,10211,13,100009,,,,,,,,,,,,10,10,0,1,48100,20202,2,20252,2,-1,-1,全身装备拥有一颗11级宝石,10015,1,0
10211,宝石镶嵌,3,0,10212,13,100009,,,,,,,,,,,,15,15,0,1,53000,20302,2,-1,-1,-1,-1,全身装备拥有一颗12级宝石,10015,1,0
10212,宝石镶嵌,3,0,-1,13,100010,,,,,,,,,,,,5,5,0,1,57800,20003,2,20053,2,-1,-1,全身装备拥有一颗13级宝石,10015,1,0
10300,装备品质,4,1,10301,30,100011,,,,,,,,,,,,3,1,0,1,2800,30000,10,30005,10,30010,10,全身拥有绿色品质装备3件,10021,1,0
10301,装备品质,4,0,10302,30,100011,,,,,,,,,,,,4,1,0,1,5700,30015,10,30020,10,30025,10,全身拥有绿色品质装备4件,10021,1,0
10302,装备品质,4,0,10303,30,100011,,,,,,,,,,,,5,1,0,1,9600,30030,10,30035,10,-1,-1,全身拥有绿色品质装备5件,10021,1,0
10303,装备品质,4,0,10304,30,100012,,,,,,,,,,,,3,1,0,1,14400,30001,10,30006,10,30011,10,全身拥有蓝色品质装备3件,10021,1,0
10304,装备品质,4,0,10305,30,100012,,,,,,,,,,,,4,1,0,1,19200,30016,10,30021,10,30026,10,全身拥有蓝色品质装备4件,10021,1,0
10305,装备品质,4,0,10306,30,100012,,,,,,,,,,,,5,1,0,1,24000,30031,10,30036,10,-1,-1,全身拥有蓝色品质装备5件,10021,1,0
10306,装备品质,4,0,10307,30,100013,,,,,,,,,,,,3,1,0,1,28900,30002,10,30007,10,30012,10,全身拥有紫色品质装备3件,10021,1,0
10307,装备品质,4,0,10308,30,100013,,,,,,,,,,,,4,1,0,1,33700,30017,10,30022,10,30027,10,全身拥有紫色品质装备4件,10021,1,0
10308,装备品质,4,0,10309,30,100013,,,,,,,,,,,,5,1,0,1,38500,30032,10,30037,10,-1,-1,全身拥有紫色品质装备5件,10021,1,0
10309,装备品质,4,0,10310,30,100014,,,,,,,,,,,,3,1,0,1,43300,30003,10,30008,10,30013,10,全身拥有橙色品质装备3件,10021,1,0
10310,装备品质,4,0,10311,30,100014,,,,,,,,,,,,4,1,0,1,48100,30018,10,30023,10,30028,10,全身拥有橙色品质装备4件,10021,1,0
10311,装备品质,4,0,10312,30,100014,,,,,,,,,,,,5,1,0,1,53000,30033,10,30038,10,-1,-1,全身拥有橙色品质装备5件,10021,1,0
10400,战斗力,5,1,-1,29,100004,,,,,,,,,,,,4454,1,0,1,7600,211000,1,311000,1,-1,-1,角色总体战斗力达到4454,10012,1,0
10401,战斗力,5,0,10402,29,100004,,,,,,,,,,,,6656,1,0,1,11400,411000,1,511000,1,-1,-1,角色总体战斗力达到6656,10012,1,0
10402,战斗力,5,0,10403,29,100004,,,,,,,,,,,,9476,1,0,1,16300,221000,1,321000,1,-1,-1,角色总体战斗力达到9476,10012,1,0
10403,战斗力,5,0,10404,29,100004,,,,,,,,,,,,12689,1,0,1,21800,421000,1,521000,1,-1,-1,角色总体战斗力达到12689,10012,1,0
10404,战斗力,5,0,10405,29,100004,,,,,,,,,,,,16710,1,0,1,28800,232000,1,332000,1,-1,-1,角色总体战斗力达到16710,10012,1,0
10405,战斗力,5,0,10406,29,100004,,,,,,,,,,,,21191,1,0,1,36500,432000,1,532000,1,-1,-1,角色总体战斗力达到21191,10012,1,0
10406,战斗力,5,0,10407,29,100004,,,,,,,,,,,,26745,1,0,1,46100,242000,1,342000,1,-1,-1,角色总体战斗力达到26745,10012,1,0
10407,战斗力,5,0,10408,29,100004,,,,,,,,,,,,32896,1,0,1,56700,442000,1,542000,1,-1,-1,角色总体战斗力达到32896,10012,1,0
10408,战斗力,5,0,10409,29,100004,,,,,,,,,,,,40492,1,0,1,69800,242000,1,342000,1,-1,-1,角色总体战斗力达到40492,10012,1,0
10409,战斗力,5,0,-1,29,100004,,,,,,,,,,,,48894,1,0,1,84300,442000,1,542000,1,-1,-1,角色总体战斗力达到48894,10012,1,0
20000,普通关卡,101,1,20001,2,-1,,,,,,,,,,achNormalDungeonWin,,50,50,1,1,1000,51000,50,-1,-1,-1,-1,当玩家通关50个普通关卡,10001,1,0
20001,普通关卡,101,0,20002,2,-1,,,,,,,,,,achNormalDungeonWin,,100,100,1,1,2000,51000,60,-1,-1,-1,-1,当玩家通关100个普通关卡,10001,1,0
20002,普通关卡,101,0,20003,2,-1,,,,,,,,,,achNormalDungeonWin,,250,250,1,1,5100,51000,70,-1,-1,-1,-1,当玩家通关250个普通关卡,10001,1,0
20003,普通关卡,101,0,20004,2,-1,,,,,,,,,,achNormalDungeonWin,,500,500,1,1,10300,51000,80,-1,-1,-1,-1,当玩家通关500个普通关卡,10001,1,0
20004,普通关卡,101,0,20005,2,-1,,,,,,,,,,achNormalDungeonWin,,750,750,1,1,15400,51000,90,-1,-1,-1,-1,当玩家通关750个普通关卡,10001,1,0
20005,普通关卡,101,0,20006,2,-1,,,,,,,,,,achNormalDungeonWin,,1500,1500,1,1,30900,51000,100,-1,-1,-1,-1,当玩家通关1500个普通关卡,10001,1,0
20006,普通关卡,101,0,20007,2,-1,,,,,,,,,,achNormalDungeonWin,,2250,2250,1,1,46400,51000,110,-1,-1,-1,-1,当玩家通关2250个普通关卡,10001,1,0
20007,普通关卡,101,0,20008,2,-1,,,,,,,,,,achNormalDungeonWin,,3000,3000,1,1,61900,51000,120,-1,-1,-1,-1,当玩家通关3000个普通关卡,10001,1,0
20008,普通关卡,101,0,20009,2,-1,,,,,,,,,,achNormalDungeonWin,,4000,4000,1,1,82500,51000,130,-1,-1,-1,-1,当玩家通关4000个普通关卡,10001,1,0
20009,普通关卡,101,0,-1,2,-1,,,,,,,,,,achNormalDungeonWin,,6000,6000,1,1,123800,51000,150,-1,-1,-1,-1,当玩家通关6000个普通关卡,10001,1,0
20100,精英关卡,103,1,20101,2,-1,,,,,,,,,,achjingyingDungeonWin,,50,50,1,1,2000,31000,100,-1,-1,-1,-1,当玩家通关50个精英关卡,10002,1,0
20101,精英关卡,103,0,20102,2,-1,,,,,,,,,,achjingyingDungeonWin,,100,100,1,1,4000,31000,110,-1,-1,-1,-1,当玩家通关100个精英关卡,10002,1,0
20102,精英关卡,103,0,20103,2,-1,,,,,,,,,,achjingyingDungeonWin,,250,250,1,1,10200,31000,120,-1,-1,-1,-1,当玩家通关250个精英关卡,10002,1,0
20103,精英关卡,103,0,20104,2,-1,,,,,,,,,,achjingyingDungeonWin,,500,500,1,1,20600,31000,130,-1,-1,-1,-1,当玩家通关500个精英关卡,10002,1,0
20104,精英关卡,103,0,20105,2,-1,,,,,,,,,,achjingyingDungeonWin,,750,750,1,1,30800,31000,140,-1,-1,-1,-1,当玩家通关750个精英关卡,10002,1,0
20105,精英关卡,103,0,20106,2,-1,,,,,,,,,,achjingyingDungeonWin,,1500,1500,1,1,61800,31000,150,-1,-1,-1,-1,当玩家通关1500个精英关卡,10002,1,0
20106,精英关卡,103,0,20107,2,-1,,,,,,,,,,achjingyingDungeonWin,,2250,2250,1,1,92800,31000,160,-1,-1,-1,-1,当玩家通关2250个精英关卡,10002,1,0
20107,精英关卡,103,0,20108,2,-1,,,,,,,,,,achjingyingDungeonWin,,3000,3000,1,1,123800,31000,170,-1,-1,-1,-1,当玩家通关3000个精英关卡,10002,1,0
20108,精英关卡,103,0,20109,2,-1,,,,,,,,,,achjingyingDungeonWin,,4000,4000,1,1,165000,31000,180,-1,-1,-1,-1,当玩家通关4000个精英关卡,10002,1,0
20109,精英关卡,103,0,-1,2,-1,,,,,,,,,,achjingyingDungeonWin,,6000,6000,1,1,247600,31000,200,-1,-1,-1,-1,当玩家通关6000个精英关卡,10002,1,0
20200,通关星级,102,1,20201,2,-1,,,,,,,,,,achDungeonStar,,30,30,1,1,5500,90001,5,-1,-1,-1,-1,通关所有的关卡获得30个星星,10011,1,0
20201,通关星级,102,0,20202,2,-1,,,,,,,,,,achDungeonStar,,60,60,1,1,11000,90002,8,-1,-1,-1,-1,通关所有的关卡获得60个星星,10011,1,0
20202,通关星级,102,0,20203,2,-1,,,,,,,,,,achDungeonStar,,90,90,1,1,16500,90003,10,-1,-1,-1,-1,通关所有的关卡获得90个星星,10011,1,0
20203,通关星级,102,0,20204,2,-1,,,,,,,,,,achDungeonStar,,120,120,1,1,22000,90004,12,-1,-1,-1,-1,通关所有的关卡获得120个星星,10011,1,0
20204,通关星级,102,0,-1,2,-1,,,,,,,,,,achDungeonStar,,170,170,1,1,31100,90200,20,-1,-1,-1,-1,通关所有的关卡获得170个星星,10011,1,0
##20205,通关星级,102,0,20206,2,-1,,,,,,,,,,achDungeonStar,,240,240,1,1,44000,-1,-1,-1,-1,-1,-1,通关所有的关卡获得240个星星,10011,1,0
##20206,通关星级,102,0,20207,2,-1,,,,,,,,,,achDungeonStar,,280,280,1,1,51300,-1,-1,-1,-1,-1,-1,通关所有的关卡获得280个星星,10011,1,0
##20207,通关星级,102,0,20208,2,-1,,,,,,,,,,achDungeonStar,,320,320,1,1,58700,-1,-1,-1,-1,-1,-1,通关所有的关卡获得320个星星,10011,1,0
##20208,通关星级,102,0,20209,2,-1,,,,,,,,,,achDungeonStar,,360,360,1,1,66000,-1,-1,-1,-1,-1,-1,通关所有的关卡获得360个星星,10011,1,0
##20209,通关星级,102,0,-1,2,-1,,,,,,,,,,achDungeonStar,,400,400,1,1,73300,-1,-1,-1,-1,-1,-1,通关所有的关卡获得400个星星,10011,1,0
##20300,无伤战斗,104,1,20301,2,-1,,,,,,,,,,achUnhurtStageWin,,10,10,1,1,6900,-1,-1,-1,-1,-1,-1,当玩家无伤通关10个关卡,10012,1,0
##20301,无伤战斗,104,0,20302,2,-1,,,,,,,,,,achUnhurtStageWin,,20,20,1,1,13800,-1,-1,-1,-1,-1,-1,当玩家无伤通关20个关卡,10012,1,0
##20302,无伤战斗,104,0,20303,2,-1,,,,,,,,,,achUnhurtStageWin,,30,30,1,1,20700,-1,-1,-1,-1,-1,-1,当玩家无伤通关30个关卡,10012,1,0
##20303,无伤战斗,104,0,20304,2,-1,,,,,,,,,,achUnhurtStageWin,,40,40,1,1,27600,-1,-1,-1,-1,-1,-1,当玩家无伤通关40个关卡,10012,1,0
##20304,无伤战斗,104,0,20305,2,-1,,,,,,,,,,achUnhurtStageWin,,50,50,1,1,34500,-1,-1,-1,-1,-1,-1,当玩家无伤通关50个关卡,10012,1,0
##20305,无伤战斗,104,0,-1,2,-1,,,,,,,,,,achUnhurtStageWin,,60,60,1,1,41400,-1,-1,-1,-1,-1,-1,当玩家无伤通关60个关卡,10012,1,0
##20306,无伤战斗,104,0,20307,2,-1,,,,,,,,,,achUnhurtStageWin,,70,70,1,1,48300,-1,-1,-1,-1,-1,-1,当玩家无伤通关70个关卡,10012,1,0
##20307,无伤战斗,104,0,20308,2,-1,,,,,,,,,,achUnhurtStageWin,,80,80,1,1,55200,-1,-1,-1,-1,-1,-1,当玩家无伤通关80个关卡,10012,1,0
##20308,无伤战斗,104,0,20309,2,-1,,,,,,,,,,achUnhurtStageWin,,90,90,1,1,62100,-1,-1,-1,-1,-1,-1,当玩家无伤通关90个关卡,10012,1,0
##20309,无伤战斗,104,0,-1,2,-1,,,,,,,,,,achUnhurtStageWin,,100,100,1,1,69000,-1,-1,-1,-1,-1,-1,当玩家无伤通关100个关卡,10012,1,0
##20400,【尊王攘夷】,105,1,20401,2,100002,,,,,,,,,,,,2001,1,1,1,6900,-1,-1,-1,-1,-1,-1,成功通关【尊王攘夷】关卡,20008,1,0
##20401,【退避三舍】,105,0,20402,2,100002,,,,,,,,,,,,2006,1,1,1,13800,-1,-1,-1,-1,-1,-1,成功通关【退避三舍】关卡,20013,1,0
##20402,【亲政加冕】,105,0,20403,2,100002,,,,,,,,,,,,3001,1,1,1,20700,-1,-1,-1,-1,-1,-1,成功通关【亲政加冕】关卡,20014,1,0
##20403,【各个击破】,105,0,20404,2,100002,,,,,,,,,,,,3006,1,1,1,27600,-1,-1,-1,-1,-1,-1,成功通关【各个击破】关卡,20019,1,0
##20404,【王陵深处】,105,0,20405,2,100002,,,,,,,,,,,,4001,1,1,1,34500,-1,-1,-1,-1,-1,-1,成功通关【王陵深处】关卡,20022,1,0
##20405,【魂灭乌江】,105,0,-1,2,100002,,,,,,,,,,,,4006,1,1,1,41400,-1,-1,-1,-1,-1,-1,成功通关【魂灭乌江】关卡,20027,1,0
##20406,【退避三舍】,105,0,20407,2,100002,,,,,,,,,,,,2006,1,1,1,48300,-1,-1,-1,-1,-1,-1,成功通关【退避三舍】关卡,20013,1,0
##20407,【天下合纵】,105,0,20408,2,100002,,,,,,,,,,,,3004,1,1,1,55200,-1,-1,-1,-1,-1,-1,成功通关【天下合纵】关卡,20017,1,0
##20408,【初现锋芒】,105,0,20409,2,100002,,,,,,,,,,,,3008,1,1,1,62100,-1,-1,-1,-1,-1,-1,成功通关【初现锋芒】关卡,20021,1,0
##20409,【刘邦危难】,105,0,-1,2,100002,,,,,,,,,,,,4004,1,1,1,69000,-1,-1,-1,-1,-1,-1,成功通关【刘邦危难】关卡,20025,1,0
##20500,【尊王攘夷-精英】,108,1,20501,2,100002,,,,,,,,,,,,102001,1,1,1,6900,-1,-1,-1,-1,-1,-1,成功通关【尊王攘夷-精英】关卡,25006,1,0
##20501,【退避三舍-精英】,108,0,20502,2,100002,,,,,,,,,,,,102006,1,1,1,13800,-1,-1,-1,-1,-1,-1,成功通关【退避三舍-精英】关卡,25011,1,0
##20502,【亲政加冕-精英】,108,0,20503,2,100002,,,,,,,,,,,,103001,1,1,1,20700,-1,-1,-1,-1,-1,-1,成功通关【亲政加冕-精英】关卡,25012,1,0
##20503,【各个击破-精英】,108,0,20504,2,100002,,,,,,,,,,,,103006,1,1,1,27600,-1,-1,-1,-1,-1,-1,成功通关【各个击破-精英】关卡,25017,1,0
##20504,【王陵深处-精英】,108,0,20505,2,100002,,,,,,,,,,,,104001,1,1,1,34500,-1,-1,-1,-1,-1,-1,成功通关【王陵深处-精英】关卡,25020,1,0
##20505,【魂灭乌江-精英】,108,0,-1,2,100002,,,,,,,,,,,,104006,1,1,1,41400,-1,-1,-1,-1,-1,-1,成功通关【魂灭乌江-精英】关卡,25025,1,0
##20506,【退避三舍-精英】,108,0,20507,2,100002,,,,,,,,,,,,102006,1,1,1,48300,-1,-1,-1,-1,-1,-1,成功通关【退避三舍-精英】关卡,25011,1,0
##20507,【天下合纵-精英】,108,0,20508,2,100002,,,,,,,,,,,,103004,1,1,1,55200,-1,-1,-1,-1,-1,-1,成功通关【天下合纵-精英】关卡,25015,1,0
##20508,【初现锋芒-精英】,108,0,20509,2,100002,,,,,,,,,,,,103008,1,1,1,62100,-1,-1,-1,-1,-1,-1,成功通关【初现锋芒-精英】关卡,25019,1,0
##20509,【刘邦危难-精英】,108,0,-1,2,100002,,,,,,,,,,,,104004,1,1,1,69000,-1,-1,-1,-1,-1,-1,成功通关【刘邦危难-精英】关卡,25023,1,0
##20600,通关评价SSS,106,1,20601,2,-1,,,,,,,,,,achStageWinWithSSS,,5,5,1,1,6900,-1,-1,-1,-1,-1,-1,当玩家成功通关5个关卡，获得SSS评价,10010,1,0
##20600,通关评价SSS,106,0,20602,2,-1,,,,,,,,,,achStageWinWithSSS,,10,10,1,1,13800,-1,-1,-1,-1,-1,-1,当玩家成功通关10个关卡，获得SSS评价,10010,1,0
##20600,通关评价SSS,106,0,20603,2,-1,,,,,,,,,,achStageWinWithSSS,,15,15,1,1,20700,-1,-1,-1,-1,-1,-1,当玩家成功通关15个关卡，获得SSS评价,10010,1,0
##20600,通关评价SSS,106,0,20604,2,-1,,,,,,,,,,achStageWinWithSSS,,20,20,1,1,27600,-1,-1,-1,-1,-1,-1,当玩家成功通关20个关卡，获得SSS评价,10010,1,0
##20600,通关评价SSS,106,0,20605,2,-1,,,,,,,,,,achStageWinWithSSS,,25,25,1,1,34500,-1,它,-1,-1,-1,-1,当玩家成功通关25个关卡，获得SSS评价,10010,1,0
##20600,通关评价SSS,106,0,20606,2,-1,,,,,,,,,,achStageWinWithSSS,,30,30,1,1,41400,-1,-1,-1,-1,-1,-1,当玩家成功通关30个关卡，获得SSS评价,10010,1,0
##20600,通关评价SSS,106,0,20607,2,-1,,,,,,,,,,achStageWinWithSSS,,35,35,1,1,48300,-1,-1,-1,-1,-1,-1,当玩家成功通关35个关卡，获得SSS评价,10010,1,0
##20600,通关评价SSS,106,0,20608,2,-1,,,,,,,,,,achStageWinWithSSS,,40,40,1,1,55200,-1,-1,-1,-1,-1,-1,当玩家成功通关40个关卡，获得SSS评价,10010,1,0
##20600,通关评价SSS,106,0,20609,2,-1,,,,,,,,,,achStageWinWithSSS,,45,45,1,1,62100,-1,-1,-1,-1,-1,-1,当玩家成功通关45个关卡，获得SSS评价,10010,1,0
##20600,通关评价SSS,106,0,-1,2,-1,,,,,,,,,,achStageWinWithSSS,,50,50,1,1,69000,-1,-1,-1,-1,-1,-1,当玩家成功通关50个关卡，获得SSS评价,10010,1,0
20700,降服敌军,107,1,20701,2,-1,,,,,,,,,,achKillMonster,,500,500,1,1,1400,51000,100,-1,-1,-1,-1,击杀500个怪物,10007,1,0
20701,降服敌军,107,0,20702,2,-1,,,,,,,,,,achKillMonster,,1000,1000,1,1,2900,51000,110,-1,-1,-1,-1,击杀1000个怪物,10007,1,0
20702,降服敌军,107,0,20703,2,-1,,,,,,,,,,achKillMonster,,2000,2000,1,1,5900,51000,120,-1,-1,-1,-1,击杀2000个怪物,10007,1,0
20703,降服敌军,107,0,20704,2,-1,,,,,,,,,,achKillMonster,,4500,4500,1,1,13400,51000,130,-1,-1,-1,-1,击杀4500个怪物,10007,1,0
20704,降服敌军,107,0,20705,2,-1,,,,,,,,,,achKillMonster,,8000,8000,1,1,23900,51000,140,-1,-1,-1,-1,击杀8000个怪物,10007,1,0
20705,降服敌军,107,0,20706,2,-1,,,,,,,,,,achKillMonster,,12000,12000,1,1,35800,51000,150,-1,-1,-1,-1,击杀12000个怪物,10007,1,0
20706,降服敌军,107,0,20707,2,-1,,,,,,,,,,achKillMonster,,16000,16000,1,1,47800,51000,160,-1,-1,-1,-1,击杀16000个怪物,10007,1,0
20707,降服敌军,107,0,20708,2,-1,,,,,,,,,,achKillMonster,,21000,21000,1,1,62700,51000,170,-1,-1,-1,-1,击杀21000个怪物,10007,1,0
20708,降服敌军,107,0,20709,2,-1,,,,,,,,,,achKillMonster,,27000,27000,1,1,80700,51000,180,-1,-1,-1,-1,击杀27000个怪物,10007,1,0
20709,降服敌军,107,0,-1,2,-1,,,,,,,,,,achKillMonster,,35000,35000,1,1,104600,51000,200,-1,-1,-1,-1,击杀35000个怪物,10007,1,0
