"Id
===
Id
===
int-cs","√˚≥∆
===
Name
===
string-s","π÷ŒÔ≈‰÷√0.π÷ŒÔId
===
MonsterConfig0.Id
===
int-s","π÷ŒÔ≈‰÷√0.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig0.PosOffset
===
int-c","π÷ŒÔ≈‰÷√0.≥ı ºBuffId0
===
MonsterConfig0.BuffId0
===
int-s","π÷ŒÔ≈‰÷√0.≥ı ºBuffId1
===
MonsterConfig0.BuffId1
===
int-s","π÷ŒÔ≈‰÷√0.π÷ŒÔµÙ¬‰0
===
MonsterConfig0.DropExp0
===
string-s","π÷ŒÔ≈‰÷√0.π÷ŒÔµÙ¬‰1
===
MonsterConfig0.DropExp1
===
string-s","π÷ŒÔ≈‰÷√1.π÷ŒÔId
===
MonsterConfig1.Id
===
int-s","π÷ŒÔ≈‰÷√1.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig1.PosOffset
===
int-c","π÷ŒÔ≈‰÷√1.≥ı ºBuffId0
===
MonsterConfig1.BuffId0
===
int-s","π÷ŒÔ≈‰÷√1.≥ı ºBuffId1
===
MonsterConfig1.BuffId1
===
int-s","π÷ŒÔ≈‰÷√1.π÷ŒÔµÙ¬‰0
===
MonsterConfig1.DropExp0
===
string-s","π÷ŒÔ≈‰÷√1.π÷ŒÔµÙ¬‰1
===
MonsterConfig1.DropExp1
===
string-s","π÷ŒÔ≈‰÷√2.π÷ŒÔId
===
MonsterConfig2.Id
===
int-s","π÷ŒÔ≈‰÷√2.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig2.PosOffset
===
int-c","π÷ŒÔ≈‰÷√2.≥ı ºBuffId0
===
MonsterConfig2.BuffId0
===
int-s","π÷ŒÔ≈‰÷√2.≥ı ºBuffId1
===
MonsterConfig2.BuffId1
===
int-s","π÷ŒÔ≈‰÷√2.π÷ŒÔµÙ¬‰0
===
MonsterConfig2.DropExp0
===
string-s","π÷ŒÔ≈‰÷√2.π÷ŒÔµÙ¬‰1
===
MonsterConfig2.DropExp1
===
string-s","π÷ŒÔ≈‰÷√3.π÷ŒÔId
===
MonsterConfig3.Id
===
int-s","π÷ŒÔ≈‰÷√3.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig3.PosOffset
===
int-c","π÷ŒÔ≈‰÷√3.≥ı ºBuffId0
===
MonsterConfig3.BuffId0
===
int-s","π÷ŒÔ≈‰÷√3.≥ı ºBuffId1
===
MonsterConfig3.BuffId1
===
int-s","π÷ŒÔ≈‰÷√3.π÷ŒÔµÙ¬‰0
===
MonsterConfig3.DropExp0
===
string-s","π÷ŒÔ≈‰÷√3.π÷ŒÔµÙ¬‰1
===
MonsterConfig3.DropExp1
===
string-s","π÷ŒÔ≈‰÷√4.π÷ŒÔId
===
MonsterConfig4.Id
===
int-s","π÷ŒÔ≈‰÷√4.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig4.PosOffset
===
int-c","π÷ŒÔ≈‰÷√4.≥ı ºBuffId0
===
MonsterConfig4.BuffId0
===
int-s","π÷ŒÔ≈‰÷√4.≥ı ºBuffId1
===
MonsterConfig4.BuffId1
===
int-s","π÷ŒÔ≈‰÷√4.π÷ŒÔµÙ¬‰0
===
MonsterConfig4.DropExp0
===
string-s","π÷ŒÔ≈‰÷√4.π÷ŒÔµÙ¬‰1
===
MonsterConfig4.DropExp1
===
string-s","π÷ŒÔ≈‰÷√5.π÷ŒÔId
===
MonsterConfig5.Id
===
int-s","π÷ŒÔ≈‰÷√5.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig5.PosOffset
===
int-c","π÷ŒÔ≈‰÷√5.≥ı ºBuffId0
===
MonsterConfig5.BuffId0
===
int-s","π÷ŒÔ≈‰÷√5.≥ı ºBuffId1
===
MonsterConfig5.BuffId1
===
int-s","π÷ŒÔ≈‰÷√5.π÷ŒÔµÙ¬‰0
===
MonsterConfig5.DropExp0
===
string-s","π÷ŒÔ≈‰÷√5.π÷ŒÔµÙ¬‰1
===
MonsterConfig5.DropExp1
===
string-s","π≤œÌµÙ¬‰0
===
DropExp0
===
string-s","π≤œÌµÙ¬‰1
===
DropExp1
===
string-s","π≤œÌbuff0
===
SharedBuffId0
===
int-s","π≤œÌbuff1
===
SharedBuffId1
===
int-s","’Ω∂∑µÙ¬‰0
===
BattleDropExp0
===
string-s","’Ω∂∑µÙ¬‰1
===
BattleDropExp1
===
string-s"
1041,D1-S4-1,-1,1,-1,-1,,,10112,1,-1,-1,G1:50:72:108,,-1,1,-1,-1,,,10116,1,-1,-1,G1:50:72:108,,10116,1,-1,-1,G1:50:72:108,,10116,1,-1,-1,G1:50:72:108,,,,-1,-1,,
1042,D1-S4-2,10112,1,-1,-1,G1:50:72:108,,10115,1,-1,-1,G1:50:72:108,,10112,1,-1,-1,G1:50:72:108,,10116,1,-1,-1,G1:50:72:108,,-1,1,-1,-1,,,10116,1,-1,-1,G1:50:72:108,,,,-1,-1,,
1043,D1-S4-3,10431,1,-1,-1,G1:50:72:108,,-1,1,-1,-1,,,10433,1,-1,-1,G1:50:72:108,,-1,1,-1,-1,,,10439,1,-1,-1,G1:100:384:576,,-1,1,-1,-1,,,,,-1,-1,G10041:1.22;,G8027:8.33;
1051,D1-S05-1,-1,1,-1,-1,,,10515,1,-1,-1,G1:50:86:129,,-1,1,-1,-1,,,10513,1,-1,-1,G1:50:86:129,,10514,1,-1,-1,G1:50:86:129,,10513,1,-1,-1,G1:50:86:129,,,,-1,-1,,
1052,D1-S05-2,10516,1,-1,-1,G1:50:86:129,,-1,1,-1,-1,,,10516,1,-1,-1,G1:50:86:129,,10512,1,-1,-1,G1:50:86:129,,-1,1,-1,-1,,,10512,1,-1,-1,G1:50:86:129,,,,-1,-1,,
1053,D1-S05-3,-1,1,-1,-1,,,10539,1,-1,-1,G1:100:388:583,,-1,1,-1,-1,,,10534,1,-1,-1,G1:50:86:129,,-1,1,-1,-1,,,10536,1,-1,-1,G1:50:86:129,,,,-1,-1,G10051:1.22;,G8027:8.33;
1061,D1-S06-1,10513,1,-1,-1,G1:50:73:110,,10515,1,-1,-1,G1:50:73:110,,10513,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,10516,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,,,-1,-1,,
1062,D1-S06-2,10515,1,-1,-1,G1:50:73:110,,10516,1,-1,-1,G1:50:73:110,,10515,1,-1,-1,G1:50:73:110,,10516,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,10516,1,-1,-1,G1:50:73:110,,,,-1,-1,,
1063,D1-S06-3,10631,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,10633,1,-1,-1,G1:50:73:110,,10639,1,-1,-1,G1:100:194:291,,-1,1,-1,-1,,,10638,1,-1,-1,G1:100:194:291,,,,-1,-1,G10061:1.22;,G8027:8.33;
1071,D1-S07-1,10515,1,-1,-1,G1:50:73:110,,10513,1,-1,-1,G1:50:73:110,,10515,1,-1,-1,G1:50:73:110,,10516,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,10516,1,-1,-1,G1:50:73:110,,,,-1,-1,,
1072,D1-S07-2,10512,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,10512,1,-1,-1,G1:50:73:110,,10516,1,-1,-1,G1:50:73:110,,10513,1,-1,-1,G1:50:73:110,,10516,1,-1,-1,G1:50:73:110,,,,-1,-1,,
1073,D1-S07-3,10731,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,10733,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,10739,1,-1,-1,G1:100:388:583,,-1,1,-1,-1,,,,,-1,-1,G10071:1.22;,G8027:8.33;
1081,D1-S08-1,10512,1,-1,-1,G1:50:64:96,,-1,1,-1,-1,,,10515,1,-1,-1,G1:50:64:96,,10516,1,-1,-1,G1:50:64:96,,-1,1,-1,-1,,,10513,1,-1,-1,G1:50:64:96,,,,-1,-1,,
1082,D1-S08-2,10515,1,-1,-1,G1:50:64:96,,-1,1,-1,-1,,,10515,1,-1,-1,G1:50:64:96,,10512,1,-1,-1,G1:50:64:96,,10512,1,-1,-1,G1:50:64:96,,10512,1,-1,-1,G1:50:64:96,,,,-1,-1,,
1083,D1-S08-3,10831,1,-1,-1,G1:50:64:96,,10839,1,-1,-1,G1:100:388:583,,10833,1,-1,-1,G1:50:64:96,,-1,1,-1,-1,,,10835,1,-1,-1,G1:50:64:96,,-1,1,-1,-1,,,,,-1,-1,G10011:1.22;,G8027:8.33;
2011,D2-S01-1,20112,1,-1,-1,G1:50:86:129,,-1,1,-1,-1,,,20112,1,-1,-1,G1:50:86:129,,20113,1,-1,-1,G1:50:86:129,,-1,1,-1,-1,,,20113,1,-1,-1,G1:50:86:129,,,,-1,-1,,
2012,D2-S01-2,20112,1,-1,-1,G1:50:86:129,,20113,1,-1,-1,G1:50:86:129,,20112,1,-1,-1,G1:50:86:129,,-1,1,-1,-1,,,20112,1,-1,-1,G1:50:86:129,,-1,1,-1,-1,,,,,-1,-1,,
2013,D2-S01-3,20131,1,-1,-1,G1:50:86:129,,-1,1,-1,-1,,,20133,1,-1,-1,G1:50:86:129,,-1,1,-1,-1,,,20139,1,-1,-1,G1:100:393:590,,-1,1,-1,-1,,,,,-1,-1,G10021:1.22;,G8027:8.33;
2021,D2-S02-1,20115,1,-1,-1,G1:50:73:110,,20115,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,20116,1,-1,-1,G1:50:73:110,,20116,1,-1,-1,G1:50:73:110,,20116,1,-1,-1,G1:50:73:110,,,,-1,-1,,
2022,D2-S02-2,-1,1,-1,-1,,,20116,1,-1,-1,G1:50:73:110,,20116,1,-1,-1,G1:50:73:110,,20115,1,-1,-1,G1:50:73:110,,20115,1,-1,-1,G1:50:73:110,,20115,1,-1,-1,G1:50:73:110,,,,-1,-1,,
2023,D2-S02-3,20231,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,20233,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,20239,1,-1,-1,G1:100:393:590,,-1,1,-1,-1,,,,,-1,-1,G10031:1.22;,G8027:8.33;
2031,D2-S03-1,20118,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,20118,1,-1,-1,G1:50:73:110,,20119,1,-1,-1,G1:50:73:110,,20119,1,-1,-1,G1:50:73:110,,20119,1,-1,-1,G1:50:73:110,,,,-1,-1,,
2032,D2-S03-2,20119,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,20119,1,-1,-1,G1:50:73:110,,20118,1,-1,-1,G1:50:73:110,,20119,1,-1,-1,G1:50:73:110,,20118,1,-1,-1,G1:50:73:110,,,,-1,-1,,
2033,D2-S03-3,-1,1,-1,-1,,,20339,1,-1,-1,G1:100:393:590,,-1,1,-1,-1,,,20334,1,-1,-1,G1:50:73:110,,-1,1,-1,-1,,,20336,1,-1,-1,G1:50:73:110,,,,-1,-1,G10041:1.22;,G8027:8.33;
2041,D2-S04-1,20115,1,-1,-1,G1:50:104:156,,-1,1,-1,-1,,,20112,1,-1,-1,G1:50:104:156,,20112,1,-1,-1,G1:50:104:156,,-1,1,-1,-1,,,20115,1,-1,-1,G1:50:104:156,,,,-1,-1,,
2042,D2-S04-2,20113,1,-1,-1,G1:50:104:156,,20113,1,-1,-1,G1:50:104:156,,20113,1,-1,-1,G1:50:104:156,,20116,1,-1,-1,G1:50:104:156,,-1,1,-1,-1,,,20116,1,-1,-1,G1:50:104:156,,,,-1,-1,,
2043,D2-S04-3,-1,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,20439,1,-1,-1,G1:100:196:295,,-1,1,-1,-1,,,20438,1,-1,-1,G1:100:196:295,,,,-1,-1,G10051:1.22;,G8027:8.33;
2051,D2-S05-1,-1,1,-1,-1,,,20518,1,-1,-1,G1:50:65:98,,-1,1,-1,-1,,,20516,1,-1,-1,G1:50:65:98,,20518,1,-1,-1,G1:50:65:98,,20516,1,-1,-1,G1:50:65:98,,,,-1,-1,,
2052,D2-S05-2,20516,1,-1,-1,G1:50:65:98,,-1,1,-1,-1,,,20516,1,-1,-1,G1:50:65:98,,20518,1,-1,-1,G1:50:65:98,,20519,1,-1,-1,G1:50:65:98,,20518,1,-1,-1,G1:50:65:98,,,,-1,-1,,
2053,D2-S05-3,-1,1,-1,-1,,,20532,1,-1,-1,G1:50:65:98,,-1,1,-1,-1,,,20534,1,-1,-1,G1:50:65:98,,20539,1,-1,-1,G1:100:398:597,,20536,1,-1,-1,G1:50:65:98,,,,-1,-1,G10061:1.22;,G8027:8.33;
2061,D2-S06-1,20513,1,-1,-1,G1:50:65:98,,20512,1,-1,-1,G1:50:65:98,,-1,1,-1,-1,,,20512,1,-1,-1,G1:50:65:98,,20513,1,-1,-1,G1:50:65:98,,20512,1,-1,-1,G1:50:65:98,,,,-1,-1,,
2062,D2-S06-2,-1,1,-1,-1,,,20513,1,-1,-1,G1:50:65:98,,20512,1,-1,-1,G1:50:65:98,,20513,1,-1,-1,G1:50:65:98,,20512,1,-1,-1,G1:50:65:98,,20513,1,-1,-1,G1:50:65:98,,,,-1,-1,,
2063,D2-S06-3,-1,1,-1,-1,,,20632,1,-1,-1,G1:50:65:98,,-1,1,-1,-1,,,20634,1,-1,-1,G1:50:65:98,,20639,1,-1,-1,G1:100:398:597,,20636,1,-1,-1,G1:50:65:98,,,,-1,-1,G10071:1.22;,G8027:8.33;
2071,D2-S07-1,20513,1,-1,-1,G1:50:65:98,,20518,1,-1,-1,G1:50:65:98,,20513,1,-1,-1,G1:50:65:98,,20518,1,-1,-1,G1:50:65:98,,-1,1,-1,-1,,,20518,1,-1,-1,G1:50:65:98,,,,-1,-1,,
2072,D2-S07-2,20519,1,-1,-1,G1:50:65:98,,20519,1,-1,-1,G1:50:65:98,,20519,1,-1,-1,G1:50:65:98,,20512,1,-1,-1,G1:50:65:98,,-1,1,-1,-1,,,20512,1,-1,-1,G1:50:65:98,,,,-1,-1,,
2073,D2-S07-3,-1,1,-1,-1,,,20739,1,-1,-1,G1:100:398:597,,-1,1,-1,-1,,,20734,1,-1,-1,G1:50:65:98,,20735,1,-1,-1,G1:50:65:98,,20736,1,-1,-1,G1:50:65:98,,,,-1,-1,G10011:1.22;,G8027:8.33;
2081,D2-S08-1,20518,1,-1,-1,G1:50:52:79,,20519,1,-1,-1,G1:50:52:79,,20519,1,-1,-1,G1:50:52:79,,20519,1,-1,-1,G1:50:52:79,,20519,1,-1,-1,G1:50:52:79,,20518,1,-1,-1,G1:50:52:79,,,,-1,-1,,
2082,D2-S08-2,20518,1,-1,-1,G1:50:52:79,,20518,1,-1,-1,G1:50:52:79,,20519,1,-1,-1,G1:50:52:79,,20519,1,-1,-1,G1:50:52:79,,20518,1,-1,-1,G1:50:52:79,,20518,1,-1,-1,G1:50:52:79,,,,-1,-1,,
2083,D2-S08-3,20831,1,-1,-1,G1:50:52:79,,-1,1,-1,-1,,,20833,1,-1,-1,G1:50:52:79,,20834,1,-1,-1,G1:50:52:79,,20839,1,-1,-1,G1:100:398:597,,20836,1,-1,-1,G1:50:52:79,,,,-1,-1,G10021:1.22;,G8027:8.33;
3011,D3-S01-1,-1,1,-1,-1,,,30112,1,-1,-1,G1:50:67:100,,-1,1,-1,-1,,,30115,1,-1,-1,G1:50:67:100,,30118,1,-1,-1,G1:50:67:100,,30115,1,-1,-1,G1:50:67:100,,,,-1,-1,,
3012,D3-S01-2,30112,1,-1,-1,G1:50:67:100,,30115,1,-1,-1,G1:50:67:100,,30112,1,-1,-1,G1:50:67:100,,30118,1,-1,-1,G1:50:67:100,,-1,1,-1,-1,,,30118,1,-1,-1,G1:50:67:100,,,,-1,-1,,
3013,D3-S01-3,-1,1,-1,-1,,,30139,1,-1,-1,G1:100:403:604,,-1,1,-1,-1,,,30134,1,-1,-1,G1:50:67:100,,30135,1,-1,-1,G1:50:67:100,,30136,1,-1,-1,G1:50:67:100,,,,-1,-1,G10031:1.22;,G8027:8.33;
3021,D3-S02-1,30115,1,-1,-1,G1:50:52:79,,-1,1,-1,-1,,,30115,1,-1,-1,G1:50:52:79,,30118,1,-1,-1,G1:50:52:79,,30115,1,-1,-1,G1:50:52:79,,30118,1,-1,-1,G1:50:52:79,,,,-1,-1,,
3022,D3-S02-2,30112,1,-1,-1,G1:50:52:79,,30118,1,-1,-1,G1:50:52:79,,30118,1,-1,-1,G1:50:52:79,,30115,1,-1,-1,G1:50:52:79,,30115,1,-1,-1,G1:50:52:79,,30112,1,-1,-1,G1:50:52:79,,,,-1,-1,,
3023,D3-S02-3,30231,1,-1,-1,G1:50:52:79,,-1,1,-1,-1,,,30233,1,-1,-1,G1:50:52:79,,30234,1,-1,-1,G1:50:52:79,,30239,1,-1,-1,G1:100:403:604,,30236,1,-1,-1,G1:50:52:79,,,,-1,-1,G10041:1.22;,G8027:8.33;
3031,D3-S03-1,30118,1,-1,-1,G1:50:52:79,,-1,1,-1,-1,,,30118,1,-1,-1,G1:50:52:79,,30116,1,-1,-1,G1:50:52:79,,30115,1,-1,-1,G1:50:52:79,,30116,1,-1,-1,G1:50:52:79,,,,-1,-1,,
3032,D3-S03-2,30116,1,-1,-1,G1:50:52:79,,30115,1,-1,-1,G1:50:52:79,,30116,1,-1,-1,G1:50:52:79,,30119,1,-1,-1,G1:50:52:79,,30118,1,-1,-1,G1:50:52:79,,30119,1,-1,-1,G1:50:52:79,,,,-1,-1,,
3033,D3-S03-3,30331,1,-1,-1,G1:50:52:79,,-1,1,-1,-1,,,30333,1,-1,-1,G1:50:52:79,,30334,1,-1,-1,G1:50:52:79,,30339,1,-1,-1,G1:100:403:604,,30336,1,-1,-1,G1:50:52:79,,,,-1,-1,G10051:1.22;,G8027:8.33;
3041,D3-S04-1,30112,1,-1,-1,G1:50:59:88,,30112,1,-1,-1,G1:50:59:88,,-1,1,-1,-1,,,30118,1,-1,-1,G1:50:59:88,,30118,1,-1,-1,G1:50:59:88,,30118,1,-1,-1,G1:50:59:88,,,,-1,-1,,
3042,D3-S04-2,-1,1,-1,-1,,,30112,1,-1,-1,G1:50:59:88,,30112,1,-1,-1,G1:50:59:88,,30119,1,-1,-1,G1:50:59:88,,30119,1,-1,-1,G1:50:59:88,,30119,1,-1,-1,G1:50:59:88,,,,-1,-1,,
3043,D3-S04-3,30431,1,-1,-1,G1:50:59:88,,30439,1,-1,-1,G1:100:403:604,,30433,1,-1,-1,G1:50:59:88,,30434,1,-1,-1,G1:50:59:88,,-1,1,-1,-1,,,30436,1,-1,-1,G1:50:59:88,,,,-1,-1,G10061:1.22;,G8027:8.33;
3051,D3-S05-1,30519,1,-1,-1,G1:50:67:100,,30519,1,-1,-1,G1:50:67:100,,-1,1,-1,-1,,,30518,1,-1,-1,G1:50:67:100,,30518,1,-1,-1,G1:50:67:100,,30518,1,-1,-1,G1:50:67:100,,,,-1,-1,,
