"Id
===
Id
===
int-cs","名称
===
Name
===
string-cs","显示名称
===
ShowName
===
string-c","分组Id
===
GroupId
===
int-s","Buff类型(正面，负面)
===
BuffType
===
int-s","死亡消失
===
DissolveOnDied
===
int-s","能否给死人用
===
UseOnDead
===
int-s","优先级
===
Priority
===
int-s","互斥Id
===
Exclusive
===
int-s","最大叠加层数
===
MaxStackLevel
===
int-s","伤害类型
===
DamageType
===
int-s","结算点
===
HitPoiont
===
string-s","触发次数
===
HitCount
===
int-s","效果0.生效次数
===
Impact0.Enable
===
int-s","效果0.触发点
===
Impact0.AffectPoint
===
string-s","效果0.目标属性
===
Impact0.Field
===
string-s","效果0.加法公式
===
Impact0.AddExp
===
string-s","效果0.乘法公式
===
Impact0.MulExp
===
string-s","效果0.覆盖公式
===
Impact0.ResetExp
===
string-s","效果1.生效次数
===
Impact1.Enable
===
int-s","效果1.触发点
===
Impact1.AffectPoint
===
string-s","效果1.目标属性
===
Impact1.Field
===
string-s","效果1.加法公式
===
Impact1.AddExp
===
string-s","效果1.乘法公式
===
Impact1.MulExp
===
string-s","效果1.覆盖公式
===
Impact1.ResetExp
===
string-s","效果2.生效次数
===
Impact2.Enable
===
int-s","效果2.触发点
===
Impact2.AffectPoint
===
string-s","效果2.目标属性
===
Impact2.Field
===
string-s","效果2.加法公式
===
Impact2.AddExp
===
string-s","效果2.乘法公式
===
Impact2.MulExp
===
string-s","效果2.覆盖公式
===
Impact2.ResetExp
===
string-s","效果3.生效次数
===
Impact3.Enable
===
int-s","效果3.触发点
===
Impact3.AffectPoint
===
string-s","效果3.目标属性
===
Impact3.Field
===
string-s","效果3.加法公式
===
Impact3.AddExp
===
string-s","效果3.乘法公式
===
Impact3.MulExp
===
string-s","效果3.覆盖公式
===
Impact3.ResetExp
===
string-s","能否修改攻击目标
===
CanModifyTarget
===
string-s","能否使用技能
===
CanUseSkill
===
string-s","能否成为目标
===
CanTarget
===
string-s","能否成为子弹的目标
===
CanHitByBullet
===
string-s","能否被上Buff
===
CanAddBuff
===
string-s","能否被修改属性
===
CanModifyAttr
===
string-s","特效ID
===
EffectID
===
int-c","特效出现方式
===
ShowType
===
int-c","特殊特效
===
SpecEffect
===
int-c","特殊状态
===
AniState
===
int-c","效果0.目标属性
===
ImpactForClient0.Field
===
string-cs","效果0.加法公式
===
ImpactForClient0.AddExp
===
string-cs","效果1.目标属性
===
ImpactForClient1.Field
===
string-cs","效果1.加法公式
===
ImpactForClient1.AddExp
===
string-cs","效果2.目标属性
===
ImpactForClient2.Field
===
string-cs","效果2.加法公式
===
ImpactForClient2.AddExp
===
string-cs","效果3.目标属性
===
ImpactForClient3.Field
===
string-cs","效果3.加法公式
===
ImpactForClient3.AddExp
===
string-cs"
90124,劈山刀124,劈山刀124,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1064.479,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,212.8958,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1064.479,,,MgkAttack,212.8958,,
90125,劈山刀125,劈山刀125,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1096.417,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,219.2834,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1096.417,,,MgkAttack,219.2834,,
90126,劈山刀126,劈山刀126,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1128.355,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,225.671,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1128.355,,,MgkAttack,225.671,,
90127,劈山刀127,劈山刀127,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1160.293,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,232.0586,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1160.293,,,MgkAttack,232.0586,,
90128,劈山刀128,劈山刀128,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1192.231,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,238.4462,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1192.231,,,MgkAttack,238.4462,,
90129,劈山刀129,劈山刀129,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1224.169,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,244.8338,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1224.169,,,MgkAttack,244.8338,,
90130,劈山刀130,劈山刀130,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1269.795,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,253.959,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1269.795,,,MgkAttack,253.959,,
90131,劈山刀131,劈山刀131,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1315.421,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,263.0842,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1315.421,,,MgkAttack,263.0842,,
90132,劈山刀132,劈山刀132,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1361.047,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,272.2094,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1361.047,,,MgkAttack,272.2094,,
90133,劈山刀133,劈山刀133,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1406.673,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,281.3346,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1406.673,,,MgkAttack,281.3346,,
90134,劈山刀134,劈山刀134,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1452.299,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,290.4598,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1452.299,,,MgkAttack,290.4598,,
90135,劈山刀135,劈山刀135,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1497.925,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,299.585,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1497.925,,,MgkAttack,299.585,,
90136,劈山刀136,劈山刀136,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1543.551,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,308.7102,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1543.551,,,MgkAttack,308.7102,,
90137,劈山刀137,劈山刀137,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1589.177,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,317.8354,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1589.177,,,MgkAttack,317.8354,,
90138,劈山刀138,劈山刀138,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1634.803,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,326.9606,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1634.803,,,MgkAttack,326.9606,,
90139,劈山刀139,劈山刀139,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1680.429,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,336.0858,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1680.429,,,MgkAttack,336.0858,,
90140,劈山刀140,劈山刀140,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1739.743,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,347.9486,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1739.743,,,MgkAttack,347.9486,,
90141,劈山刀141,劈山刀141,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1799.057,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,359.8114,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1799.057,,,MgkAttack,359.8114,,
90142,劈山刀142,劈山刀142,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1858.371,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,371.6742,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1858.371,,,MgkAttack,371.6742,,
90143,劈山刀143,劈山刀143,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1917.685,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,383.537,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1917.685,,,MgkAttack,383.537,,
90144,劈山刀144,劈山刀144,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1976.999,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,395.3998,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1976.999,,,MgkAttack,395.3998,,
90145,劈山刀145,劈山刀145,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2036.313,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,407.2626,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2036.313,,,MgkAttack,407.2626,,
90146,劈山刀146,劈山刀146,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2095.627,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,419.1254,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2095.627,,,MgkAttack,419.1254,,
90147,劈山刀147,劈山刀147,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2154.941,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,430.9882,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2154.941,,,MgkAttack,430.9882,,
90148,劈山刀148,劈山刀148,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2214.255,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,442.851,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2214.255,,,MgkAttack,442.851,,
90149,劈山刀149,劈山刀149,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2273.569,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,454.7138,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2273.569,,,MgkAttack,454.7138,,
90150,劈山刀150,劈山刀150,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2339.727,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,467.9454,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2339.727,,,MgkAttack,467.9454,,
90151,劈山刀151,劈山刀151,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2405.885,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,481.177,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2405.885,,,MgkAttack,481.177,,
90152,劈山刀152,劈山刀152,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2472.043,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,494.4086,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2472.043,,,MgkAttack,494.4086,,
90153,劈山刀153,劈山刀153,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2538.201,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,507.6402,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2538.201,,,MgkAttack,507.6402,,
90154,劈山刀154,劈山刀154,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2604.359,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,520.8718,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2604.359,,,MgkAttack,520.8718,,
90155,劈山刀155,劈山刀155,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2670.517,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,534.1034,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2670.517,,,MgkAttack,534.1034,,
90156,劈山刀156,劈山刀156,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2736.675,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,547.335,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2736.675,,,MgkAttack,547.335,,
90157,劈山刀157,劈山刀157,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2802.833,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,560.5666,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2802.833,,,MgkAttack,560.5666,,
90158,劈山刀158,劈山刀158,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2868.991,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,573.7982,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2868.991,,,MgkAttack,573.7982,,
90159,劈山刀159,劈山刀159,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,2935.149,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,587.0298,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,2935.149,,,MgkAttack,587.0298,,
90160,劈山刀160,劈山刀160,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,0,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,0,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,0,,,MgkAttack,0,,
90161,劈山刀161,劈山刀161,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,0,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,0,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,0,,,MgkAttack,0,,
90162,劈山刀162,劈山刀162,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,0,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,0,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,0,,,MgkAttack,0,,
