"Id
===
Id
===
int-cs","√˚≥∆
===
Name
===
string-cs","–Ë“™–«º∂
===
NeedStarLevel
===
int-cs","–«º∂≈‰÷√0.ŒÔ∆∑Id
===
StarConfig0.Id
===
int-cs","–«º∂≈‰÷√0.–Ë“™µ»º∂
===
StarConfig0.NeedLevel
===
int-cs","–«º∂≈‰÷√1.ŒÔ∆∑Id
===
StarConfig1.Id
===
int-cs","–«º∂≈‰÷√1.–Ë“™µ»º∂
===
StarConfig1.NeedLevel
===
int-cs","–«º∂≈‰÷√2.ŒÔ∆∑Id
===
StarConfig2.Id
===
int-cs","–«º∂≈‰÷√2.–Ë“™µ»º∂
===
StarConfig2.NeedLevel
===
int-cs","–«º∂≈‰÷√3.ŒÔ∆∑Id
===
StarConfig3.Id
===
int-cs","–«º∂≈‰÷√3.–Ë“™µ»º∂
===
StarConfig3.NeedLevel
===
int-cs","–«º∂≈‰÷√4.ŒÔ∆∑Id
===
StarConfig4.Id
===
int-cs","–«º∂≈‰÷√4.–Ë“™µ»º∂
===
StarConfig4.NeedLevel
===
int-cs","–«º∂≈‰÷√5.ŒÔ∆∑Id
===
StarConfig5.Id
===
int-cs","–«º∂≈‰÷√5.–Ë“™µ»º∂
===
StarConfig5.NeedLevel
===
int-cs"," Ù–‘≥…≥§0
===
AttrGrowUp0
===
float-cs"," Ù–‘≥…≥§1
===
AttrGrowUp1
===
float-cs"," Ù–‘≥…≥§2
===
AttrGrowUp2
===
float-cs"," Ù–‘≥…≥§3
===
AttrGrowUp3
===
float-cs"," Ù–‘≥…≥§4
===
AttrGrowUp4
===
float-cs"," Ù–‘≥…≥§5
===
AttrGrowUp5
===
float-cs"," Ù–‘≥…≥§6
===
AttrGrowUp6
===
float-cs"," Ù–‘≥…≥§7
===
AttrGrowUp7
===
float-cs"," Ù–‘≥…≥§8
===
AttrGrowUp8
===
float-cs"," Ù–‘≥…≥§9
===
AttrGrowUp9
===
float-cs"," Ù–‘≥…≥§10
===
AttrGrowUp10
===
float-cs"," Ù–‘≥…≥§11
===
AttrGrowUp11
===
float-cs"," Ù–‘≥…≥§12
===
AttrGrowUp12
===
float-cs"," Ù–‘≥…≥§13
===
AttrGrowUp13
===
float-cs"," Ù–‘≥…≥§14
===
AttrGrowUp14
===
float-cs"," Ù–‘≥…≥§15
===
AttrGrowUp15
===
float-cs"," Ù–‘≥…≥§16
===
AttrGrowUp16
===
float-cs"," Ù–‘≥…≥§17
===
AttrGrowUp17
===
float-cs"," Ù–‘≥…≥§18
===
AttrGrowUp18
===
float-cs"," Ù–‘≥…≥§19
===
AttrGrowUp19
===
float-cs"," Ù–‘≥…≥§20
===
AttrGrowUp20
===
float-cs"," Ù–‘≥…≥§21
===
AttrGrowUp21
===
float-cs"," Ù–‘≥…≥§22
===
AttrGrowUp22
===
float-cs"," Ù–‘≥…≥§23
===
AttrGrowUp23
===
float-cs"," Ù–‘≥…≥§24
===
AttrGrowUp24
===
float-cs"," Ù–‘≥…≥§25
===
AttrGrowUp25
===
float-cs"," Ù–‘≥…≥§26
===
AttrGrowUp26
===
float-cs"," Ù–‘≥…≥§27
===
AttrGrowUp27
===
float-cs"," Ù–‘≥…≥§28
===
AttrGrowUp28
===
float-cs"," Ù–‘≥…≥§29
===
AttrGrowUp29
===
float-cs"," Ù–‘≥…≥§30
===
AttrGrowUp30
===
float-cs"," Ù–‘≥…≥§31
===
AttrGrowUp31
===
float-cs"
1010100,0-1–«,0,80019,14,80019,14,80015,14,80019,14,80002,12,80019,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010101,1-2–«,1,80001,8,80015,14,80011,14,80019,14,80004,16,80019,14,0,432,9155,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010102,2-3–«,2,80002,12,80004,16,80004,16,80007,14,80021,23,80023,29,214,216,3662,0,0,0,41,0,0,0,198,0,173,346,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010103,3-4–«,3,80011,14,80001,8,80022,27,80021,23,80035,29,80022,27,689,216,1831,0,0,0,41,0,0,0,0,0,346,419,364,433,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010104,4-5–«,4,80035,29,80039,29,80035,29,80024,31,80031,29,80023,29,689,1509,9678,0,0,0,41,0,0,0,159,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010105,5-6–«,5,80021,23,80023,29,80022,27,80024,31,80043,46,80051,46,0,1006,4839,0,0,0,121,0,0,0,477,0,419,419,433,433,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010106,6-7–«,6,80024,31,80035,29,80044,48,80044,48,80047,46,80051,46,475,503,15707,0,0,0,255,0,0,0,0,0,1198,1198,433,1226,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010107,7-8–«,7,80059,46,80041,40,80047,46,80041,40,80067,66,80062,64,824,503,0,0,0,0,510,0,0,0,159,0,3535,779,2019,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010108,8-9–«,8,80044,48,80044,48,80079,66,80067,66,80075,66,80063,66,3967,1680,40365,0,0,0,796,0,0,0,291,0,3840,1558,1514,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010109,9-10–«,9,80079,66,80075,66,80063,66,80075,66,80067,66,80062,64,1495,1680,58994,0,0,0,541,0,0,0,1104,0,3061,0,1586,6128,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ω™◊”—¿,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010200,0-1–«,0,80020,15,80004,16,80020,15,80001,8,80020,15,80016,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010201,1-2–«,1,80003,14,80002,12,80004,16,80012,15,80003,14,80020,15,214,216,5493,0,0,0,0,0,0,0,0,264,173,173,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010202,2-3–«,2,80002,12,80012,15,80001,8,80020,15,80021,23,80024,31,0,216,3662,0,0,0,0,41,0,0,0,66,173,173,182,364,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010203,3-4–«,3,80004,16,80001,8,80021,23,80023,29,80021,23,80040,30,689,216,3662,0,0,0,0,41,0,0,0,66,419,765,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010204,4-5–«,4,80040,30,80028,30,80021,23,80028,30,80032,30,80024,31,1164,0,4839,0,0,0,0,0,0,0,0,159,173,1011,182,433,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010205,5-6–«,5,80028,30,80022,27,80032,30,80022,27,80048,47,80056,47,1425,0,4839,0,0,0,0,363,0,0,0,159,419,838,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010206,6-7–«,6,80028,30,80040,30,80043,46,80052,47,80042,44,80052,47,1299,1909,9678,0,0,0,0,497,0,0,0,291,779,419,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010207,7-8–«,7,80052,47,80056,47,80056,47,80052,47,80063,66,80064,68,475,903,26575,0,0,0,0,631,0,0,0,159,1558,1558,793,793,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010208,8-9–«,8,80048,47,80041,40,80061,60,80080,67,80063,66,80080,67,0,1806,29497,0,0,0,0,510,0,0,0,582,3061,1558,1514,4614,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010209,9-10–«,9,80068,67,80062,64,80076,67,80062,64,80063,66,80061,60,3143,0,88491,0,0,0,0,255,0,0,0,1104,3061,2282,0,4542,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#—ÓÍØ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010300,0-1–«,0,80004,16,80003,14,80005,12,80003,14,80017,12,80009,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010301,1-2–«,1,80001,8,80003,14,80004,16,80005,12,80002,12,80017,12,214,0,1831,0,82,0,0,0,66,0,0,0,173,173,182,364,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010302,2-3–«,2,80004,16,80003,14,80017,12,80009,12,80037,27,80024,31,428,216,3662,0,41,0,0,0,66,0,0,0,173,173,182,182,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010303,3-4–«,3,80003,14,80013,12,80021,23,80021,23,80029,27,80022,27,0,0,6670,0,41,0,0,0,225,0,0,0,592,173,615,182,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010304,4-5–«,4,80023,29,80033,27,80022,27,80023,29,80023,29,80024,31,950,719,4839,0,121,0,0,0,66,0,0,0,0,1257,0,182,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010305,5-6–«,5,80037,27,80029,27,80033,27,80024,31,80043,46,80053,44,0,1006,4839,0,0,0,0,0,159,0,0,0,419,0,433,1299,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010306,6-7–«,6,80025,27,80023,29,80045,44,80041,40,80057,44,80044,48,0,1406,15707,0,121,0,0,0,609,0,0,0,419,419,433,1586,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010307,7-8–«,7,80045,44,80042,44,80042,44,80045,44,80061,60,80077,64,2123,0,10868,0,376,0,0,0,291,0,0,0,2337,779,793,2019,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010308,8-9–«,8,80057,44,80057,44,80073,64,80077,64,80064,68,80073,64,3143,1806,51233,0,510,0,0,0,552,0,0,0,3061,1503,1586,1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010309,9-10–«,9,80064,68,80064,68,80073,64,80073,64,80069,64,80064,68,0,3360,51233,0,0,0,0,0,2238,0,0,0,1503,0,1514,7642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#¿◊’◊”,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010400,0-1–«,0,80002,12,80012,15,80002,12,80001,8,80003,14,80008,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010401,1-2–«,1,80003,14,80012,15,80008,15,80003,14,80002,12,80004,16,428,432,3662,0,0,0,0,82,0,0,0,0,0,346,0,182,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010402,2-3–«,2,80004,16,80003,14,80020,15,80003,14,80023,29,80040,30,214,216,1831,0,0,0,0,82,0,0,0,0,173,173,182,364,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010403,3-4–«,3,80003,14,80003,14,80022,27,80032,30,80028,30,80040,30,0,0,6670,0,0,0,0,0,0,0,0,225,173,0,182,797,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010404,4-5–«,4,80024,31,80028,30,80023,29,80022,27,80021,23,80036,30,475,503,9678,0,0,0,0,242,0,0,0,159,0,419,0,364,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010405,5-6–«,5,80024,31,80024,31,80023,29,80021,23,80060,47,80048,47,950,1006,4839,0,0,0,0,121,0,0,0,159,419,419,433,433,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010406,6-7–«,6,80023,29,80024,31,80043,46,80056,47,80052,47,80060,47,1299,0,10868,0,0,0,0,255,0,0,0,291,1617,419,866,1226,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010407,7-8–«,7,80042,44,80041,40,80044,48,80041,40,80062,64,80064,68,0,903,21736,0,0,0,0,255,0,0,0,582,1198,779,433,2812,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010408,8-9–«,8,80056,47,80052,47,80076,67,80061,60,80062,64,80068,67,1648,2583,40365,0,0,0,0,0,0,0,0,0,3840,1558,4614,2307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010409,9-10–«,9,80080,67,80076,67,80062,64,80068,67,80072,67,80080,67,2990,4263,29497,0,0,0,0,796,0,0,0,843,3785,2282,1514,2307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#∞◊∆,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010500,0-1–«,0,80005,12,80005,12,80004,16,80004,16,80013,12,80017,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010501,1-2–«,1,80005,12,80017,12,80002,12,80017,12,80017,12,80004,16,428,216,1831,0,82,0,0,0,132,0,0,0,346,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010502,2-3–«,2,80017,12,80004,16,80009,12,80005,12,80024,31,80024,31,214,216,7324,0,41,0,0,0,198,0,0,0,173,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010503,3-4–«,3,80009,12,80009,12,80025,27,80021,23,80029,27,80037,27,214,0,1831,0,82,0,0,0,66,0,0,0,1011,173,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010504,4-5–«,4,80023,29,80024,31,80037,27,80025,27,80024,31,80022,27,950,0,4839,0,324,0,0,0,159,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010505,5-6–«,5,80025,27,80022,27,80025,27,80029,27,80041,40,80045,44,475,503,9678,0,121,0,0,0,159,0,0,0,838,0,866,433,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010506,6-7–«,6,80024,31,80025,27,80043,46,80049,44,80043,46,80049,44,2598,503,4839,0,618,0,0,0,0,0,0,0,1558,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010507,7-8–«,7,80053,44,80043,46,80043,46,80041,40,80073,64,80063,66,475,0,21736,0,631,0,0,0,0,0,0,0,1977,1558,433,1586,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010508,8-9–«,8,80045,44,80043,46,80064,68,80077,64,80063,66,80062,64,824,2583,51233,0,0,0,0,0,843,0,0,0,779,779,0,5407,2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010509,9-10–«,9,80061,60,80063,66,80077,64,80061,60,80077,64,80062,64,824,1680,99359,0,255,0,0,0,552,0,0,0,2282,0,3028,5335,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ƒƒﬂ∏,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010600,0-1–«,0,80002,12,80007,14,80002,12,80011,14,80007,14,80002,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010601,1-2–«,1,80001,8,80011,14,80002,12,80002,12,80001,8,80002,12,428,648,5493,0,0,0,123,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010602,2-3–«,2,80002,12,80004,16,80011,14,80011,14,80024,31,80023,29,428,648,5493,0,0,0,41,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010603,3-4–«,3,80011,14,80019,14,80024,31,80022,27,80035,29,80022,27,0,216,1831,0,0,0,82,0,0,0,0,0,592,346,615,433,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010604,4-5–«,4,80022,27,80031,29,80022,27,80035,29,80024,31,80021,23,0,1509,11509,0,0,0,41,0,0,0,225,0,419,173,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010605,5-6–«,5,80031,29,80035,29,80023,29,80022,27,80051,46,80051,46,475,1509,9678,0,0,0,121,0,0,0,159,0,419,838,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010606,6-7–«,6,80039,29,80035,29,80042,44,80059,46,80055,46,80042,44,0,1006,4839,0,0,0,631,0,0,0,159,0,1558,1977,0,433,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010607,7-8–«,7,80041,40,80041,40,80042,44,80042,44,80061,60,80067,66,0,3212,37443,0,0,0,0,0,0,0,900,0,0,0,1586,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010608,8-9–«,8,80044,48,80043,46,80067,66,80061,60,80064,68,80061,60,4638,1806,21736,0,0,0,541,0,0,0,0,0,4564,3061,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010609,9-10–«,9,80067,66,80067,66,80079,66,80064,68,80062,64,80079,66,4485,0,10868,0,0,0,541,0,0,0,0,0,6791,3006,2307,3100,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#µ‰Œ§,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010700,0-1–«,0,80003,14,80004,16,80017,12,80004,16,80013,12,80001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010701,1-2–«,1,80002,12,80013,12,80001,8,80002,12,80001,8,80002,12,214,216,1831,0,0,0,0,0,132,0,0,0,346,173,364,182,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010702,2-3–«,2,80004,16,80009,12,80005,12,80017,12,80033,27,80029,27,428,864,5493,0,0,0,0,0,66,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010703,3-4–«,3,80009,12,80017,12,80023,29,80023,29,80025,27,80037,27,214,503,1831,0,203,0,0,0,225,0,0,0,173,592,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010704,4-5–«,4,80037,27,80029,27,80023,29,80021,23,80025,27,80021,23,475,0,6670,0,162,0,0,0,225,0,0,0,0,173,0,866,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010705,5-6–«,5,80023,29,80023,29,80037,27,80033,27,80042,44,80041,40,1425,0,4839,0,242,0,0,0,159,0,0,0,0,1257,0,433,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010706,6-7–«,6,80023,29,80033,27,80057,44,80049,44,80044,48,80043,46,824,1406,15707,0,0,0,0,0,318,0,0,0,779,779,793,866,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010707,7-8–«,7,80042,44,80049,44,80049,44,80042,44,80069,64,80062,64,0,503,21736,0,255,0,0,0,450,0,0,0,1558,779,793,2812,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010708,8-9–«,8,80043,46,80044,48,80063,66,80077,64,80069,64,80069,64,0,3486,51233,0,1051,0,0,0,0,0,0,0,3061,3061,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010709,9-10–«,9,80073,64,80063,66,80063,66,80073,64,80073,64,80073,64,0,0,69862,0,1082,0,0,0,552,0,0,0,3785,3006,793,4614,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Œ≈÷Ÿ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010800,0-1–«,0,80013,12,80009,12,80005,12,80004,16,80009,12,80001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010801,1-2–«,1,80002,12,80013,12,80001,8,80004,16,80001,8,80009,12,428,216,0,0,123,0,0,0,66,0,0,0,173,519,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010802,2-3–«,2,80004,16,80009,12,80004,16,80004,16,80033,27,80033,27,428,432,1831,0,41,0,0,0,66,0,0,0,173,519,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010803,3-4–«,3,80005,12,80003,14,80021,23,80025,27,80024,31,80023,29,0,1006,0,0,41,0,0,0,318,0,0,0,519,173,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
