"Id
===
Id
===
int-cs","名称
===
Name
===
string-cs","物品类型
===
Type
===
int-cs","品质
===
Quality
===
int-cs","展示ID(ShowTable)
===
ShowID
===
int-c","掉落时展示ID(ShowTable)
===
DropShowID
===
int-c","道具描述
===
GameItemDesc
===
string-cs","买入价格
===
BuyingRate
===
int-cs","卖出价格
===
SellingRate
===
int-cs","出售提示
===
SellWarn
===
int-c","可销毁
===
CanDelete
===
int-cs","堆叠上限
===
StackDepth
===
int-cs","经验(装备所需)
===
Exp
===
int-cs","等级需求
===
RequiredLevel
===
int-cs","使用规则
===
UseRules
===
int-cs","作用时间
===
ActionTime
===
int-cs","道具作用id
===
ActionId
===
int-cs","道具参数配置0.参数
===
ItemConfig0.Effect
===
int-cs","道具参数配置0.说明
===
ItemConfig0.Explain
===
string-cs","道具参数配置1.参数
===
ItemConfig1.Effect
===
int-cs","道具参数配置1.说明
===
ItemConfig1.Explain
===
string-cs","道具参数配置2.参数
===
ItemConfig2.Effect
===
int-cs","道具参数配置2.说明
===
ItemConfig2.Explain
===
string-cs","道具参数配置3.参数
===
ItemConfig3.Effect
===
int-cs","道具参数配置3.说明
===
ItemConfig3.Explain
===
string-cs","道具参数配置4.参数
===
ItemConfig4.Effect
===
int-cs","道具参数配置4.说明
===
ItemConfig4.Explain
===
string-cs","道具参数配置5.参数
===
ItemConfig5.Effect
===
int-cs","道具参数配置5.说明
===
ItemConfig5.Explain
===
string-cs","道具参数配置6.参数
===
ItemConfig6.Effect
===
int-cs","道具参数配置6.说明
===
ItemConfig6.Explain
===
string-cs","道具参数配置7.参数
===
ItemConfig7.Effect
===
int-cs","道具参数配置7.说明
===
ItemConfig7.Explain
===
string-cs","道具参数配置8.参数
===
ItemConfig8.Effect
===
int-cs","道具参数配置8.说明
===
ItemConfig8.Explain
===
string-cs","道具参数配置9.参数
===
ItemConfig9.Effect
===
int-cs","道具参数配置9.说明
===
ItemConfig9.Explain
===
string-cs","道具参数配置10.参数
===
ItemConfig10.Effect
===
int-cs","道具参数配置10.说明
===
ItemConfig10.Explain
===
string-cs","道具参数配置11.参数
===
ItemConfig11.Effect
===
int-cs","道具参数配置11.说明
===
ItemConfig11.Explain
===
string-cs","道具参数配置12.参数
===
ItemConfig12.Effect
===
int-cs","道具参数配置12.说明
===
ItemConfig12.Explain
===
string-cs","道具参数配置13.参数
===
ItemConfig13.Effect
===
int-cs","道具参数配置13.说明
===
ItemConfig13.Explain
===
string-cs","道具参数配置14.参数
===
ItemConfig14.Effect
===
int-cs","道具参数配置14.说明
===
ItemConfig14.Explain
===
string-cs","道具参数配置15.参数
===
ItemConfig15.Effect
===
int-cs","道具参数配置15.说明
===
ItemConfig15.Explain
===
string-cs","道具参数配置16.参数
===
ItemConfig16.Effect
===
int-cs","道具参数配置16.说明
===
ItemConfig16.Explain
===
string-cs","道具参数配置17.参数
===
ItemConfig17.Effect
===
int-cs","道具参数配置17.说明
===
ItemConfig17.Explain
===
string-cs","道具参数配置18.参数
===
ItemConfig18.Effect
===
int-cs","道具参数配置18.说明
===
ItemConfig18.Explain
===
string-cs","道具参数配置19.参数
===
ItemConfig19.Effect
===
int-cs","道具参数配置19.说明
===
ItemConfig19.Explain
===
string-cs","出处
===
ComeFrom
===
string-c","可合成Id(用;分开)
===
CanSyntheticId
===
string-c"
1004,有几率获得楠木、翡翠、罗汉精魄材料道具。,8,4,1455,1455,有几率获得楠木、翡翠、罗汉精魄材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1005,有几率获得木棉、粗线、皂斗材料道具。,8,0,1455,1455,有几率获得木棉、粗线、皂斗材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1006,有几率获得绢布、细线、栀子材料道具。,8,1,1455,1455,有几率获得绢布、细线、栀子材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1007,有几率获得绫罗、百花线、蓝草材料道具。,8,2,1455,1455,有几率获得绫罗、百花线、蓝草材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1008,有几率获得绸缎、金丝线、紫草材料道具。,8,3,1455,1455,有几率获得绸缎、金丝线、紫草材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1009,有几率获得玉帛、蚕丝线、茜草材料道具。,8,4,1455,1455,有几率获得玉帛、蚕丝线、茜草材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1010,有几率获得烂石、粗线、明金材料道具。,8,0,1455,1455,有几率获得烂石、粗线、明金材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1011,有几率获得斜石、细线、销金材料道具。,8,1,1455,1455,有几率获得斜石、细线、销金材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1012,有几率获得松石、百花线、镂金材料道具。,8,2,1455,1455,有几率获得松石、百花线、镂金材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1013,有几率获得银沙、金丝线、盘金材料道具。,8,3,1455,1455,有几率获得银沙、金丝线、盘金材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1014,有几率获得月锡石、蚕丝线、织金材料道具。,8,4,1455,1455,有几率获得月锡石、蚕丝线、织金材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1015,有几率获得铁矿石、明金、烂石材料道具。,8,0,1455,1455,有几率获得铁矿石、明金、烂石材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1016,有几率获得铜矿石、销金、斜石材料道具。,8,1,1455,1455,有几率获得铜矿石、销金、斜石材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1017,有几率获得银矿石、镂金、松石材料道具。,8,2,1455,1455,有几率获得银矿石、镂金、松石材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1018,有几率获得金矿石、盘金、银沙材料道具。,8,3,1455,1455,有几率获得金矿石、盘金、银沙材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1019,有几率获得翡翠、织金、月锡石材料道具。,8,4,1455,1455,有几率获得翡翠、织金、月锡石材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1020,有几率获得铁力木、木棉、皂斗材料道具。,8,0,1455,1455,有几率获得铁力木、木棉、皂斗材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1021,有几率获得桃木、绢布、栀子材料道具。,8,1,1455,1455,有几率获得桃木、绢布、栀子材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1022,有几率获得樟木、绫罗、蓝草材料道具。,8,2,1455,1455,有几率获得樟木、绫罗、蓝草材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1023,有几率获得紫檀、绸缎、紫草材料道具。,8,3,1455,1455,有几率获得紫檀、绸缎、紫草材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1024,有几率获得楠木、玉帛、茜草材料道具。,8,4,1455,1455,有几率获得楠木、玉帛、茜草材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1025,有一定几率获得三宝玉如意、太极符印、金身环、琵琶、缚妖索法宝材料道具。,8,1,1455,1455,有一定几率获得三宝玉如意、太极符印、金身环、琵琶、缚妖索法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1026,有一定几率获得六阳神火鉴、紫华炎、天音鉴、墨火、盘古幡法宝材料道具。,8,2,1455,1455,有一定几率获得六阳神火鉴、紫华炎、天音鉴、墨火、盘古幡法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1027,有一定几率获得冲天幛、枯炎、黑雨镜、乾坤护命纱、混元伞法宝材料道具。,8,3,1455,1455,有一定几率获得冲天幛、枯炎、黑雨镜、乾坤护命纱、混元伞法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1028,有一定几率获得六阳烈炎、天王甲、潜龙令、宝盒、斗魔真炎法宝材料道具。,8,4,1455,1455,有一定几率获得六阳烈炎、天王甲、潜龙令、宝盒、斗魔真炎法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1029,有一定几率获得怒眉宝镜、银凌仙衣、龙夕火、兜率灵炎、山河社稷图法宝材料道具。,8,1,1455,1455,有一定几率获得怒眉宝镜、银凌仙衣、龙夕火、兜率灵炎、山河社稷图法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1030,有一定几率获得鬼面镜、北极火、呐魂纱、皓天镜、八面驭风屏法宝材料道具。,8,2,1455,1455,有一定几率获得鬼面镜、北极火、呐魂纱、皓天镜、八面驭风屏法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1031,有一定几率获得五云锁仙屏、天旋神纱、冰银环、天心双环、通天神火柱法宝材料道具。,8,3,1455,1455,有一定几率获得五云锁仙屏、天旋神纱、冰银环、天心双环、通天神火柱法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1032,有一定几率获得风火蒲团、如意乾坤袋、紫薇天庭甲、白玉金刚镯、紫云落影环法宝材料道具。,8,4,1455,1455,有一定几率获得风火蒲团、如意乾坤袋、紫薇天庭甲、白玉金刚镯、紫云落影环法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1033,有一定几率获得逆火屏、天锋鉴 、鬼面鉴、水镜幛、彩云环法宝材料道具。,8,1,1455,1455,有一定几率获得逆火屏、天锋鉴 、鬼面鉴、水镜幛、彩云环法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1034,有一定几率获得花狐貂、暗阳炎、散魂幛、共工网、彩云幛法宝材料道具。,8,2,1455,1455,有一定几率获得花狐貂、暗阳炎、散魂幛、共工网、彩云幛法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1035,有一定几率获得明月金刚目、双向屏、龙王甲、三昧真火、五雷天幛法宝材料道具。,8,3,1455,1455,有一定几率获得明月金刚目、双向屏、龙王甲、三昧真火、五雷天幛法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1036,有一定几率获得心火、贝叶灵符、紫金钵盂、九子魂魄 、黑火法宝材料道具。,8,4,1455,1455,有一定几率获得心火、贝叶灵符、紫金钵盂、九子魂魄 、黑火法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1037,有一定几率获得玉心环、天王镜、五光石、龙王镜、幻空幛法宝材料道具。,8,1,1455,1455,有一定几率获得玉心环、天王镜、五光石、龙王镜、幻空幛法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1038,有一定几率获得玄冰烈火鼎、神雷鉴、金砖、纯阳真火、四象宝塔法宝材料道具。,8,2,1455,1455,有一定几率获得玄冰烈火鼎、神雷鉴、金砖、纯阳真火、四象宝塔法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1039,有一定几率获得八角鉴、天蝉纱、琉璃瓶、冰离炎、反影镜法宝材料道具。,8,3,1455,1455,有一定几率获得八角鉴、天蝉纱、琉璃瓶、冰离炎、反影镜法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
1040,有一定几率获得七方炎、皓月冰精、青火、招妖幡、番天印法宝材料道具。,8,4,1455,1455,有一定几率获得七方炎、皓月冰精、青火、招妖幡、番天印法宝材料道具。,1,1,0,0,1,0,0,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
#装备镶嵌宝石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,一级赤戟石,2,0,1001,1000,"可镶嵌在装备上的宝石。",540,5,0,0,99999,15,1,1,1,1,0,,20001,,3,,0,,0,,30,,-1,,54,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,101001;101003;101005;102001;102003;102005,20001
20001,二级赤戟石,2,0,1002,1000,"可镶嵌在装备上的宝石。",2180,22,0,0,99999,15,4,1,1,1,0,,20002,,3,,0,,0,,60,,-1,,218,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,104001;104007,20002
20002,三级赤戟石,2,0,1003,1000,"可镶嵌在装备上的宝石。",4920,49,0,0,99999,15,7,1,1,1,0,,20003,,3,,0,,0,,90,,-1,,492,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20003
20003,四级赤戟石,2,0,1004,1000,"可镶嵌在装备上的宝石。",8740,87,0,0,99999,15,10,1,1,1,0,,20004,,3,,0,,0,,120,,-1,,874,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20004
20004,五级赤戟石,2,1,1005,1000,"可镶嵌在装备上的宝石。",13670,137,0,0,99999,20,13,1,1,1,0,,20005,,3,,0,,0,,150,,-1,,1367,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20005,六级赤戟石,2,1,1006,1000,"可镶嵌在装备上的宝石。",19680,197,0,0,99999,20,16,1,1,1,0,,20006,,3,,0,,0,,180,,-1,,1968,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20006
20006,七级赤戟石,2,1,1007,1000,"可镶嵌在装备上的宝石。",26780,268,0,0,99999,20,19,1,1,1,0,,20007,,3,,0,,0,,210,,-1,,2678,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20007
20007,八级赤戟石,2,2,1008,1000,"可镶嵌在装备上的宝石。",34990,350,1,0,99999,25,22,1,1,1,0,,20008,,3,,0,,0,,240,,-1,,3499,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20008
20008,九级赤戟石,2,2,1009,1000,"可镶嵌在装备上的宝石。",44280,443,1,0,99999,25,25,1,1,1,0,,20009,,3,,0,,0,,270,,-1,,4428,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20009
20009,十级赤戟石,2,2,1010,1000,"可镶嵌在装备上的宝石。",54680,547,1,0,99999,25,28,1,1,1,0,,-1,,3,,0,,0,,300,,-1,,5468,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20050,一级冥皇石,2,0,1011,1000,"可镶嵌在装备上的宝石。",540,5,1,0,99999,15,1,1,1,1,1,,20051,,3,,0,,13,,18,,-1,,54,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,101002;101004;101006;102002;102004;102006,20011
20051,二级冥皇石,2,0,1012,1000,"可镶嵌在装备上的宝石。",2180,22,1,0,99999,15,4,1,1,1,1,,20052,,3,,0,,13,,35,,-1,,218,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,104002;104008,20012
20052,三级冥皇石,2,0,1013,1000,"可镶嵌在装备上的宝石。",4920,49,1,0,99999,15,7,1,1,1,1,,20053,,3,,0,,13,,53,,-1,,492,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20013
20053,四级冥皇石,2,0,1014,1000,"可镶嵌在装备上的宝石。",8740,87,1,0,99999,15,10,1,1,1,1,,20054,,3,,0,,13,,70,,-1,,874,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20014
20054,五级冥皇石,2,1,1015,1000,"可镶嵌在装备上的宝石。",13670,137,1,0,99999,20,13,1,1,1,1,,20055,,3,,0,,13,,88,,-1,,1367,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20055,六级冥皇石,2,1,1016,1000,"可镶嵌在装备上的宝石。",19680,197,1,0,99999,20,16,1,1,1,1,,20056,,3,,0,,13,,105,,-1,,1968,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20016
