"Id
===
Id
===
int-s","名称
===
Name
===
string-s","初始值
===
InitValue
===
float-s"
331,普通攻击--快速武器,-1
332,合体无双起手--快速武器,-1
333,合体无双终结--快速武器,-1
334,双击技能--快速武器,-1
335,划屏技能--快速武器,-1
336,单体无双--快速武器,-1
337,自动攻击索敌范围--快速武器,4
338,自动攻击索敌角度--快速武器,45
339,冲刺攻击索敌范围--快速武器,5
#0,武将特效,
400,武将登场通用特效1,90002
401,武将登场通用特效2,-1
402,武将登场通用特效3,-1
403,武将登场通用物理效果1,-1
404,武将登场通用物理效果2,-1
405,武将登场通用物理效果3,-1
406,武将登场通用音效1,51001
407,武将登场通用音效2,-1
408,武将登场通用音效3,-1
409,武将登场通用效果延迟（秒）,-1
410,武将离场通用特效1,-1
411,武将离场通用特效2,-1
412,武将离场通用特效3,-1
413,武将离场通用物理效果1,-1
414,武将离场通用物理效果2,-1
415,武将离场通用物理效果3,-1
416,武将离场通用音效1,-1
417,武将离场通用音效2,-1
418,武将离场通用音效3,-1
419,武将离场通用效果延迟（秒）,-1
420,武将技通用特效1,-1
421,武将技通用特效2,-1
422,武将技通用特效3,-1
423,武将技通用物理效果1,-1
424,武将技通用物理效果2,-1
425,武将技通用物理效果3,-1
426,武将技通用音效1,-1
427,武将技通用音效2,-1
428,武将技通用音效3,-1
429,武将技通用效果延迟（秒）,-1
430,武将技离场通用特效1,-1
431,武将技离场通用特效2,-1
432,武将技离场通用特效3,-1
433,武将技离场通用物理效果1,-1
434,武将技离场通用物理效果2,-1
435,武将技离场通用物理效果3,-1
436,武将技离场通用音效1,-1
437,武将技离场通用音效2,-1
438,武将技离场通用音效3,-1
439,武将技离场通用效果延迟（秒）,-1
440,武将无双通用特效1,-1
441,武将无双通用特效2,-1
442,武将无双通用特效3,-1
443,武将无双通用物理效果1,-1
444,武将无双通用物理效果2,-1
445,武将无双通用物理效果3,-1
446,武将无双通用音效1,-1
447,武将无双通用音效2,-1
448,武将无双通用音效3,-1
449,武将无双通用效果延迟（秒）,-1
460,武将死亡通用特效1,-1
461,武将死亡通用特效2,-1
462,武将死亡通用特效3,-1
463,武将死亡通用物理效果1,-1
464,武将死亡通用物理效果2,-1
465,武将死亡通用物理效果3,-1
466,武将死亡通用音效1,-1
467,武将死亡通用音效2,-1
468,武将死亡通用音效3,-1
469,武将技结束武将隐藏时间,1
#0,副本结束,
500,副本胜利画面速度变化1,0.01
501,副本胜利画面速度变化时间1,0.1
502,副本胜利画面速度变化2,0.2
503,副本胜利画面速度变化时间2,2
504,副本胜利画面速度变化延迟,0.1
#0,敌人死亡特效,
600,敌人死亡通用特效1,90004
601,敌人死亡通用特效2,-1
602,敌人死亡通用特效3,-1
603,敌人死亡通用物理效果1,-1
604,敌人死亡通用物理效果2,-1
605,敌人死亡通用物理效果3,-1
#0,主角技能通用效果,
700,主角武将技通用特效1,70002
701,主角武将技通用特效2,-1
702,主角武将技通用特效延迟,-1
703,主角武将技通用物理效果1,1006
704,主角武将技通用物理效果2,-1
705,主角武将技通用物理效果延迟,0.22
706,主角武将技通用音效1,50202
707,主角武将技通用音效1,-1
708,主角武将技通用音效延迟,0.05
710,主角普通技能通用特效1,70005
711,主角普通技能通用特效2,-1
712,主角普通技能通用特效延迟,-1
713,主角普通技能通用物理效果1,1006
714,主角普通技能通用物理效果2,-1
715,主角普通技能通用物理效果延迟,0.05
716,主角普通技能通用音效1,50203
717,主角普通技能通用音效1,-1
718,主角普通技能通用音效延迟,0.05
720,主角无双技能通用特效1,70003
721,主角无双技能通用特效2,-1
722,主角无双技能通用特效延迟,-1
723,主角无双技能通用物理效果1,1005
724,主角无双技能通用物理效果2,-1
725,主角无双技能通用物理效果延迟,0.2
726,主角无双技能通用音效1,50201
727,主角无双技能通用音效1,-1
728,主角无双技能通用音效延迟,-1
730,主角合体无双（起手）通用特效1,70004
731,主角合体无双（起手）通用特效2,-1
732,主角合体无双（起手）通用特效延迟,-1
733,主角合体无双（起手）通用物理效果1,1005
734,主角合体无双（起手）通用物理效果2,-1
735,主角合体无双（起手）通用物理效果延迟,0.2
736,主角合体无双（起手）通用音效1,50201
737,主角合体无双（起手）通用音效1,-1
738,主角合体无双（起手）通用音效延迟,-1
#0,事件音效,
800,boss出生,1003
801,小兵出生,1002
802,副本胜利,51003
803,副本失败,51004
804,拾取道具,1005
805,连击数10,1006
806,连击数50,1007
807,连击数100,1008
808,连击数200,1009
809,无双槽1级,1010
810,无双槽2级,1011
811,开场音效,51001
812,主角登场音效,51001
#0,战斗评价,
1000,时间得分参数,35
1001,连击得分基础值,100
1002,阶梯连段限制,100
1003,阶梯增加基础分,10
1004,连击得分-单手武器权重,1
1005,连击得分-重武器权重,1
1006,连击得分-长武器权重,1
1007,连击得分-快速武器权重,1
1008,连击伤害得分参数,10
1009,连击伤害得分-单手武器权重,1
1010,连击伤害得分-重武器权重,1
1011,连击伤害得分-长武器权重,1
1012,连击伤害得分-快速武器权重,1
1013,剩余HP得分参数,100000
1014,剩余HP满时得分倍数,1.5
1015,受伤总量扣分参数,100000
1016,受伤总量为0时得分值,300000
1017,无双使用次数得分参数,10000
1018,武将伤害得分参数,10
1019,连击伤害得分阶梯基础,1
1020,连击伤害得分阶梯递增,0.5
1050,总得分-时间得分权重,1
1051,总得分-连击得分权重,0
1052,总得分-连击伤害得分权重,0
1053,总得分-剩余HP得分权重,0
1054,总得分-受伤总HP得分权重,0
1055,总得分-无双使用次数得分权重,0
1056,总得分-武将伤害得分权重,0
#0,动画,
1100,开场动画-主角出现特效,90002
1101,开场动画-主角出现延迟,0.5
1102,开场动画-武将出现特效,90002
1103,开场动画-武将出现延迟,0.5
1104,开场动画-摄像机移动速度,20
1105,开场动画-出场后开战延迟,1
#0,其他,
1200,点击地面特效,90001
1201,破霸体特效,90003
1202,破霸体物理效果,-1
1203,霸体被击中物理效果,10001
1204,子弹预警特效,90005
1205,指引点特效,90006
1206,攻击预警特效,90008
1207,霸体特效,80010
#0,固有技能,
1300,固有技能初始能量数,5
1301,固有技能能量恢复时间（秒）,3
1302,固有技能释放中接受预操作的动作比率,0.2
#0,摄像机变化,
1400,摄像机不跟随的范围,2
1401,摄像机靠近时移动速度,3.5
1402,摄像机偏移Z轴方向,0
1403,摄像机黑色效果，镂空圆的半径（与宽度的比率，单位：像素）,0.08
#0,,
1500,摄像机视野,55
1501,摄像机高度,10
1502,摄像机角度,50
1503,摄像机滑动速度,0.02
#0,,
1600,竞技场战斗场景,9000000
1601,PK活动1（夺宝）场景,9000001
#0,,
1700,召唤怪物数量,6
#0,,
1800,自动通关测试,1
