"Id
===
Id
===
int-cs","文本
===
Text
===
string-cs"
4028,亲爱的老婆，我们相识相知相爱，直至喜结连理，都是那么的引人羡慕，我相信我一辈子也不会忘掉这段美好的时光，但今天我心爱的宝宝跟我说，你居然趁我不注意虐待它(╰_╯)#，对此我无法忍受，我们离婚吧。
4029,亲爱的老公，我们相识相知相爱，直至喜结连理，都是那么的引人羡慕，我相信我一辈子也不会忘掉这段美好的时光，但今天我居然发现你打算对我的美女宝宝动手动脚(╰_╯)#，对此我无法忍受，我们离婚吧。
4030,离婚
4031,您于{0}购买的{1}个钻石已经寄到，首次充值赠送{1}个蓝钻，请查收。
4032,以前我总喜欢坐在窗边抬头45度仰望天空，幻想着我的意中人踩着七彩祥云来娶我，直到我遇见你，我敢肯定，那个人就是你！你要是敢拒绝我！我就一直等你，我现在等你，以后等你，我永远等你，我等你，等你，我等死你！
4033,哟，那边的美女，你的男神竟然答应你的求婚了，赶紧的拿上戒指啊、玫瑰啊、葡萄酒啊、蜡烛啊、皮鞭啊…………去把你的男神推倒吧O(∩_∩)O。
4034,大美妞，上次那货竟然不长眼，拒绝跟你结婚，你说这事儿闹的，白富美的钱也不能这么浪费啊，跟你说，要搁我我不忍了，不得再找个高富帅，气死他，是吧。(╰_╯)#
4035,{0}和{1}结婚了，大家祝福他们吧。
4036,{0}将{1}升到最高级了，大家羡慕妒忌恨吧。
4037,恭喜你在世界boss{0}中获得第{1}名，对Boss造成{2}伤害，奖励奉上。
4038,世界Boss奖励
4039,谢谢你参加世界Boss战斗，奖励奉上。
4040,玩家{0}接受了你的好友邀请，一起摇滚吧。
4041,你说话太多了，休息一会儿吧！
4042,你今日在竞技场中排行为第{0}名，授予以下奖励，请领取。
4043,竞技场排行奖励
4044,你以惊人的实力，在竞技场中力压群雄，刷新了你的最高排行名次，进入前{0}名。特授予你以下奖励，请领取。
4045,竞技场冲榜奖励
5001,装备已经升到最高级
5002,装备等级不能超过主角等级
5003,经验： %d / %d
5004,体力： %d / %d
5005,金币： %d
5006,钻石总数：%d（红钻：%d；蓝钻：%d）
5007,合成花费：%d
5008,出售价格：%d
5009,现有桃心 %d
5017,您获得了
5018,HP：%d
5019,只能选择一名队友参战\(≧▽≦)/
5020,您已经有一段时间没登录过有妖气啦，妖怪们都快乐疯啦\(≧▽≦)/
5021,%d个征服点
5022,剩余挑战次数：%d
5028,%d / %d
5029,当前勋章个数是：%d
5030,杀死%s
5031,捕捉%s
5032,(%s)
5033,(%s，Lv1)
5034,当前排名：%d
5036,不能进入该战斗，请选择其他任务。
5037,普通
5038,精英
5039,地狱
5040,剩余PvP次数为0
5041,选择挑战对象
5042,当前选择的挑战对象
5043,当前选择的切磋对象
5044,请选择挑战对象
5045,不能挑战自己
5046,当前复仇的对象
5047,优秀品质
5048,精良品质
5049,史诗品质
5050,传说品质
5051,逆天品质
5053,%d个征服点
5054,普通物品
5055,装备材料
5056,普通技能升级材料
5057,技能书
5058,队长技能升级材料
5059,宠物兑换材料
5060,宝石
5061,连续登录%d天
5062,宝石不足！合成%s需要%d个%s
5063,主角已达最高等级，不能兑换经验了
5064,金钱不足
5065,获得%d个%s
5066,%s已经没有了
5067,这是和%s结婚的戒指
5068,竞技场在12级开放
5069,使用成功
5070,习得
5071,结婚后，一起战斗可获得%s桃心
5072,任务描述
5073,任务奖励
5074,%02d:%02d
5075,卖出%s
5076,复活时间：
5077,Boss复活：
5078,剩余生命：
5079,进攻次数：
5080,消耗体力：
5081,伤害排名：
5082,我的伤害统计：
5083,生命，攻击增加%d%s
5084,%d
5085,继续挑战
5086,本次伤害：%d
5087,总计伤害：%d
5088,剩余挑战次数：%d
5089,是否花%d金钱或者%d钻石挑战？
5090,剩余%d次
5091,%d/%d
5092,第1名
5093,%d～%d名
5094,%d～%d%s
5095,%d%s～%d%s
5097,%d个%s
5098,已达最大鼓舞次数
5099,今天已经挑战过了
5100,今天还有剩余次数，是否退出？
5101,退出将会失去这次挑战机会，是否继续？
5102,完成任务的关卡战斗次数已达次数，请选择其他任务
5103,完成任务的关卡战斗所需体力不足，请选择其他任务或者补充体力
5104,世界BOSS现在不能挑战
5105,(已达上限)
5106,当前排名：5000+
5107,每15分钟获得：
5108,发放倒计时：
5200,强化衣服
5201,强化帽子
5202,强化武器
5203,升级宠物
5204,升级主角技能
5205,升级宠物技能
5206,竞技场挑战
5207,竞技场复仇
5208,勋章兑奖
5209,征服点兑奖
5300,请选择左侧任务
5301,/%d
5302,%d个征服点
5303,%d个征服点/%d分钟
5304,您已经有段时间没登录过有妖气啦，您的宠物们都想您了\(≧▽≦)/
5305,功能暂未开放
5306,开启时间:
5310,1.参与活动的玩家每次至少获得1个技能书碎片
5311,2.活动期间，BOSS被击杀后，%d分钟后重新复活，BOSS最多复活%d次。
5312,3.每个玩家每日只能参与1次BOSS击杀。
5313,4.每个BOSS击杀都单独排名。
5314,5.每次战斗最多可“继续挑战”%d次。
5315,勋章不足！
5316,征服点不足！
6000,OK
6001,密码错误
6002,该用户不存在
6003,该用户已存在
6004,密码无效
6005,未登录
6006,角色已存在
6007,角色不存在
6008,战位错误
6009,战友错误
6010,好友不存在
6011,参数错误
6012,战斗异常
6013,副本不存在
6014,道具无法被删除
6015,道具不存在
6016,材料不足
6017,此装备已经满级了
6018,亲，你没金币了%>_<%
6019,亲，你没钻石了%>_<%
6020,行动力不足
6021,此技能已经满级了
6022,宠物不存在
6023,此宠物不能突破
6024,宠物吞噬不正确
6025,此名称已存在
6026,此好友已存在
6027,您的好友已达上限
6028,不是当前使用的套装
6029,有人比你出价更高
6030,无效的消息
6031,寂寞的少年啊，不能添加自己为好友的
6032,战斗不存在
6033,关卡不存在
6034,关卡已完成
6035,前置副本尚未通过
6036,关卡未开启
6037,超过本关卡最大游戏次数
6038,角色名称过长
6039,桃心不足
6040,此人已在黑名单中
6041,尚未激活
6042,激活码错误
6043,拍卖价格已达上限
6044,战斗不存在
6045,对方好友数已达上限
6046,等级太低
6047,此账号在别处登录
6048,技能升级失败
6049,装备强化失败
6051,交易不存在
6052,交易失败
6053,虽然你们是真爱，但是这个世界里同性不能结婚
6054,亲，你已经结过婚了，完全忘记了么。
6055,您不能起这个名字
6056,物品不能使用
6057,少年你现在是单身啊，离哪门子婚？
6058,不能直接删除配偶
6059,不能直接拉黑配偶
6060,宠物数量已达上限，请及时清理宠物包
6061,今天已经不能购买体力了
6062,不能出售更多的物品
6063,奖励已经领取
6064,此号码已存在
6065,你已经学会这个技能了
6066,宠物不可分解
6067,服务器人数达到上限
6068,宠物等级太高
6069,该功能还没有对你开放
6070,关卡未完成
6071,活动未开启
6072,您的体力已满
6073,奖励已经领取
6074,已经鼓舞到最大了
6075,今天已经玩过了
6076,没有进入世界Boss
6077,已经邀请过了
6078,不能邀请自己
6079,您的好友邀请已经发送，请耐心等待回复
6080,验证码错误
6081,正在Cooldown呢。。。
6082,物品已达携带上线
6083,此物品每日兑换次数已达上限
6084,"你晚一步了,对方已经是已婚人士"
6145,该账号已被冻结
6146,该账号不存在
6147,无法访问
6148,该账号已过期
6149,未知错误
6150,您输入的名字含有非法字符
6151,%d个91豆
6152,您购买的%d颗钻石已经到账
6153,购买成功：您购买的红钻稍后会到账。
6154,购买失败：%s。
6155,购买红钻锁屏成功。
7001,亲，您的版本太低啦，快去升级新版本吧！
7002,进入战斗前，选择一名好友助战，在右侧好友列表中查看其职业与技能，请合理搭配队伍哦。
7003,战斗胜利后，有几率抓获打倒的妖怪，可以将它们作为宠物，也可作为其他宠物的口粮。
7004,战斗胜利后，若有玩家助阵，会获得桃心，若助阵玩家为好友，会获得更多的桃心，桃心能抽奖哦。
7005,把刚刚战斗中抓获的宠物编入队伍吧，点击宠物框就能快速进入宠物界面。
7006,点击右侧宠物，将其编入队伍。点击左侧宠物，可将其移出队伍，特定宠物之间还有很多有趣的组合。
7007,你心爱的宠物已经到位啦~~下面开始武装自己吧，点击人物快速进入主角界面。
7008,点击“强化”按键就可以升级你的武器装备啦~每强化十级还会有全新的外形，现在就尝试把武器装备强化一下吧。
7009,现在你已经有了忠心的宠物，快去前面的树林里找几只小妖殴打一下，试试威力吧。
7010,果然，有了强力的宠物帮助，那些小妖精已经不是你的对手了，看来你已经学会怎样降伏收编妖精了。
7011,"客服邮箱：617617@tdgame.cn
客服电话：4008690880
官方QQ群：331063052"
7012,恭喜你，你有一只宠物可以突破啦，快去看看吧O(∩_∩)O
7013,角色ID：
7014,嗨，你的第二套系别装备已经开启啦，快去换上新装备战斗吧，但别忘了强化它哦O(∩_∩)O
7015,向下拖动拉环即可切换第二套装备。
7016,有句很俗的话说过，“欲善其事，先利其器”现在送你一次难得的宠物摸奖机会，能摸到什么，就看少年你的造化鸟~~
7017,Bingo！恭喜你获得了紫色沙僧，它可是相当强力的哦，快带他去战场上挥洒吧O(∩_∩)O。
7018,嗨，你的第二个宠物槽位已经解锁啦，快去再添加一个上场的宠物，让你的板凳队员也闪耀光芒吧。
7019,嗨，你的第二把武器已经解锁啦，现在你可以切换武器以不同的方式进行战斗啦。
7020,沿着箭头方向滑动即可更换武器
7021,血量 +
7022,物攻 +
7023,物防 +
7024,魔攻 +
7025,魔防 +
7026,仙法 +
7027,快看，你的这只宠物到达30级了，已经达到突破的第一个条件了。
7028,突破的第二个条件：还要有一个相同品质的该宠物，但多少等级都可以哦\(≧▽≦)/
7029,小队已满，无法增加更多成员
7030,模式：%s
7031,绿色
7032,蓝色
7033,紫色
7034,橙色
7035,默认
7036,获得
7037,不携带战友就开始战斗吗？
7038,全三星进度：%d/%d
7039,成功领取奖励
7040,继续操作会消耗紫色或橙色宠物，是否继续？
7041,绿宠
7042,蓝宠
7043,紫宠
7044,低级橙宠
7045,中级橙宠
7046,高级橙宠
7047,超级橙宠
7048,哇，你的运气不错哦，摸出个{#007b0ab5%s}，快去看看它有多厉害。
7049,快去带上你新宠物去战斗，让我们看看它有多厉害吧O(∩_∩)O
7050,嗒哒~你已经完成试炼了，继续锻炼下去，马上就能1V5啦，纵横妖气世界指日可待啊！少年，加勒个油~~
7051,命中 +
7052,欢迎来到有妖气世界，副本可以帮助你提升实力，为你提供所需的经验、金币、宠物以及道具。
7053,副本根据难度分为普通副本和精英副本，通关普通副本后才可以开启对应的精英副本。
7054,普通副本的关卡每次进入需要消耗10点体力，每天可通关次数为99次，通过关卡后将获得星级评分。
7055,每日任务为随机接取，可花费金币刷新，点击前往按钮将自动跳转至对应的界面，来完成任务。
7056,战斗结束后点击返回每日任务，完成任务可以领取勋章奖励。
7057,每日任务与剧情任务均奖励勋章，获得一定数量的勋章即可在左侧奖励处兑换你所需要的物品。
7058,闪避 +
7059,暴击 +
7060,韧性 +
7061,指引
7062,FAQ
7063,小助手
8000,正在下载新资源，请稍候…
8001,正在加载配置，请稍候…
8002,没有检测到WIFI连接，是否使用2G/3G网络更新资源，需要更新文件共%.4fMB
8003,提示
8004,手机验证码*
8005,请输入四位验证码
8006,发送太频繁请%d秒后再试
8007,已发送，请注意查看验证码
8008,红钻 %d
8009,蓝钻 %d
8010,金币 %s
8011,金币数：
8012,售价：
8013,一袋子金币
8014,一坛子金币
8015,一箱子金币
8016,成就点数 %d
8100,寄售中的金币
8101,寄售金币数
8102,成功寄售
8103,成功撤消
8104,您的红钻不足
8105,请设置出售的金币数
8106,您的金币数不足
8200,发送
8201,(高于市场价)
8202,(低于市场价)
8203,10
8204,购买成功
8205,资源号：
8206,重置密码
8207,重置成功
8208,60
8209,有妖气游戏绑定账号验证码：
8210,恭喜获得成就点%d
9000,亲~您的首次充值会获得双倍钻石，珍惜这宝贵的第一次哦~
9001,返回的钻石已经到账，请注意查收
10000,经验吸尘器可以为宠物升级提供好多好多经验哦~\(^o^)/
10001,多多升级装备和技能对你的好处可是大大滴(～ o ～)Y
10002,40级可以开启技能升级，所以要多多努力了。
10003,钻石摸奖连摸十次一定会获得橙色宠物。
10004,真正聪明的人会去多多结交有实力的好朋友。
10005,每日任务可以帮你获得大量金币~( ⊙o⊙ )
10006,副本中的关卡全部获得三星后不要忘记领取奖励。
10007,竞技场与副本不同，记得挑选合适的宠物出战。
10008,十个次级抽奖卷就可以在钻石摸奖中摸一次。
10009,成为VIP玩家可以享受更多特别待遇哦~(>^ω^<)
10010,界面左上角的小问号可以帮你解答很多疑问。
10011,努力升级吧！↖(^ω^)↗20级将开启第二职业！
10012,副本遇阻时可以先尝试调整队伍的站位。
10013,宠物30级时可以进行第一次突破。
10014,宠物40级时可以进行第二次突破。
10015,宠物50级时可以进行第三次突破。
10016,宠物55级时可以进行第四次突破。
10017,角色等级达到20级将开启第二职业。
10018,女生也可以向男生求婚哦！不要害羞↖(^ω^)↗
10019,每日任务中五星任务的奖励最丰厚呢（ˉ﹃ˉ）
10020,在竞技场中遇到打不过的人可以多切磋一下！
10300,公告
10301,登录奖励
10302,五庄观夺宝
10303,蟠桃会
10304,世界BOSS
10305,大战藏金妖
10307,截止时间：%d小时
10308,藏宝妖
10309,   贪婪的藏宝妖把从四处搜刮来的宝藏，藏在了洞穴的最深处……
10310,普通难度
10311,精英难度
10312,地狱难度
10313,   五庄观的最里面，有着一颗传说中的人参果树……
10314,距离下次开启时间还有:%d小时
11000,排序：
11001,选中所有绿蓝宠
11002,攻击：
11003,售价：
11004,技能：
11005,提供：
11006,%d经验
11007,当前宠物等级不足
11008,%s等级不足，需达到%d级才能突破
11009,提示：只有紫宠、橙宠才能分解
11011,只显示可突破宠物
11500,玉兔
11501,邀请%d名玩家
11502,进度：
11503,分享到新浪微博
11504,分享到腾讯微博
11505,分享到微信朋友圈
11506,等级达到%d级
11507,未知错误
11508,我的邀请码：
11509,*邀请您的朋友安装游戏并升
11510,到10级，填写您的邀请码即可
11511,不能填写自己的邀请码
11512,只能填写一次哦~
11513,礼物已经领取过
11514,我在《有妖气》中这么技艺超群，挥斥四方，作为围观群众的你造吗？说出哥的名号，经典西游《有妖气》的大门将为你开放。我的邀请码：%s。点击：http://www.91.com/download/下载游戏。
11515,人是人妈生的，妖是妖妈生的，那么《有妖气》中的小妖呢？我刚刚在经典西游大作《有妖气》中降服了几大小妖，你们究竟来自何方？答案就在http://www.91.com/download/中，点击即可下载哦。
11516,有妖气
11517,http://www.91.com/download/
11518,分享内容
11519,分享成功
11520,分享失败
11521,尚未安装微信
11522,您输入的邀请码不存在!
11550,"金币：%d
钻石：%d
桃心：%d"
11551,"金币：%d
钻石：%d
桃心：%d"
11552,"金币：%d
钻石：%d
桃心：%d"
11570,秒
12000,公会管理员
12001,恭喜您加入了%s公会。
12002,%s公会管理员拒绝了你的申请。
12003,"恭喜%s玩家找到了组织,加入了%s公会。"
12004,"""恭喜你的公会升级."""
