"Id
===
Id
===
int-c","名字描述
===
Name
===
string-c","特效名字
===
EffectName
===
string-c","特效扩展名字
===
EffectExName
===
string-c","类型
===
Type
===
int-c","延迟时间
===
DelayTime
===
int-c","持续时间
===
LastTime
===
int-c","X偏移
===
PosX
===
int-c","Y偏移
===
PosY
===
int-c","缩放
===
Scale
===
int-c","反转
===
Flipx
===
int-c","挂载点
===
Mount
===
string-c","音效
===
Music
===
string-c","特殊类型
===
SpeType
===
int-c","特殊值
===
SpeValue
===
int-c","特殊值
===
IsBack
===
int-c"
2521,法师-冰雨-start,effect_bingyu_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,,-1,-1,0
2554,法师-剧毒-buff,effect_judu_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,170,0,#center#,,-1,-1,0
2553,法师-剧毒-hit,effect_judu_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/judu,-1,-1,0
2552,法师-剧毒-fly,effect_judu_fly.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,-1,,-1,-1,0
2551,法师-剧毒-start,effect_judu_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,,-1,-1,0
2533,法师-禁言-hit,effect_jinyan_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#top#,skillaudio/jinyan_hit,-1,-1,0
2531,法师-禁言-start,effect_jinyan_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,skillaudio/jinyan_start,-1,-1,0
2043,法师-飓风-hit,effect_jufeng_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/jufeng_hit,-1,-1,0
2041,法师-飓风-start,effect_jufeng_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,skillaudio/jufeng_start,-1,-1,0
2013,法师-雷击-hit,effect_leiji_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/leiji_hit,-1,-1,0
2011,法师-雷击-start,effect_leiji_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,skillaudio/leiji_start,-1,-1,0
2053,法师-流星术-hit,effect_liuxingshu_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,80,0,#bottom#,skillaudio/liuxingshu_hit,-1,-1,0
2051,法师-流星术-start,effect_liuxingshu_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,40,0,#weapon#,skillaudio/liuxingshu_start,-1,-1,0
2002,法师-普攻-fly,effect_pugong01_fly.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,70,0,-1,skillaudio/pugong1_hit,-1,-1,0
2003,法师-普攻-hit,effect_pugong01_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/pugong1_start,-1,-1,0
2032,法师-沙暴-fly,effect_shabao_fly.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,-1,,-1,-1,0
2033,法师-沙暴-hit,effect_shabao_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/shabao_hit,-1,-1,0
2031,法师-沙暴-start,effect_shabao_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,skillaudio/shabao_start,-1,-1,0
2512,法师-炫目-fly,effect_xuanmu_fly.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,-1,,-1,-1,0
2513,法师-炫目-hit,effect_xuanmu_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,25,40,0,#center#,skillaudio/xuanmu,-1,-1,0
2511,法师-炫目-start,effect_xuanmu_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,50,0,#weapon#,,-1,-1,0
2022,法师-阳炎-fly,effect_yangyan_fly.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,-1,,-1,-1,0
2023,法师-阳炎-hit,effect_yangyan_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/yangyan_hit,-1,-1,0
2021,法师-阳炎-start,effect_yangyan_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,50,0,#weapon#,skillaudio/yangyan_start,-1,-1,0
3001,牧师-普攻-start,effect_pugong02_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,,-1,-1,0
3003,牧师-普攻-hit,effect_pugong02_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/pugongjiaxue,-1,-1,0
3011,牧师-仙丹-start,effect_xiandan_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,,-1,-1,0
3013,牧师-仙丹-hit,effect_xiandan_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/xiandan,-1,-1,0
3021,牧师-圣莲-start,effect_shenglian_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,,-1,-1,0
3023,牧师-圣莲-hit,effect_shenglian_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,30,100,0,#bottom#,skillaudio/shenglian,-1,-1,0
3031,牧师-菩提枝-start,effect_putizhi_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,,-1,-1,0
3033,牧师-菩提枝-hit,effect_putizhi_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/putizhi,-1,-1,0
3041,牧师-花好-start,effect_huahao_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,,-1,-1,0
3043,牧师-花好-hit,effect_huahao_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/huahao,-1,-1,0
3051,牧师-月圆-start,effect_yueyuan_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,,-1,-1,0
3053,牧师-月圆-hit,effect_yueyuan_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,80,0,#bottom#,skillaudio/yueyuan,-1,-1,0
3511,牧师-青云球-start,effect_qingyunqiu_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,skillaudio/qingyunqiu_start,-1,-1,0
3512,牧师-青云球-fly,effect_qingyunqiu_fly.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,-1,,-1,-1,0
3513,牧师-青云球-hit,effect_qingyunqiu_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/qingyunqiu_hit,-1,-1,0
3541,牧师-净化-start,effect_jinghua_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,,-1,-1,0
3543,牧师-净化-hit,effect_jinghua_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/jinghua,-1,-1,0
3551,牧师-水源之盾-start,effect_shuiyuanzhidun_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,,-1,-1,0
3553,牧师-水源之盾-hit,effect_shuiyuanzhidun_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,-40,150,0,#center#,skillaudio/shuiyuanzhidun,-1,-1,0
3554,牧师-水源之盾-buff,effect_shuiyuanzhidun_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,-40,150,0,#center#,,-1,-1,0
3103,牧师-救赎-hit,effect_jiushu_hit.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,#bottom#,,-1,-1,0
3521,牧师-灵风剑-start,effect_lingfengjian_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,50,0,#weapon#,skillaudio/lingfengjian_start,-1,-1,0
3522,牧师-灵风剑-fly,effect_lingfengjian_fly.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,-1,,-1,-1,0
3523,牧师-灵风剑-hit,effect_lingfengjian_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,75,0,#center#,skillaudio/lingfengjian_hit,-1,-1,0
3531,牧师-魔障-start,effect_mozhang_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,18,100,0,#weapon#,,-1,-1,0
3533,牧师-魔障-hit,effect_mozhang_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,18,200,0,#bottom#,skillaudio/mozhang,-1,-1,0
3534,牧师-魔障-buff,effect_mozhang_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,18,200,0,#bottom#,,-1,-1,0
9602,状态-荆棘光环,effect_jingciguanghuan_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,#center#,,-1,-1,0
9603,状态-禁言,effect_jinyan_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,#top#,,-1,-1,0
9605,状态-炫目,effect_xuanmu_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,#top#,,-1,-1,0
9606,状态-眩晕,effect_xuanyun_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,#top#,,-1,-1,0
9607,状态-中毒,effect_zhongdu_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,-10,20,70,0,#center#,,-1,-1,0
9608,状态-降低命中,effect_jiangdimingzhong_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,#top#,,-1,-1,0
9609,状态-降低魔防,effect_jiangdimofang_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,#top#,,-1,-1,0
9610,状态-降低闪避,effect_jiangdishanbi_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,#top#,,-1,-1,0
9611,状态-降低物防,effect_jiangdiwufang_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,#top#,,-1,-1,0
9612,状态-无敌,effect_wudi_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,16,120,0,#bottom#,,-1,-1,0
9613,状态-心灵魔障,effect_xinlingmozhang_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,80,0,#bottom#,,-1,-1,0
9614,状态-心灵强化,effect_xinlingqianghua_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,,-1,-1,0
9615,状态-照妖镜,effect_zhaoyaojing_hit.json,effect/effect_pugong_hit.atlas,0,0,-1,0,30,100,0,#center#,skillaudio/zhaoyaojing,-1,-1,0
4001,怪物-穿刺一下-hit,effect_fengci_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/chuo_hit,-1,-1,0
4002,怪物四蹄-吼-start-weapon2,effect_hou_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon2#,skillaudio/bo_start,-1,-1,0
4003,怪物武器-吼-start-weapon,effect_hou_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,skillaudio/bo_start,-1,-1,0
4004,怪物-吼-hit,effect_hou_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/bo_hit,-1,-1,0
4005,怪物-物理通用命中-hit,effect_huji_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/putonghit_hit,-1,-1,0
4006,怪物-鲨鱼穿刺三下-hit,effect_jifengci_dit.json,effect/effect_pugong_hit.atlas,0,0,0,0,-80,100,0,#center#,skillaudio/sanlianji_hit,-1,-1,0
4007,怪物-蜥蜴连砍四下-hit,effect_kuaidao_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/silianji_hit,-1,-1,0
4008,怪物-通用龙卷风-fly,effect_longjuanfeng_fly.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,180,0,-1,,-1,-1,0
4009,怪物-通用龙卷风-hit,effect_longjuanfeng_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/jufeng_hit,-1,-1,0
4010,怪物-通用跳劈-hit,effect_pikan_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/guaiwupikan_hit,-1,-1,0
4011,怪物-吐火-start,effect_sanmeizhenhuo_fly.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,200,0,#weapon1#,skillaudio/honghaier_start,-1,-1,0
4012,怪物-吐火-hit,effect_sanmeizhenhuo_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,110,0,#center#,skillaudio/honghaier_hit,-1,-1,0
4013,怪物-通用砸地-hit,effect_shouji_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/leiting_hit,-1,-1,0
4014,怪物-通用抓击-hit,effect_zhua_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,50,0,#center#,skillaudio/zhuaji_hit,-1,-1,0
4015,黄衣仙女-仙丹-hit,effect_xiandan_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,135,0,#bottom#,skillaudio/xiandan,-1,-1,0
4016,猪八戒-大劈砍-hit,effect_pikan_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,140,0,#center#,skillaudio/guaiwupikan_hit,-1,-1,0
4017,树王-大地震-hit,effect_shouji_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,160,0,#bottom#,skillaudio/leiting_hit,-1,-1,0
4018,女鬼-冰雨起手改命中-hit,effect_bingyu_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,,-1,-1,0
4019,战斗间隙复活特效,effect_fuhuo_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/fuhuo,-1,-1,0
4020,敖顺-强化放大-start,effect_qianghua_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,120,0,#center#,skillaudio/qianghua,-1,-1,0
4021,敖顺-强化放大-buff,effect_qianghua_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,120,0,#center#,,-1,-1,0
4022,牧师-水源之盾-start,effect_shuiyuanzhidun_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,220,0,#weapon#,,-1,-1,0
4023,牧师-水源之盾-hit,effect_shuiyuanzhidun_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,-100,220,0,#center#,skillaudio/shuiyuanzhidun,-1,-1,0
4024,牧师-水源之盾-buff,effect_shuiyuanzhidun_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,-100,220,0,#center#,,-1,-1,0
4025,牛魔王-连砍-hit,effect_liankan_hit.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,100,0,#center#,skillaudio/pugong_hit,-1,-1,0
4026,狮兽-嘴发雷击-start,effect_leiji_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon2#,skillaudio/leiji_start,-1,-1,0
4027,鱼王-援护-start,effect_yuanhu_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,-100,100,0,#bottom#,,-1,-1,0
4028,夫妻战斗冒桃心,xin.json,actor/xin.atlas,0,0,-1,0,0,100,0,#center#,,-1,-1,0
4029,宝石镶嵌奖励特效1,manbaoshidengji_LV2.json,manbaoshidengji_LV2.atlas,0,0,-1,0,-50,100,0,#center#,,-1,-1,0
4030,宝石镶嵌奖励特效2,manbaoshidengji_LV3.json,manbaoshidengji_LV2.atlas,0,0,-1,0,-50,100,0,#center#,,-1,-1,0
4031,孙悟空力贯千钧-hit,effect_liguanqianjun_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/liguanqianjun,-1,-1,0
4032,牛魔王刀砍斧剁-hit,effect_daokanfuduo_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,-30,150,0,#center#,skillaudio/leiting_hit,-1,-1,0
4033,哪吒天火-hit,effect_tianhuo_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,120,0,#bottom#,skillaudio/tianhuo,-1,-1,0
4034,玉兔兔毛护盾-hit,effect_tumaofuti_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,150,0,#center#,skillaudio/tumaohudun,-1,-1,0
4035,玉兔兔毛护盾-buff,effect_tumaofuti_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,150,0,#center#,,-1,-1,0
4036,二郎神天眼降临-hit,effect_tianyanjianglin_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,-60,150,0,#bottom#,skillaudio/tianyanjianglin,-1,-1,0
