"Id
===
Id
===
int-c","名称
===
Name
===
string-c","描述
===
Desc
===
string-c","脚本名
===
ScriptName
===
string-c","脚本参数0
===
ParamValues0
===
string-c","脚本参数1
===
ParamValues1
===
string-c","脚本参数2
===
ParamValues2
===
string-c","脚本参数3
===
ParamValues3
===
string-c","脚本参数4
===
ParamValues4
===
string-c","脚本参数5
===
ParamValues5
===
string-c"
#测试,,,,,,,,,
10000,移动,,SkillPhysicScript_Move,10,1,0,0.5,-1,-1
10001,震动,,SkillPhysicScript_PunchPosition,1,0.2,-1,-1,-1,-1
10002,潜行,,SkillPhysicScript_Sneak,1,-1,-1,-1,-1,-1
#武将技能,,,,,,,,,
20000,鲁班-普通攻击,,SkillPhysicScript_Move,10,2,0,0.5,-1,-1
20001,鲁班-燃烧机枪,,SkillPhysicScript_SetTransformSelf,-20,0,0,0,0,0
20002,鲁班-燃烧机枪,,SkillPhysicScript_SetTransformSelf,40,0,0,0,0,0
20003,鲁班-燃烧机枪,,SkillPhysicScript_SetTransformSelf,-70,0,0,0,0,0
20004,鲁班-燃烧机枪,,SkillPhysicScript_SetTransformSelf,100,0,0,0,0,0
20005,鲁班-燃烧机枪,,SkillPhysicScript_SetTransformSelf,-30,0,0,0,0,0
