"Id
===
Id
===
int-c","技能名称
===
Name
===
string-c","技能图标
===
Image
===
string-c","技能描述
===
Desc
===
string-c","技能分组
===
SkillGroup
===
int-c","技能优先级
===
Priority
===
int-c","技能优先类型
===
PriorType
===
int-c","技能类型
===
SkillType
===
int-c","技能CD时间
===
CDTime
===
float-c","技能消耗HP
===
DepleteHP
===
int-c","技能消耗MP
===
DepleteMP
===
int-c","技能消耗怒气
===
DepleteRage
===
int-c","武将无双技切换时间
===
ModelWSSwtichTime
===
float-c","目标预警范围
===
AlertTarget
===
int-c","预警颜色
===
AlertColor
===
int-c","技能招式0
===
Steps0
===
int-c","技能招式1
===
Steps1
===
int-c","技能招式2
===
Steps2
===
int-c","技能招式3
===
Steps3
===
int-c","技能招式4
===
Steps4
===
int-c","技能招式5
===
Steps5
===
int-c","技能招式6
===
Steps6
===
int-c","技能招式7
===
Steps7
===
int-c","技能招式8
===
Steps8
===
int-c","技能招式9
===
Steps9
===
int-c","技能招式10
===
Steps10
===
int-c","技能招式11
===
Steps11
===
int-c","技能招式12
===
Steps12
===
int-c","技能招式13
===
Steps13
===
int-c","技能招式14
===
Steps14
===
int-c","技能招式15
===
Steps15
===
int-c","技能招式16
===
Steps16
===
int-c","技能招式17
===
Steps17
===
int-c","技能招式18
===
Steps18
===
int-c","技能招式19
===
Steps19
===
int-c"
1004,箭塔,PetSkillBlank,,1004,1,1,1,3,0,0,0,0,20000,1,100400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#炮烙2,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
1005,炮烙2,PetSkillBlank,,1005,1,1,1,0,0,0,0,0.7,5005,1,100500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#男主角-斧,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
#男主角-斧普攻,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
10000,斧攻击,PetSkillBlank,,10000,1,2,0,0,0,0,0,0,1159,1,1000000,1000001,1000002,1000003,1000004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#男主角-斧特殊技能,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
10100,斧闪避,PetSkillBlank,,10100,10,1,5,6,0,0,0,0,0,1,1010000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10200,斧反击,All_FanJi,,10200,1,1,1,0,0,0,0,0,0,1,1020000,1020001,1020002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10300,斧前冲攻击,PetSkillBlank,,10300,1,1,5,-1,-1,-1,-1,-1,0,1,1030000,1030001,1030002,1030003,1030004,1030005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#男主角-斧无双技,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
10400,斧无双,All_WuShuang,,10400,3,1,4,-1,0,0,0,0,1258,1,1040000,1040001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10500,斧合体无双,All_WuShuang2,,10500,3,2,3,-1,0,0,0,0,5119,1,1050000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#男主角-斧技能,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
11000,斗气爆发Lv1,All_DouQi,,11000,1,1,1,3,0,18,0,0,9,1,1100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11001,斗气爆发Lv2,All_DouQi,,11000,1,1,1,3,0,23,0,0,9,1,1100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11002,斗气爆发Lv3,All_DouQi,,11000,1,1,1,3,0,28,0,0,9,1,1100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11003,斗气爆发Lv4,All_DouQi,,11000,1,1,1,3,0,33,0,0,9,1,1100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11004,斗气爆发Lv5,All_DouQi,,11000,1,1,1,3,0,38,0,0,9,1,1100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11005,斗气爆发Lv6,All_DouQi,,11000,1,1,1,3,0,43,0,0,9,1,1100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11006,斗气爆发Lv7,All_DouQi,,11000,1,1,1,3,0,48,0,0,9,1,1100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11007,斗气爆发Lv8,All_DouQi,,11000,1,1,1,3,0,53,0,0,9,1,1100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11008,斗气爆发Lv9,All_DouQi,,11000,1,1,1,3,0,58,0,0,9,1,1100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11009,斗气爆发Lv10,All_DouQi,,11000,1,1,1,3,0,63,0,0,9,1,1100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11100,赤炎斧Lv1,Hw_Skill01,,11100,1,1,1,5,0,18,0,0,30000,1,1110000,1110001,1110002,1110003,1110004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11101,赤炎斧Lv2,Hw_Skill01,,11100,1,1,1,5,0,23,0,0,30000,1,1110100,1110101,1110102,1110103,1110104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11102,赤炎斧Lv3,Hw_Skill01,,11100,1,1,1,5,0,28,0,0,30000,1,1110200,1110201,1110202,1110203,1110204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11103,赤炎斧Lv4,Hw_Skill01,,11100,1,1,1,5,0,33,0,0,30000,1,1110300,1110301,1110302,1110303,1110304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11104,赤炎斧Lv5,Hw_Skill01,,11100,1,1,1,5,0,38,0,0,30000,1,1110400,1110401,1110402,1110403,1110404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11105,赤炎斧Lv6,Hw_Skill01,,11100,1,1,1,5,0,43,0,0,30000,1,1110500,1110501,1110502,1110503,1110504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11106,赤炎斧Lv7,Hw_Skill01,,11100,1,1,1,5,0,48,0,0,30000,1,1110600,1110601,1110602,1110603,1110604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11107,赤炎斧Lv8,Hw_Skill01,,11100,1,1,1,5,0,53,0,0,30000,1,1110700,1110701,1110702,1110703,1110704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11108,赤炎斧Lv9,Hw_Skill01,,11100,1,1,1,5,0,58,0,0,30000,1,1110800,1110801,1110802,1110803,1110804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11109,赤炎斧Lv10,Hw_Skill01,,11100,1,1,1,5,0,63,0,0,30000,1,1110900,1110901,1110902,1110903,1110904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11110,赤炎斧Lv11,Hw_Skill01,,11100,1,1,1,5,0,68,0,0,30000,1,1111000,1111001,1111002,1111003,1111004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11111,赤炎斧Lv12,Hw_Skill01,,11100,1,1,1,5,0,73,0,0,30000,1,1111100,1111101,1111102,1111103,1111104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11112,赤炎斧Lv13,Hw_Skill01,,11100,1,1,1,5,0,78,0,0,30000,1,1111200,1111201,1111202,1111203,1111204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11113,赤炎斧Lv14,Hw_Skill01,,11100,1,1,1,5,0,83,0,0,30000,1,1111300,1111301,1111302,1111303,1111304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11114,赤炎斧Lv15,Hw_Skill01,,11100,1,1,1,5,0,88,0,0,30000,1,1111400,1111401,1111402,1111403,1111404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11115,赤炎斧Lv16,Hw_Skill01,,11100,1,1,1,5,0,93,0,0,30000,1,1111500,1111501,1111502,1111503,1111504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11116,赤炎斧Lv17,Hw_Skill01,,11100,1,1,1,5,0,98,0,0,30000,1,1111600,1111601,1111602,1111603,1111604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11117,赤炎斧Lv18,Hw_Skill01,,11100,1,1,1,5,0,103,0,0,30000,1,1111700,1111701,1111702,1111703,1111704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11118,赤炎斧Lv19,Hw_Skill01,,11100,1,1,1,5,0,108,0,0,30000,1,1111800,1111801,1111802,1111803,1111804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11119,赤炎斧Lv20,Hw_Skill01,,11100,1,1,1,5,0,113,0,0,30000,1,1111900,1111901,1111902,1111903,1111904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11200,龙牙破Lv1,Hw_Skill02,,11200,1,1,1,12,0,18,0,0,30001,1,1120000,1120001,1120002,1120003,1120004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11201,龙牙破Lv2,Hw_Skill02,,11200,1,1,1,12,0,23,0,0,30001,1,1120100,1120101,1120102,1120103,1120104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11202,龙牙破Lv3,Hw_Skill02,,11200,1,1,1,12,0,28,0,0,30001,1,1120200,1120201,1120202,1120203,1120204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11203,龙牙破Lv4,Hw_Skill02,,11200,1,1,1,12,0,33,0,0,30001,1,1120300,1120301,1120302,1120303,1120304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11204,龙牙破Lv5,Hw_Skill02,,11200,1,1,1,12,0,38,0,0,30001,1,1120400,1120401,1120402,1120403,1120404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11205,龙牙破Lv6,Hw_Skill02,,11200,1,1,1,12,0,43,0,0,30001,1,1120500,1120501,1120502,1120503,1120504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11206,龙牙破Lv7,Hw_Skill02,,11200,1,1,1,12,0,48,0,0,30001,1,1120600,1120601,1120602,1120603,1120604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11207,龙牙破Lv8,Hw_Skill02,,11200,1,1,1,12,0,53,0,0,30001,1,1120700,1120701,1120702,1120703,1120704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11208,龙牙破Lv9,Hw_Skill02,,11200,1,1,1,12,0,58,0,0,30001,1,1120800,1120801,1120802,1120803,1120804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11209,龙牙破Lv10,Hw_Skill02,,11200,1,1,1,12,0,63,0,0,30001,1,1120900,1120901,1120902,1120903,1120904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11210,龙牙破Lv11,Hw_Skill02,,11200,1,1,1,12,0,68,0,0,30001,1,1121000,1121001,1121002,1121003,1121004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11211,龙牙破Lv12,Hw_Skill02,,11200,1,1,1,12,0,73,0,0,30001,1,1121100,1121101,1121102,1121103,1121104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11212,龙牙破Lv13,Hw_Skill02,,11200,1,1,1,12,0,78,0,0,30001,1,1121200,1121201,1121202,1121203,1121204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11213,龙牙破Lv14,Hw_Skill02,,11200,1,1,1,12,0,83,0,0,30001,1,1121300,1121301,1121302,1121303,1121304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11214,龙牙破Lv15,Hw_Skill02,,11200,1,1,1,12,0,88,0,0,30001,1,1121400,1121401,1121402,1121403,1121404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11215,龙牙破Lv16,Hw_Skill02,,11200,1,1,1,12,0,93,0,0,30001,1,1121500,1121501,1121502,1121503,1121504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11216,龙牙破Lv17,Hw_Skill02,,11200,1,1,1,12,0,98,0,0,30001,1,1121600,1121601,1121602,1121603,1121604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11217,龙牙破Lv18,Hw_Skill02,,11200,1,1,1,12,0,103,0,0,30001,1,1121700,1121701,1121702,1121703,1121704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11218,龙牙破Lv19,Hw_Skill02,,11200,1,1,1,12,0,108,0,0,30001,1,1121800,1121801,1121802,1121803,1121804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11219,龙牙破Lv20,Hw_Skill02,,11200,1,1,1,12,0,113,0,0,30001,1,1121900,1121901,1121902,1121903,1121904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#男主角BUFF,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
11300,火焰之斧,Item_baowu_002,,11300,1,1,1,3,0,0,0,0,0,1,1130000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#女主角-剑,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
#女主角-剑普攻,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
12000,剑攻击,PetSkillBlank,,12000,1,2,0,0,0,0,0,0,5119,1,1200000,1200001,1200002,1200003,1200004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#女主角-剑特殊技能,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
12100,剑闪避,PetSkillBlank,,12100,10,1,5,6,0,0,0,0,0,1,1210000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12200,剑反击,All_FanJi,,12200,1,1,1,0,0,0,0,0,0,1,1220000,1220001,1220002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12300,剑前冲攻击,PetSkillBlank,,12300,1,1,5,-1,-1,-1,-1,-1,0,1,1230000,1230001,1230002,1230003,1230004,1230005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#女主角-剑无双技,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
12400,剑无双,All_WuShuang,,12400,3,1,4,-1,0,0,0,0,5159,1,1240000,1240001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12500,剑合体无双,All_WuShuang2,,12500,3,2,3,-1,0,0,0,0,5159,1,1250000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#女主角-剑技能,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
13000,星陨破Lv1,S_Skill03,,13000,1,1,1,3,0,18,0,0,9,1,1300000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13001,星陨破Lv2,S_Skill03,,13000,1,1,1,3,0,23,0,0,9,1,1300100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13002,星陨破Lv3,S_Skill03,,13000,1,1,1,3,0,28,0,0,9,1,1300200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13003,星陨破Lv4,S_Skill03,,13000,1,1,1,3,0,33,0,0,9,1,1300300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13004,星陨破Lv5,S_Skill03,,13000,1,1,1,3,0,38,0,0,9,1,1300400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13005,星陨破Lv6,S_Skill03,,13000,1,1,1,3,0,43,0,0,9,1,1300500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13006,星陨破Lv7,S_Skill03,,13000,1,1,1,3,0,48,0,0,9,1,1300600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13007,星陨破Lv8,S_Skill03,,13000,1,1,1,3,0,53,0,0,9,1,1300700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13008,星陨破Lv9,S_Skill03,,13000,1,1,1,3,0,58,0,0,9,1,1300800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13009,星陨破Lv10,S_Skill03,,13000,1,1,1,3,0,63,0,0,9,1,1300900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13100,破风斩Lv1,S_Skill01,,13100,1,1,1,3,0,18,0,0,5161,1,1310000,1310001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13101,破风斩Lv2,S_Skill01,,13100,1,1,1,3,0,23,0,0,5161,1,1310100,1310101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13102,破风斩Lv3,S_Skill01,,13100,1,1,1,3,0,28,0,0,5161,1,1310200,1310201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13103,破风斩Lv4,S_Skill01,,13100,1,1,1,3,0,33,0,0,5161,1,1310300,1310301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13104,破风斩Lv5,S_Skill01,,13100,1,1,1,3,0,38,0,0,5161,1,1310400,1310401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13105,破风斩Lv6,S_Skill01,,13100,1,1,1,3,0,43,0,0,5161,1,1310500,1310501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13106,破风斩Lv7,S_Skill01,,13100,1,1,1,3,0,48,0,0,5161,1,1310600,1310601,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13107,破风斩Lv8,S_Skill01,,13100,1,1,1,3,0,53,0,0,5161,1,1310700,1310701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13108,破风斩Lv9,S_Skill01,,13100,1,1,1,3,0,58,0,0,5161,1,1310800,1310801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13109,破风斩Lv10,S_Skill01,,13100,1,1,1,3,0,63,0,0,5161,1,1310900,1310901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13200,天钧斩Lv1,S_Skill02,,13200,1,1,1,3,0,18,0,0,30002,1,1320000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13201,天钧斩Lv2,S_Skill02,,13200,1,1,1,3,0,23,0,0,30002,1,1320100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13202,天钧斩Lv3,S_Skill02,,13200,1,1,1,3,0,28,0,0,30002,1,1320200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13203,天钧斩Lv4,S_Skill02,,13200,1,1,1,3,0,33,0,0,30002,1,1320300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13204,天钧斩Lv5,S_Skill02,,13200,1,1,1,3,0,38,0,0,30002,1,1320400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13205,天钧斩Lv6,S_Skill02,,13200,1,1,1,3,0,43,0,0,30002,1,1320500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13206,天钧斩Lv7,S_Skill02,,13200,1,1,1,3,0,48,0,0,30002,1,1320600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13207,天钧斩Lv8,S_Skill02,,13200,1,1,1,3,0,53,0,0,30002,1,1320700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13208,天钧斩Lv9,S_Skill02,,13200,1,1,1,3,0,58,0,0,30002,1,1320800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13209,天钧斩Lv10,S_Skill02,,13200,1,1,1,3,0,63,0,0,30002,1,1320900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#武将攻击,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
#男性武将,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
#申公豹,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
30000,普通攻击,PetSkillBlank,,30000,1,2,0,0,0,0,0,0,1159,1,3000000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30100,召唤技,61000,,30100,1,1,2,3,0,50,0,0,-1,1,3010000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30101,召唤技,61000,,30100,1,1,2,3,0,50,0,0,-1,1,3010100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30102,召唤技,61000,,30100,1,1,2,3,0,50,0,0,-1,1,3010200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30103,召唤技,61000,,30100,1,1,2,3,0,50,0,0,-1,1,3010300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30104,召唤技,61000,,30100,1,1,2,3,0,50,0,0,-1,1,3010400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30200,落雷攻击,10021,,30200,1,1,1,0,0,0,0,0.7,5201,1,3020000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30300,风云护体,10051,,30300,1,1,1,0,0,0,0,0.7,10001,1,3030000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#纣王,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
31000,普通攻击,PetSkillBlank,0,31000,1,2,0,0,0,0,0,0,1159,1,3100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
